ID,Language_ID,Parameter_ID,Form,Segments,Source
f1,l1,p1,ɨna,ɨ n a,HGN
f2,l2,p1,jɨa,j ɨa,HGN
f3,l3,p1,ɨ̃'hã́,ɨ̃ h ã́,HGN
f4,l4,p1,mɯɯ́ʔa,m ɯɯ́ ʔ a,HGN
f5,l5,p1,xãã,x ãã,HGN
f6,l6,p1,ihi,i h i,HGN
f7,l6,p1,rihi,r i h i,HGN
f8,l7,p1,nanaka,n a n a k a,HGN
f9,l8,p1,wexrnaka,w e x r n a k a,HGN
f10,l9,p1,sam,s a m,HGN
f11,l10,p1,ɲɨxa,ɲ ɨ x a,HGN
f12,l11,p1,pakhanɨ,p a k h a n ɨ,HGN
f13,l12,p1,gɨa,g ɨa,HGN
f14,l13,p1,'tai,t ai,HGN
f15,l14,p1,ana,a n a,HGN
f16,l15,p1,xatisel,x a t i s e l,HGN
f17,l16,p1,sihnitʸeʔke,s i h n i tʸ e ʔ k e,HGN
f18,l16,p1,sihniʔke,s i h n i ʔ k e,HGN
f19,l17,p1,tisuge,t i s u g e,HGN
f20,l18,p1,naʔna,n a ʔ n a,HGN
f21,l19,p1,nokɨ,n o k ɨ,HGN
f22,l19,p1,nokɨ̃,n o k ɨ̃,HGN
f23,l19,p1,nõ,n õ,HGN
f24,l20,p1,penu,p e n u,HGN;gerardireichert2021;gerardietal2021
f25,l21,p1,dʒʉkhʉna,d ʒ ʉ k h ʉ n a,HGN
f26,l22,p1,sã,s ã,HGN
f27,l23,p1,tsitsɛ,t s i t s ɛ,HGN
f28,l24,p1,we,w e,HGN
f29,l25,p1,yekheweliɬ,ye k h e w e l i ɬ,HGN
f30,l26,p1,pakhan,p a k h a n,HGN
f31,l27,p1,jikɨ,j i k ɨ,HGN
f32,l28,p1,kɨwɨ,k ɨ w ɨ,HGN
f33,l29,p1,gɨa,g ɨa,HGN
f34,l30,p1,úrɨnɨkóŋ,ú r ɨ n ɨ k ó ŋ,HGN
f35,l31,p1,e'nɛ,e n ɛ,HGN
f36,l32,p1,inčiɲ,i n č i ɲ,HGN
f37,l33,p1,nuki,n u k i,HGN
f38,l33,p1,u,u,HGN
f39,l33,p1,ubi,u b i,HGN
f40,l34,p1,iʔɬi,i ʔ ɬ i,HGN
f41,l35,p1,ʔãh,ʔ ã h,HGN
f42,l36,p1,jamak,j a m a k,HGN
f43,l36,p1,kamatʃehekə,k a m a t ʃ e h e k ə,HGN
f44,l36,p1,kamijamak,k a m i j a m a k,HGN
f45,l37,p1,yi'waačaeɬ,yi w aa č ae ɬ,HGN
f46,l38,p1,ɲoqajku,ɲ o q a j k u,HGN
f47,l320,p1,muuʔá,m uu ʔ á,HGN
f48,l40,p1,jɨ'kɨ',j ɨ k ɨ,HGN
f49,l41,p1,paxanɨ,p a x a n ɨ,HGN
f50,l42,p1,jɨkɨna,j ɨ k ɨ n a,HGN
f51,l43,p1,gɨ'á,g ɨ á,HGN
f52,l44,p1,aĵpá,a ĵ p á,HGN
f53,l44,p1,wajwíkire,w a j w í k i r e,HGN
f54,l45,p1,jiha,j i h a,HGN
f55,l46,p1,hãã,h ãã,HGN
f56,l47,p1,tomaʔ,t o m a ʔ,HGN
f57,l48,p1,anja,a n j a,HGN
f58,l49,p1,ɨ̃sã́,ɨ̃ s ã́,HGN
f59,l50,p1,ɨ̃ʔsã,ɨ̃ ʔ s ã,HGN
f60,l51,p1,kanakaana,k a n a k aa n a,HGN
f61,l52,p1,amna,a m n a,HGN
f62,l53,p1,ɨ̃'sã,ɨ̃ s ã,HGN
f63,l54,p1,hã́,h ã́,HGN
f64,l55,p1,aʔa,a ʔ a,HGN
f65,l259,p1,warut,w a r u t,HGN
f66,l246,p1,ɔlɔ,ɔ l ɔ,HGN;gerardireichert2021;gerardietal2021
f67,l246,p1,ɔlɛ,ɔ l ɛ,HGN;gerardireichert2021;gerardietal2021
f68,l58,p1,emna,e m n a,HGN
f69,l59,p1,namiɬ,n a m i ɬ,HGN
f70,l60,p1,nũj,n ũ j,HGN
f71,l61,p1,kamijafɨk,k a m i j a f ɨ k,HGN
f72,l62,p1,jamakɨ,j a m a k ɨ,HGN
f73,l62,p1,kamijəjahəkɨ,k a m i j ə j a h ə k ɨ,HGN
f74,l62,p1,kamijəjamakɨ,k a m i j ə j a m a k ɨ,HGN
f75,l62,p1,pəmakɨ,p ə m a k ɨ,HGN
f76,l63,p1,ɨ̃'sã́,ɨ̃ s ã́,HGN
f77,l64,p2,wája,w á j a,HGN
f78,l262,p2,naǰe,n a ǰ e,HGN;gerardietal2021
