ID,Name,Glottocode,Family,Latitude,Longitude
l1,Apalai,apal1257,Cariban,1.49792,-54.7457
l2,Barasano,bara1380,Tucanoan,0.02193,-70.808
l3,Bará,poka1242,Tucanoan,0.35794,-69.5607
l4,Bora,bora1263,Boran,-2.000259,-72.257066
l5,Carapana,cara1272,Tucanoan,0.06168,-69.6465
l6,Cayuvava,cayu1262,Isolate,-13.2482,-65.4822
l7,Central Aymara,cent2142,Aymaran,-17.0,-68.5
l8,Chipaya,chip1262,Uru-Chipaya,-18.73951,-67.89633
l9,Chorote Iyojwa'Ja,iyoj1235,Matacoan,-22.1896,-63.2383
l10,Cubeo,cube1242,Tucanoan,1.32382,-70.1939
l11,Cuiva,cuib1242,Guahiboan,6.19829,-69.8197
l12,Desano,desa1247,Tucanoan,0.58157,-69.4955
l13,Epena,epen1239,Chocoan,4.25877,-77.3566
l14,Eñepa,enap1235,Cariban,6.95035,-65.8483
l15,Guayabero,guay1257,Guahiboan,2.8969,-71.844
l16,Itonama,iton1250,Isolate,-12.80431,-64.35748
l17,Kalapalo,kuik1246,Cariban,-12.3035,-53.2261
l18,Kariña,gali1262,Cariban,5.83772,-56.8323
l19,Katukina,pano1254,Panoan,-7.97456,-71.56151
l20,Kokama,coca1259,Tupian,-4.5,-74.0
l21,Koreguaje,kore1283,Tucanoan,0.92316,-75.3475
l22,Kotiria,guan1269,Tucanoan,1.07554,-69.5705
l23,Kwazá,kwaz1243,Isolate,-11.6667,-61.1833
l24,Lokono,araw1276,Arawakan,5.64295,-56.9243
l25,Maca,maca1260,Matacoan,-25.0119,-57.3694
l26,Macaguan,maca1259,Guahiboan,6.34582,-71.2671
l27,Maihiki,orej1242,Tucanoan,-2.86315,-72.4926
l28,Makiritare,maqu1238,Cariban,4.70705,-64.3877
l29,Makuna,macu1260,Tucanoan,-0.14459,-70.0749
l30,Makushi,macu1259,Cariban,4.31861,-60.2209
l31,Mapoyo,mapo1246,Cariban,5.96952,-67.2581
l32,Mapudungun,mapu1245,Araucanian,-38.7392,-71.277
l33,Matses,mats1244,Panoan,-5.73914,-72.6281
l34,Movima,movi1243,Isolate,-13.8115,-65.6348
l35,Nadëb/Roçado Dialect,roca1234,Naduhup,,
l36,Ninam,nina1238,Yanomaman,4.03894,-62.7801
l37,Nivaclé,niva1238,Matacoan,-22.8557,-61.7606
l38,Quechua Ayacuchano,ayac1239,Quechuan,-13.84714,-74.32246
l39,Resígaro,resi1247,Arawakan,-1.169535,-71.60524
l40,Secoya,seco1241,Tucanoan,-0.459785,-75.5547
l41,Sikuani,guah1255,Guahiboan,5.81736,-68.9839
l42,Siona,sion1247,Tucanoan,0.31733,-76.0237
l43,Siriano,siri1274,Tucanoan,0.436515,-70.184
l44,Suyá,suya1243,Macro-Jean,-11.5178,-53.0743
l45,Tanimuca,tani1258,Tucanoan,,
l46,Tatuyo,tatu1247,Tucanoan,0.55582,-70.5327
l47,Tikuna,ticu1245,Ticuna-Yuri,-3.66289,-69.8723
l48,Tiriyó,trio1238,Cariban,2.53616,-55.7599
l49,Tukano,tuca1252,Tucanoan,0.579755,-69.5763
l50,Tuyuka,tuyu1244,Tucanoan,0.39441,-70.043515
l51,Urarina,urar1246,Isolate,-4.44006,-75.4211
l52,Wai Wai,waiw1244,Cariban,1.50881,-59.1417
l53,Waikhana,pira1254,Tucanoan,0.50714,-69.5032
l54,Waimaja,waim1255,Tucanoan,0.30416,-70.1644
l55,Waimiri Atroari,waim1253,Cariban,-0.61832,-60.4259
l56,Wari,wari1268,Chapacuran,-10.69948,-64.56152
l57,Wayampi,waya1270,Tupian,1.73817,-52.6887
l58,Wayana,waya1269,Cariban,2.77537,-54.4429
l59,Wichí Lhamtés Güisnay,wich1264,Matacoan,-23.1633,-62.1757
l60,Yagua,yagu1244,Peba-Yaguan,-3.42913,-72.2186
l61,Yanomam,yano1261,Yanomaman,1.67967,-64.8781
l62,Yanomami,yano1262,Yanomaman,2.48999,-62.8522
l63,Yuruti,yuru1263,Tucanoan,0.735585,-69.6955
l64,Achagua,acha1250,Arawakan,4.38649,-72.2005
l65,Aché,ache1246,Tupian,-25.5865,-56.4697
l66,Aguaruna,agua1253,Chicham,-5.30044,-77.9218
l67,Akawaio,akaw1241,Cariban,,
l68,Akawaio/Ingariko Dialect,akaw1239,Cariban,6.16277,-60.862
l69,Andoke,ando1257,Isolate,,
l70,Araona,arao1248,Tacanan,-12.4242,-67.7293
l71,Arutani,arut1244,Isolate,4.0673594,-62.8676118
l72,Ashuar,achu1248,Chicham,-2.82646,-77.2641
l73,Baniwa,bani1255,Arawakan,2.17859,-67.7704
l74,Baure,baur1253,Arawakan,-13.61,-63.68
l75,Camsa,cams1241,Isolate,1.14537,-76.8931
l76,Candoshi-Shapra,cand1248,Isolate,-4.23835,-76.9347
l77,Canela,cane1242,Macro-Jean,-6.10712,-45.1299
l78,Cavineña,cavi1250,Tacanan,-13.3544,-66.6277
l79,Chiriguano,east2555,Tupian,-20.42,-63.37
l80,Cofán,cofa1242,Isolate,0.276675,-77.0643
l81,Djeoromitxi,djeo1235,Macro-Jean,-12.038,-64.6694
l82,Dâw,daww1239,Naduhup,-0.1177,-67.2934
l83,Ese Ejja/Huarayo,esee1248,Tacanan,-11.7268,-67.515
l84,Huambisa,huam1247,Chicham,-3.99109,-77.9797
l85,Hup,hupd1244,Naduhup,0.58622,-69.8359
l86,Ingá,inga1252,Quechuan,1.00313,-76.8606
l87,Iquito,iqui1243,Zaparoan,-3.31233,-73.97046
l88,Kabiyari,cabi1241,Arawakan,0.16101,-71.0622
l89,Kaingang,kain1272,Macro-Jean,-27.7671,-52.5394
l90,Kakua,cacu1241,Kakua-Nukak,0.88778,-69.5659
l91,Karajá,kara1500,Macro-Jean,-11.1881,-50.3492
l92,Karitiana,kari1311,Tupian,-9.37937,-64.1522
l93,Minica Witoto,mini1256,Witotoan,-1.54535,-73.1107
l94,Mosetén-Chimané,mose1249,Isolate,-14.64448,-67.83756
l95,Muinane,muin1242,Boran,-0.8652,-72.4249
l96,Muisca,chib1270,Chibchan,6.24999,-74.1666
l97,Murui Witoto,muru1274,Witotoan,-1.13669,-73.8331
l98,Máku,maku1246,Isolate,3.969231,-64.235892
l99,Napo Lowland Quichua,napo1242,Quechuan,-0.072525,-76.3889
l100,Nheengatu,nhen1239,Tupian,1.04503,-66.9646
l101,Northern Emberá,nort2972,Chocoan,7.12761,-77.574
l102,Nukak,nuka1242,Kakua-Nukak,2.65939,-71.4629
l103,Nɨpode Witoto,nupo1240,Witotoan,-2.34495,-70.9559
l104,Ocaina,ocai1244,Witotoan,-2.159,-72.1422
l105,Paraguayan Guaraní,para1311,Tupian,-25.60551,-57.08816
l106,Paresi,pare1272,Arawakan,-14.5929,-57.4059
l107,Piapoco,piap1246,Arawakan,4.37718,-68.5953
l108,Piaroa,piar1243,Saliban,4.41805,-67.7574
l109,Playero,play1240,Guahiboan,6.90948,-71.0036
l110,Puinave,puin1248,Isolate,3.92974,-67.6886
l111,Páez,paez1247,Isolate,2.61516,-76.31254
l112,Sanumá,sanu1240,Yanomaman,4.5,-64.5
l113,Sape,sape1238,Isolate,4.0735661,-62.9666521
l114,Sirionó,siri1273,Tupian,-15.5298,-63.9688
l115,Sáliva,sali1298,Saliban,5.30115,-69.3843
l116,Tacana,taca1256,Tacanan,-13.39249,-68.04056
l117,Tariana,tari1256,Arawakan,0.440205,-68.9042
l118,Taushiro,taus1253,Isolate,-3.22497,-75.5603
l119,Wapishana,wapi1253,Arawakan,2.58744,-59.8021
l120,Warao,wara1303,Isolate,7.50851,-59.3528
l121,Yabarana,yaba1248,Cariban,5.32692,-66.276
l122,Yavitero,yavi1245,Arawakan,,
l123,Yuhup,yuhu1238,Naduhup,0.2485,-69.8079
l124,Yukpa,yukp1241,Cariban,9.67534,-73.0557
l125,Yukuna,yucu1253,Arawakan,-0.76075,-71.0033
