ID,Name,Description,ColumnSpec
p1,WE (EXCLUSIVE),,
p2,WE (INCLUSIVE),,
p3,I,,
p4,YOU,,
p5,THOU,,
p6,THEY,,
p7,HE OR SHE OR IT,,
p8,ABOVE,,
p9,ACAI PALM,,
p10,ACHIOTE,,
p11,AFTER,,
p12,AGOUTI,,
p13,ALL,,
p14,ALONE,,
p15,ANACONDA (WATER BOA),,
p16,ANT,,
p17,ANTEATER,,
p18,ANUS,,
p19,ARM,,
p20,ARMADILLO,,
p21,ARRIVE,,
p22,ARROW,,
p23,ASH,,
p24,AXE,,
p25,AFTERNOON,,
p26,ANIMAL,,
p27,ASH,,
p28,BABASSU PALM,,
p29,BABY CARRIER,,
p30,BACK,,
p31,BAD OR EVIL,,
p32,BAD OR EVIL,,
p33,BAMBOO,,
p34,BANANA,,
p35,BARK,,
p36,BARK OR SHELL,,
p37,BASKET,,
p38,BAT,,
p39,BATHE,,
p40,BE HUNGRY,,
p41,BEAD,,
p42,BEAN,,
p43,BEAN,,
p44,BEARD,,
p45,BEAUTIFUL,,
p46,BEE,,
p47,BELLY,,
p48,NAVEL,,
p49,BELOW OR UNDER,,
p50,BENCH,,
p51,WRONG,,
p52,BIG,,
p53,BIRD,,
p54,BITE,,
p55,BLACK,,
p56,BLOOD,,
p57,BLOW (WITH MOUTH),,
p58,BLOW (WITH MOUTH),,
p59,BLUE,,
p60,BLUE-AND-YELLOW MACAW,,
p61,BODY,,
p62,BONE,,
p63,BOW,,
p64,BOY,,
p65,BRANCH,,
p66,BRAZIL NUT,,
p67,BRAZILIAN CEDAR,,
p68,BREAK (BREAKING),,
p69,BREAK (BREAKING),,
p70,BREAST,,
p71,BREATHE,,
p72,BROTHER,,
p73,BURNING,,
p74,BURN (SOMETHING),,
p75,BURNING,,
p76,BURNING,,
p77,BURN (SOMETHING),,
p78,BURY,,
p79,FARM,,
p80,BUTTERFLY,,
p81,BUTTOCKS,,
p82,BACK,,
p83,BELLY,,
p84,BIG,,
p85,BIRD,,
p86,BITE,,
p87,BLACK,,
p88,BLOOD,,
p89,BONE,,
p90,BREAST,,
p91,BREATHE,,
p92,CAIMAN,,
p93,CANOE,,
p94,CAPYBARA,,
p95,CARRY,,
p96,CASHEW,,
p97,CATFISH,,
p98,CEBUS MONKEY,,
p99,CENTIPEDE,,
p100,CHICHA,,
p101,CHIEFTAIN,,
p102,CHILD,,
p103,CICADA,,
p104,CLAW,,
p105,CLAW OR NAIL,,
p106,CLOTHES,,
p107,CLOUD,,
p108,COATI (COATIMUNDI),,
p109,COATI (COATIMUNDI),,
p110,COCKROACH,,
p111,COCOA BEAN,,
p112,COLD,,
p113,COLLARED PECCARY,,
p114,COMB,,
p115,COME,,
p116,COME BACK,,
p117,CONSUME (DRINK OR EAT),,
p118,COOK (SOMETHING),,
p119,MAIZE,,
p120,COTTON,,
p121,COURTYARD,,
p122,CRAB,,
p123,CRICKET,,
p124,CRY,,
p125,CURASSOW,,
p126,CURE,,
p127,CUT,,
p128,CHILD,,
p129,COLD,,
p130,COME,,
p131,CUT,,
p132,DANCE,,
p133,DAUGHTER (OF MALE EGO),,
p134,DAUGHTER (OF WOMAN),,
p135,DAY (24 HOURS),,
p136,DAY (24 HOURS),,
p137,DEER,,
p138,SHIT (DEFECATE),,
p139,DIE,,
p140,DIG,,
p141,DIGGING STICK,,
p142,DIRTY,,
p143,DO OR MAKE,,
p144,DO OR MAKE,,
p145,DOG,,
p146,DOOR,,
p147,PAINT (SOMETHING),,
p148,DREAM,,
p149,DREAM (SOMETHING),,
p150,DRESS UP,,
p151,DRINK,,
p152,DRY,,
p153,DRY UP,,
p154,DRY,,
p155,DRY UP,,
p156,DAY (NOT NIGHT),,
p157,DEER,,
p158,DIE,,
p159,DIG,,
p160,DRINK,,
p161,EAGLE,,
p162,EAR,,
p163,EARRING,,
p164,EARTH (SOIL),,
p165,EARTH OR LAND,,
p166,EARTH OR LAND,,
p167,EARTHWORM,,
p168,EAT,,
p169,EGG,,
p170,ELECTRIC EEL,,
p171,CECROPIA,,
p172,ENEMY,,
p173,ENTER,,
p174,EYE,,
p175,EYEBROW,,
p176,EAR,,
p177,EARTH (SOIL),,
p178,EAT,,
p179,EGG,,
p180,EYE,,
p181,FACE,,
p182,FALL,,
p183,FAN (OBJECT),,
p184,FAR,,
p185,FARM,,
p186,FAT (ORGANIC SUBSTANCE),,
p187,FAT (FROM ANIMALS),,
p188,FATHER,,
p189,FEAR (BE AFRAID),,
p190,FEAR (BE AFRAID),,
p191,FEATHER,,
p192,FINGER,,
p193,FINISH,,
p194,FIRE,,
p195,FIREFLY,,
p196,FIREWOOD,,
p197,FISH,,
p198,FISHHOOK,,
p199,FLAT,,
p200,FLEA,,
p201,FLESH OR MEAT,,
p202,FLESH OR MEAT,,
p203,FLESH OR MEAT,,
p204,FLOAT,,
p205,FLOUR,,
p206,FLOWER,,
p207,FLY (MOVE THROUGH AIR),,
p208,FLY (INSECT),,
p209,FLY (MOVE THROUGH AIR),,
p210,FLY (INSECT),,
p211,FOOD,,
p212,FOOT,,
p213,FOREHEAD,,
p214,FOREST,,
p215,FORGET,,
p216,FOUR,,
p217,FRIGHTEN,,
p218,FROG,,
p219,FRUIT,,
p220,FULL,,
p221,FALL,,
p222,FAT (ORGANIC SUBSTANCE),,
p223,FATHER,,
p224,FEAR (BE AFRAID),,
p225,FEW,,
p226,FIGHT,,
p227,FINGERNAIL,,
p228,FIRE,,
p229,FISH,,
p230,FLOWER,,
p231,FLY (MOVE THROUGH AIR),,
p232,FOOT,,
p233,FOREST,,
p234,FRUIT,,
p235,GATHER,,
p236,GENIPA,,
p237,GET LOST,,
p238,GIRL,,
p239,GIVE,,
p240,GO,,
p241,GO UP (ASCEND),,
p242,GOOD,,
p243,GOURD,,
p244,GO UP (ASCEND),,
p245,GRANDFATHER,,
p246,GRASS,,
p247,GRAVE,,
p248,FAT (ORGANIC SUBSTANCE),,
p249,GREEN,,
p250,BLUE OR GREEN,,
p251,GRIND,,
p252,GROW,,
p253,GUAN,,
p254,GIVE,,
p255,GOOD,,
p256,GRASS,,
p257,GUTS,,
p258,HAIR (HEAD),,
p259,HAIR,,
p260,HAMMOCK,,
p261,HAND,,
p262,HAPPY,,
p263,HAWK,,
p264,HEAD,,
p265,CURE,,
p266,HEAR,,
p267,HEAR OR LISTEN,,
p268,HEART,,
p269,GUTS OR HEART,,
p270,HEAVY,,
p271,HEDGEHOG,,
p272,HELP,,
p273,HEN,,
p274,CHICKEN,,
p275,HERE,,
p276,HIDE,,
p277,HIT,,
p278,HOLD OR TAKE,,
p279,HOLE,,
p280,HONEY,,
p281,HOPLIAS (GENUS),,
p282,HORN (ANATOMY),,
p283,HORN (ANATOMY),,
p284,HOT,,
p285,HOUSE,,
p286,HOWLER MONKEY,,
p287,HOWLER MONKEY,,
p288,HUMMINGBIRD,,
p289,HUNT,,
p290,HUSBAND,,
p291,HAIR,,
p292,HAND,,
p293,HE,,
p294,HEAD,,
p295,HEAR,,
p296,HEART,,
p297,HIT,,
p298,HORN (ANATOMY),,
p299,PERSON,,
p300,I,,
p301,IGUANA,,
p302,INGA (GENUS),,
p303,INSIDE,,
p304,CROCODILE,,
p305,JAGUAR,,
p306,JUMP,,
p307,KILL,,
p308,KINGFISHER,,
p309,KNEE,,
p310,KNIFE,,
p311,KNOW,,
p312,KILL,,
p313,KNEE,,
p314,LAKE,,
p315,LARVA,,
p316,LAUGH,,
p317,LEAF,,
p318,LEARN,,
p319,LEAVE,,
p320,LEG,,
p321,LIANA,,
p322,LIE (REST),,
p323,LIE DOWN,,
p324,LIGHTNING,,
p325,LIP,,
p326,LIVER,,
p327,LIZARD,,
p328,LONG,,
p329,LOOK,,
p330,LOOK FOR,,
p331,LOOK,,
p332,GET LOST,,
p333,LOUSE,,
p334,LAUGH,,
p335,LEAF,,
p336,LEG,,
p337,LIE (REST),,
p338,LIVER,,
p339,LOUSE,,
p340,MACAW,,
p341,MAIZE,,
p342,MAN,,
p343,CASSAVA,,
p344,MANY,,
p345,MATERNAL GRANDMOTHER,,
p346,MATERNAL UNCLE (MOTHER'S BROTHER),,
p347,MEDICINE,,
p348,MILK,,
p349,MIRROR,,
p350,MOLD (GET ROTTEN),,
p351,MONKEY,,
p352,MOON,,
p353,MORNING,,
p354,MOSQUITO,,
p355,MOTHER,,
p356,MOTHER-IN-LAW (OF MAN),,
p357,MOTHER-IN-LAW (OF WOMAN),,
p358,MOTHER-IN-LAW (OF WOMAN),,
p359,MOUNTAIN,,
p360,MOUSTACHE,,
p361,MOUTH,,
p362,MUD,,
p363,MUSH (FOOD),,
p364,MAN,,
p365,MANY,,
p366,MEAT,,
p367,MOON,,
p368,MOTHER,,
p369,MOUTH,,
p370,CLAW OR NAIL,,
p371,NAME,,
p372,NECK,,
p373,NECKLACE,,
p374,NEST,,
p375,NEW,,
p376,NIGHT,,
p377,NOSE,,
p378,NOT,,
p379,NOW,,
p380,NAME,,
p381,NECK,,
p382,NEW,,
p383,NIGHT,,
p384,NOSE,,
p385,OAR,,
p386,ODOR (SMELL),,
p387,OLD,,
p388,OLDER BROTHER (OF MAN),,
p389,OLDER BROTHER (OF WOMAN),,
p390,OLDER SISTER (OF MAN),,
p391,OLDER SISTER (OF WOMAN),,
p392,ONE,,
p393,OPEN,,
p394,OPOSSUM,,
p395,ORNAMENT,,
p396,OTHER,,
p397,OTHER OR SOME,,
p398,OWL,,
p399,OLD,,
p400,ONE,,
p401,PACA,,
p402,PACU,,
p403,PAIN,,
p404,HURT OR PAIN,,
p405,PAINT (SOMETHING),,
p406,PAN,,
p407,PAPAYA,,
p408,PARROT,,
p409,PATH,,
p410,PATH OR ROAD,,
p411,PEACH PALM,,
p412,GROUNDNUT (PEANUT),,
p413,PENIS,,
p414,PEPPER,,
p415,PERSON,,
p416,PERSON,,
p417,PESTLE,,
p418,PIERCE,,
p419,PINEAPPLE,,
p420,PIRANHA,,
p421,PISS,,
p422,PIUM (SIMULIIDAE),,
p423,PLANT (SOMETHING),,
p424,PLAY,,
p425,MUSH (FOOD),,
p426,PUMPKIN,,
p427,PUT,,
