Family,Language,ID,Gloss Link,GLOSS,Orthographic Form,Phonemicized Form,Gloss as in Source,Etymology Code,Proto-Form,Proto-Language,Loan Source,Wanderwort Status,Etyma Set,Etymology Notes,General Notes,Source
Araucanian,Mapudungun,265,/lexical/feature/352,above,"encima, arriba",acima,location,,,wente,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/355,and,y,e,grammar,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/359,ash,ceniza(s),cinzas,environment,,,ṭ͡ʀufken,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/360,at,"en, a","em, a",location,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/361,back,espalda,costas,body,,,furi,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/565,bad,mal,mal,quality,,,weθa,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/363,belly,barriga,barriga,body,,,pɨṭ͡ʀa,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/364,below,"abajo, debajo",abaixo,location,,,minče; pɨlom; naɣeltu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/365,big,grande,grande,quality,,,fɨta,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/368,black,negro,preto,colour,,,kurɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/369,blood,sangre,sangue,body,,,molʸfɨɲ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/372,boil/pimple,"espinilla, granos","espinha, borbulha",body,,,moy,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/373,bone,hueso,osso,body,,,foro,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/376,breast,"pecho, seno",peito,body,,,moyo,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/380,child,"niño, niña",criança,human,,,piči-če,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/382,cloud,nube,nuvem,environment,,,ṭ͡ʀomɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/383,cold,frío,frio,quality,,,wɨṭ͡ʀe; aṭ͡ʀeɣ; čiθ,,,,,,, 
Araucanian,Mapudungun,265,/lexical/feature/386,correct/true,"verdad, de veras",verdade,quality,,,nor; kɨme,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/390,day,día,dia,time,,,an̯tɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/395,dirty,sucio,sujo,quality,,,poθ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/394,dingo/wolf,,,fauna,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/399,dry,seco,seco,quality,,,piwɨn,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/400,dull/blunt,"sin filo, mocho, desafilado, embotado, romo","maçante, desamolado, não afiado",quality,,,moṭ͡ʀo,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/401,dust,polvo,poeira,environment,,,ṭ͡ʀufɨr,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/402,ear,oreja,orelha,body,,,pilun,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/403,earth/soil,tierra,terra,environment,,,mapu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/405,egg,huevo,ovo,fauna,,,kuram,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/406,eye,ojo,olho,body,,,ŋe,,,,,,,
