GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
above	1741	ABOVE	2
and	1577	AND	2
ash	646	ASH	2
at	1461	AT	2
back	1291	BACK	2
bad	1292	BAD	2
belly	1251	BELLY	2
below	1485	BELOW OR UNDER	2
big	1202	BIG	2
black	163	BLACK	2
blood	946	BLOOD	2
boil	793	BOIL (OF SKIN)	2
pimple	1809	PIMPLE	2
bone	1394	BONE	2
breast	1402	BREAST	2
child	2099	CHILD	2
cloud	1489	CLOUD	2
cold	1287	COLD	2
correct	1725	CORRECT (RIGHT)	2
true	1657	TRUE	2
day	1260	DAY (24 HOURS)	2
dirty	1230	DIRTY	2
dingo	2460	DINGO	2
wolf	522	WOLF	2
dry	1398	DRY	2
dull	379	BLUNT	2
blunt	379	BLUNT	2
dust	2	DUST	2
ear	1247	EAR	2
earth	1228	EARTH (SOIL)	2
soil	1228	EARTH (SOIL)	2
egg	744	EGG	2
eye	1248	EYE	2
far	1406	FAR	2
fat	323	FAT (ORGANIC SUBSTANCE)	2
grease	1282	FAT (FROM ANIMALS)	2
father	1217	FATHER	2
feather	1201	FEATHER	2
fire	221	FIRE	2
flower	239	FLOWER	2
fog	249	FOG	2
fruit	1507	FRUIT	2
good	1035	GOOD	2
hair	2648	HAIR (HEAD)	2
hand	1277	HAND	2
3sg	262	HE OR SHE OR IT	2
head	1256	HEAD	2
heavy	1210	HEAVY	2
how	1239	HOW	2
1sg	1209	I	2
if	1459	IF	2
in	1460	IN	2
inside	1606	INSIDE	2
intestines	1991	INTESTINES	2
lake	624	LAKE	2
leaf	628	LEAF	2
left	244	LEFT	2
left hand	2182	LEFT HAND	2
leg	1297	LEG	2
foot	1301	FOOT	2
lightning	1654	LIGHTNING	2
liver	1224	LIVER	2
long	1203	LONG	2
man	1554	MAN	2
male	1553	MALE	2
meat	634	MEAT	2
flesh	2259	FLESH	2
moon	1313	MOON	2
mother	1216	MOTHER	2
mouth	674	MOUTH	2
name	1405	NAME	2
near	1942	NEAR	2
close	1942	NEAR	2
nape	1347	NAPE (OF NECK)	2
neck	1333	NECK	2
new	1231	NEW	2
night	1233	NIGHT	2
no	1269	NO	2
not	1240	NOT	2
nose	1221	NOSE	2
old	1229	OLD	2
one	1493	ONE	2
other	197	OTHER	2
pain	1783	PAIN	2
painful	1129	PAINFUL	2
sick	1847	SICK	2
person	683	PERSON	2
human being	683	PERSON	2
rain	658	RAIN (PRECIPITATION)	2
red	156	RED	2
right	1019	RIGHT	2
right hand	2183	RIGHT HAND	2
road	667	ROAD	2
path	2252	PATH	2
root	670	ROOT	2
rotten	1728	ROTTEN	2
sand	671	SAND	2
sharp	1396	SHARP	2
short	1645	SHORT	2
shoulder	1482	SHOULDER	2
shy	487	SHY	2
ashamed	1894	ASHAMED	2
skin	763	SKIN	2
sky	1732	SKY	2
small	1246	SMALL	2
smoke	778	SMOKE (EXHAUST)	2
star	1430	STAR	2
stick	1295	STICK	2
wood	1803	WOOD	2
stone	857	STONE	2
tail	1220	TAIL	2
that	78	THAT	2
3pl	817	THEY	2
thick	1244	THICK	2
thin	2308	THIN	2
this	1214	THIS	2
2sg	1215	THOU	2
throat	1346	THROAT	2
three	492	THREE	2
thunder	1150	THUNDER	2
bite	1403	BITE	2
blow	176	BLOW (WITH MOUTH)	2
breathe	1407	BREATHE	2
burn	2102	BURN	2
chew	321	CHEW	2
climb	1102	CLIMB	2
come	1446	COME	2
cook	1100	COOK (SOMETHING)	2
count	1420	COUNT	2
cry	1839	CRY	2
cut	1432	CUT	2
hack	3889	CUT OR HACK	4
die	1494	DIE	2
be dead	1625	DEAD	4
dig	1418	DIG	2
dream	1920	DREAM (SOMETHING)	2
drink	1401	DRINK	2
eat	1336	EAT	2
fall	1280	FALL	2
fear	781	FEAR (FRIGHT)	2
flow	2003	FLOW	2
fly	1441	FLY (MOVE THROUGH AIR)	2
hear	1408	HEAR	2
hide	2486	HIDE	2
hit	1433	HIT	2
hold	1448	HOLD	2
kill	1417	KILL	2
know	3626	KNOW	2
be knowledgeable	3626	KNOW	4
laugh	1355	LAUGH	2
lie down	215	LIE DOWN	2
live	363	DWELL (LIVE, RESIDE)	2
be alive	1422	BE ALIVE	2
open	1156	OPEN	2
uncover	1108	UNCOVER	2
pound	354	POUND	2
beat	1665	BEAT	2
say	1458	SAY	2
scratch	1436	SCRATCH	2
see	1409	SEE	2
shoot	1172	SHOOT	2
sit	1416	SIT	2
sleep	1585	SLEEP	2
sniff	375	SNIFF	2
smell	1586	SMELL (PERCEIVE)	2
spit	1440	SPIT	2
split	1437	SPLIT	2
squeeze	1414	SQUEEZE	2
stab	1434	STAB	2
pierce	398	PIERCE	2
stand	1442	STAND	2
steal	713	STEAL	2
suck	1421	SUCK	2
swell	1573	SWELL	2
swim	1439	SWIM	2
think	2271	THINK	2
throw	1456	THROW	2
tie up	1094	FASTEN	2
fasten	1094	FASTEN	2
turn	1588	TURN	2
vomit	1278	VOMIT	2
walk	1443	WALK	2
work	1086	WORK (ACTIVITY)	2
yawn	1028	YAWN	2
tongue	1205	TONGUE	2
tooth	1380	TOOTH	2
two	1498	TWO	2
water	948	WATER	2
1pl.incl	1131	WE (INCLUSIVE)	2
1pl.excl	1130	WE (EXCLUSIVE)	2
wet	1726	WET	2
what	1236	WHAT	2
when	1238	WHEN	2
where	1237	WHERE	2
white	1335	WHITE	2
who	1235	WHO	2
wife	1199	WIFE	2
wind	960	WIND	2
wing	1257	WING	2
woman	962	WOMAN	2
female	1551	FEMALE	2
yellow	1424	YELLOW	2
2pl	1213	YOU	2
foot	1301	FOOT	2
again	204	AGAIN	2
all	98	ALL	2
ankle	803	ANKLE	2
armpit	1886	ARMPIT	2
faeces	675	FAECES (EXCREMENT)	2
lung	688	LUNG	2
sweat	126	SWEAT (PERSPIRE)	2
itch	149	ITCHY	2
bark	1204	BARK	2
fingernail	1258	FINGERNAIL	2
heart	1223	HEART	2
mountain	639	MOUNTAIN	2
hill	614	HILL	2
green	1425	GREEN	2
hot	1286	HOT	2
louse	1392	LOUSE	2
grow	479	GROW	2
sun	1343	SUN	2
fish	227	FISH	2
alive	1422	BE ALIVE	2
ashamed	1894	ASHAMED	2
ashes	646	ASH	2
be alive	1422	BE ALIVE	2
