Language,Family,glottocode
Mapudungun,Araucanian,mapu1245
Achagua,Arawakan,acha1250
Baniwa,Arawakan,bani1255
Bare,Arawakan,bare1276
Baure,Arawakan,baur1253
Ignaciano,Arawakan,igna1246
Kabiyari,Arawakan,cabi1241
Lokono,Arawakan,araw1276
Mandawaka,Arawakan,mand1448
Paresi,Arawakan,pare1272
Piapoco,Arawakan,piap1246
Resígaro,Arawakan,resi1247
Tariana,Arawakan,tari1256
Trinitario,Arawakan,trin1278
Wapishana,Arawakan,wapi1253
Waurá,Arawakan,waur1244
Wayuu,Arawakan,wayu1243
Yavitero,Arawakan,yavi1245
Yine,Arawakan,yine1238
Yukuna,Arawakan,yucu1253
Central Aymara,Aymaran,cent2142
Cha'palaa,Barbacoan,chac1249
Bora,Boran,bora1263
Muinane,Boran,muin1242
Akawaio,Cariban,akaw1241
Akawaio/Ingariko dialect,Cariban,akaw1239
Apalai,Cariban,apal1257
Carijona,Cariban,cari1279
Eñepa,Cariban,enap1235
Kalapalo,Cariban,kuik1246
Kariña,Cariban,gali1262
Makiritare,Cariban,maqu1238
Makushi,Cariban,macu1259
Mapoyo,Cariban,mapo1246
Pemon,Cariban,pemo1248
Tiriyó,Cariban,trio1238
Wai Wai,Cariban,waiw1244
Waimiri Atroari,Cariban,waim1253
Wayana,Cariban,waya1269
Yabarana,Cariban,yaba1248
Yukpa,Cariban,yukp1241
Wari,Chapakuran,wari1268
Barí,Chibchan,bari1297
Muisca,Chibchan,chib1270
Aguaruna,Chicham,agua1253
Ashuar,Chicham,achu1248
Huambisa,Chicham,huam1247
Epena,Chocoan,epen1239
Northern Emberá,Chocoan,nort2972
Selknam,Chonan,onaa1245
Tehuelche,Chonan,tehu1242
Cuiva,Guahiban,cuib1242
Guayabero,Guahiban,guay1257
Macaguan,Guahiban,maca1259
Playero,Guahiban,play1240
Sikuani,Guahiban,guah1255
Mocoví,Guaicuruan,moco1246
Pilagá,Guaicuruan,pila1245
Toba,Guaicuruan,toba1269
Andoke,Isolate,ando1257
Arutani,Isolate,arut1244
Camsa,Isolate,cams1241
Candoshi-Shapra,Isolate,cand1248
Cayuvava,Isolate,cayu1262
Cofán,Isolate,cofa1242
Hodï,Isolate,yuwa1244
Itonama,Isolate,iton1250
Kwazá,Isolate,kwaz1243
Máku,Isolate,maku1246
Mosetén-Chimané,Isolate,mose1249
Movima,Isolate,movi1243
Páez,Isolate,paez1247
Puinave,Isolate,puin1248
Pumé,Isolate,pume1238
Sape,Isolate,sape1238
Taushiro,Isolate,taus1253
Tinigua,Isolate,tini1245
Trumai,Isolate,trum1247
