ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
cojubim-1_i-1,,cojubim,1_i,waza,waza,w a z a,,Duran2000,1,,^ w a z a $,default
kitemoka-1_i-1,,kitemoka,1_i,waja,waja,w a j a,,CrequiMontfortRivet1913,1,,^ w a j a $,default
more-1_i-1,,more,1_i,waʒ̟a,waʒ̟a,w a ʒ̟ a,,Angenot2002;Leigue1957,1,,^ w a ʒ̟ a $,default
orowin-1_i-1,,orowin,1_i,wataʔ,wataʔ,w a t a ʔ,,Birchall2016;deFranca2002,1,,^ w a t a ʔ $,default
tapakura-1_i-1,,tapakura,1_i,waja,waja,w a j a,,CrequiMontfortRivet1913,1,,^ w a j a $,default
tora-1_i-1,,tora,1_i,waza,waza,w a z a,,Nimuendaju1925;Nimuendaju1923,1,,^ w a z a $,default
urupa-1_i-1,,urupa,1_i,wata,wata,w a t a,,Nimuendaju1925,1,,^ w a t a $,default
wanyam-1_i-1,,wanyam,1_i,wataʔ,wataʔ,w a t a ʔ,,Ribeiro1998;Hanke1975,1,,^ w a t a ʔ $,default
wari-1_i-1,,wari,1_i,wataʔ,wataʔ,w a t a ʔ,,EverettKern1997;Kern1996,1,,^ w a t a ʔ $,default
cojubim-2_yousg-1,,cojubim,2_yousg,um,um,u m,,Duran2000,2,,^ u m $,default
kitemoka-2_yousg-1,,kitemoka,2_yousg,ahum,ahum,a h u m,,CrequiMontfortRivet1913,2,,^ a h u m $,default
more-2_yousg-1,,more,2_yousg,momra,momra,m o m r a,,Angenot2002;Leigue1957,2,,^ m o m r a $,default
orowin-2_yousg-1,,orowin,2_yousg,wym,wym,w y m,,Birchall2016;deFranca2002,2,,^ w y m $,default
tapakura-2_yousg-1,,tapakura,2_yousg,awimo,awimo,a w i m o,,CrequiMontfortRivet1913,2,,^ a w i m o $,default
tora-2_yousg-1,,tora,2_yousg,webm,webm,w e b m,,Nimuendaju1925;Nimuendaju1923,2,,^ w e b m $,default
urupa-2_yousg-1,,urupa,2_yousg,vim,vim,v i m,,Nimuendaju1925,2,,^ v i m $,default
wanyam-2_yousg-1,,wanyam,2_yousg,im,im,i m,,Ribeiro1998;Hanke1975,2,,^ i m $,default
wari-2_yousg-1,,wari,2_yousg,wum,wum,w u m,,EverettKern1997;Kern1996,2,,^ w u m $,default
kitemoka-3_he-1,,kitemoka,3_he,ariko,ariko,a r i k o,,CrequiMontfortRivet1913,3,,^ a r i k o $,default
more-3_he-1,,more,3_he,korari,korari,k o r a r i,,Angenot2002;Leigue1957,3,,^ k o r a r i $,default
orowin-3_he-1,,orowin,3_he,woriko,woriko,w o r i k o,,Birchall2016;deFranca2002,3,,^ w o r i k o $,default
tapakura-3_he-1,,tapakura,3_he,arikahu,arikahu,a r i k a h u,,CrequiMontfortRivet1913,3,,^ a r i k a h u $,default
tora-3_he-1,,tora,3_he,wariko,wariko,w a r i k o,,Nimuendaju1925;Nimuendaju1923,3,,^ w a r i k o $,default
urupa-3_he-1,,urupa,3_he,okain,okain,o k a i n,,Nimuendaju1925,3,,^ o k a i n $,default
wanyam-3_he-1,,wanyam,3_he,arukwan,arukwan,a r u k w a n,,Ribeiro1998;Hanke1975,3,,^ a r u kw a n $,default
wari-3_he-1,,wari,3_he,wiriko,wiriko,w i r i k o,,EverettKern1997;Kern1996,3,,^ w i r i k o $,default
kitemoka-4_we-1,,kitemoka,4_we,watʃe,watʃe,w a tʃ e,,CrequiMontfortRivet1913,4,,^ w a tʃ e $,default
more-4_we-1,,more,4_we,watiʔ,watiʔ,w a t i ʔ,,Angenot2002;Leigue1957,4,,^ w a t i ʔ $,default
orowin-4_we-1,,orowin,4_we,wariʔ,wariʔ,w a r i ʔ,,Birchall2016;deFranca2002,4,,^ w a r i ʔ $,default
tapakura-4_we-1,,tapakura,4_we,wajahu,wajahu,w a j a h u,,CrequiMontfortRivet1913,4,,^ w a j a h u $,default
tora-4_we-1,,tora,4_we,wazati,wazati,w a z a t i,,Nimuendaju1925;Nimuendaju1923,4,,^ w a z a t i $,default
urupa-4_we-1,,urupa,4_we,wari,wari,w a r i,,Nimuendaju1925,4,,^ w a r i $,default
wanyam-4_we-1,,wanyam,4_we,wari,wari,w a r i,,Ribeiro1998;Hanke1975,4,,^ w a r i $,default
wari-4_we-1,,wari,4_we,wariʔ,wariʔ,w a r i ʔ,,EverettKern1997;Kern1996,4,,^ w a r i ʔ $,default
more-5_youpl-1,,more,5_youpl,wura,wura,w u r a,,Angenot2002;Leigue1957,5,,^ w u r a $,default
orowin-5_youpl-1,,orowin,5_youpl,fuʔ,fuʔ,f u ʔ,,Birchall2016;deFranca2002,5,,^ f u ʔ $,default
tora-5_youpl-1,,tora,5_youpl,wihu,wihu,w i h u,,Nimuendaju1925;Nimuendaju1923,5,,^ w i h u $,default
wari-5_youpl-1,,wari,5_youpl,wahuʔ,wahuʔ,w a h u ʔ,,EverettKern1997;Kern1996,5,,^ w a h u ʔ $,default
orowin-6_they-1,,orowin,6_they,worikoko,worikoko,w o r i k o k o,,Birchall2016;deFranca2002,6,,^ w o r i k o k o $,default
tora-6_they-1,,tora,6_they,wariko bap,wariko bap,w a r i k o + b a p,,Nimuendaju1925;Nimuendaju1923,6,,^ w a r i k o + b a p $,default
wari-6_they-1,,wari,6_they,wirikoko,wirikoko,w i r i k o k o,,EverettKern1997;Kern1996,6,,^ w i r i k o k o $,default
more-6_they-1,,more,6_they,omapu,omapu,o m a p u,,Angenot2002;Leigue1957,7,,^ o m a p u $,default
tapakura-6_they-1,,tapakura,6_they,aʃiri,aʃiri,a ʃ i r i,,CrequiMontfortRivet1913,8,,^ a ʃ i r i $,default
more-7_whowhat-1,,more,7_whowhat,ati,ati,a t i,,Angenot2002;Leigue1957,9,,^ a t i $,default
orowin-7_whowhat-1,,orowin,7_whowhat,ati,ati,a t i,,Birchall2016;deFranca2002,9,,^ a t i $,default
more-7_whowhat-2,,more,7_whowhat,tikow,tikow,t i k o w,,Angenot2002;Leigue1957,10,,^ t i k o w $,default
tora-7_whowhat-1,,tora,7_whowhat,teokaj,teokaj,t e o k a j,,Nimuendaju1925;Nimuendaju1923,10,,^ t e o k a j $,default
wari-7_whowhat-1,,wari,7_whowhat,kaɲ,kaɲ,k a ɲ,,EverettKern1997;Kern1996,10,,^ k a ɲ $,default
orowin-8_many-1,,orowin,8_many,mijaʔ,mijaʔ,m i j a ʔ,,Birchall2016;deFranca2002,11,,^ m i j a ʔ $,default
