ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Borrowings,Patterns,Morpheme_Glosses
Abipon-85_blood-1,,Abipon,85_blood,naoigRa,naoigRa,n a w i g ʁ a,,najlis1966,,,,,1 2 3,0,0,?
Abipon-59_mouth-1,,Abipon,59_mouth,naagRat,naagRat,n a g ʁ a t,,najlis1966,,,,,4 5,0,0,?
Abipon-79_head-1,,Abipon,79_head,lapañik,l+apañik,l + a p a ɲ i k,,najlis1966,,,,,6 7,0,0,_:poss: head
Abipon-79_head-2,,Abipon,79_head,lemaRat,l+ema+Rat,l + e m a ʁ a t,,najlis1966,,,,,6 8 9,0,0,_:poss: head
Abipon-56_hand-1,,Abipon,56_hand,ñapakena,ña+pakena,ɲ a + p a k e n a,,najlis1966,,,,,11 12,0,0,_:poss hand
Abipon-53_ear-1,,Abipon,53_ear,ketal,ketal,k e t a l,,najlis1966,,,,,16,0,0,?
Abipon-37_husband-1,,Abipon,37_husband,laoenek,l+aoenek,l + a w e n e k,,najlis1966,,,,,6 26 27,0,0,_:poss spouse
Abipon-38_wife-1,,Abipon,38_wife,graoene,graoene,g r a w e n e,,najlis1966,,,,,28 29 30,0,0,?
Abipon-138_hear-1,,Abipon,138_hear,oahipat,oahipat,w a h i p a t,,najlis1966,,,,,31 32,0,0,?
Abipon-138_hear-2,,Abipon,138_hear,haoaqa,haoaqa,h a w a q a,,najlis1966,,,,,33 34,0,0,?
Abipon-187_bird-1,,Abipon,187_bird,netegRanak,netegRanak,n + e t e g + ʁ a n a k,,najlis1966,,,,,1 35 36,0,0,?
Abipon-187_bird-2,,Abipon,187_bird,kata,kata,k a t a,,najlis1966,,,,,37,0,0,?
Abipon-97_fish-1,,Abipon,97_fish,noai,noai,n w ai,,najlis1966,,,,,38,0,0,?
Abipon-130_louse-1,,Abipon,130_louse,noapaRat,n+oapaRat,n + w a p a ʁ a t,,najlis1966,,,,,1 43 9,0,0,_:poss louse
Abipon-129_dog-1,,Abipon,129_dog,netegink,netegink,n e t e g i ŋ k,,najlis1966,,,,,1 44 45,0,0,?
Abipon-251_tongue-1,,Abipon,251_tongue,liaciRat,li+aciRat,l i + a tʃ i ʁ a t,,najlis1966,,,,,46 47 9,0,0,_:poss tongue
Abipon-78_breastofwoman-1,,Abipon,78_breastofwoman,gracici,gracici,g r a + tʃ i tʃ i,,najlis1966,,,,,49,0,0,_:poss breast
Abipon-78_breastofwoman-2,,Abipon,78_breastofwoman,lateta,la+teta,l a + t e t a,,najlis1966,,,,,49,0,0,_:poss breast
Abipon-98_wing-1,,Abipon,98_wing,laoa,l+aoa,l + a w a,,najlis1966,,,,,6 50,0,0,_:poss wing
Abipon-82_back-1,,Abipon,82_back,naalete,naalete,n aː l e t e,,najlis1966,,,,,51 52,0,0,?
Abipon-82_back-2,,Abipon,82_back,nakal,nakal,n a k a l,,najlis1966,,,,,51,0,0,?
Abipon-83_bone-1,,Abipon,83_bone,ipiink,i+piink,i + p iː ŋ k,,najlis1966,,,,,53 54,0,0,_:poss bone
Abipon-120_leg-1,,Abipon,120_leg,nici,ni+ci,n i + tʃ i,,najlis1966,,,,,55 56,0,0,_:poss leg
Abipon-246_foot-1,,Abipon,246_foot,iacaRhaq,iacaRhaq,j a tʃ a ʁ h a q,,najlis1966,,,,,53 57 58,0,0,?
Abipon-261_heart-1,,Abipon,261_heart,naoel,n+aoel,n + a w e l,,najlis1966,,,,,1 60,0,0,_:poss heart
Abipon-261_heart-2,,Abipon,261_heart,neoetRanatRa,neoetRanatRa,n e o e t ʁ a n a t ʁ a,,najlis1966,,,,,1 61 62 15 63 3,0,0,?
Abipon-125_sleep-1,,Abipon,125_sleep,roate,roate,r w a t e,,najlis1966,,,,,64,0,0,?
Abipon-114_tail-1,,Abipon,114_tail,keit,keit,k ei t,,najlis1966,,,,,65,0,0,?
Abipon-75_skinhide-1,,Abipon,75_skinhide,halak,halak,h a l + a k,,najlis1966,,,,,70 71,0,0,_:poss skin
Abipon-44_feather-1,,Abipon,44_feather,letegk,l+etegk,l + e t e g k,,najlis1966,,,,,6 75,0,0,_:poss hair
Abipon-154_four-1,,Abipon,154_four,naatapici,naatapici,n aː t a p i tʃ i,,najlis1966,,,,,1 83 84,0,0,?
Abipon-154_four-2,,Abipon,154_four,keienk ñate,keienk ñate,k e j e ŋ k + ɲ a t e,,najlis1966,,,,,85 83,0,0,ostrich paws
Abipon-167_yellow-1,,Abipon,167_yellow,aoig,aoig,a w i g,,najlis1966,,,,,87,0,0,?
Abipon-167_yellow-2,,Abipon,167_yellow,ikai,i+kai,i k ai,,najlis1966,,,,,53 88,0,0,?
Abipon-167_yellow-3,,Abipon,167_yellow,keiñi,keiñi,k ei ɲ i,,najlis1966,,,,,88,0,0,?
Abipon-133_flyvb-1,,Abipon,133_flyvb,natahegem,nata+hegem,n + a t a + h e g e m,,najlis1966,,,,,1 18 89,0,0,move _:up
Abipon-297_root-1,,Abipon,297_root,pana,pana,p a n a,,najlis1966,,,,,90,0,0,?
Abipon-67_lake-1,,Abipon,67_lake,kahim,kahim,k a h i m,,najlis1966,,,,,92,0,0,?
Abipon-243_black-1,,Abipon,243_black,aooraie,aooraie,a w o r a j e,,najlis1966,,,,,93 94,0,0,?
Abipon-243_black-2,,Abipon,243_black,naoe,naoe,n + a w e,,najlis1966,,,,,95,0,0,_:3sg black
Abipon-243_black-3,,Abipon,243_black,nenegin,nenegin,n e n e g i n,,najlis1966,,,,,96,0,0,?
Abipon-164_dust-1,,Abipon,164_dust,nagmaiaRa,nagmaiaRa,n a g m a j a ʁ a,,najlis1966,,,,,99 3,0,0,?
Abipon-168_star-1,,Abipon,168_star,eergRaik,eergRaik,eː r g ʁ ai k,,najlis1966,,,,,102 103,0,0,?
Abipon-66_mother-1,,Abipon,66_mother,late,l+ate,l + a t e,,najlis1966,,,,,6 80,0,0,_:poss mother
Abipon-279_come-1,,Abipon,279_come,anek,anek,a n e k,,najlis1966,,,,,113,0,0,?
Abipon-279_come-2,,Abipon,279_come,ñaoe,ñaoe,ɲ a w e,,najlis1966,,,,,107 114,0,0,?
Abipon-43_leaf-1,,Abipon,43_leaf,letegk,l+etegk,l + e t e g k,,najlis1966,,,,,6 75,0,0,_:poss hair
Abipon-93_sky-1,,Abipon,93_sky,hipigem,hipigem,h i + p i g e m,,najlis1966,,,,,115,0,0,_:/hi sky
Abipon-90_bark-1,,Abipon,90_bark,laoelagRa,laoelagRa,l a w e l a g ʁ a,,najlis1966,,,,,6 118 3,0,0,?
Abipon-90_bark-2,,Abipon,90_bark,halak,hal+ak,h a l + a k,,najlis1966,,,,,70 71,0,0,_:poss skin
Abipon-90_bark-3,,Abipon,90_bark,loahi,loahi,l w a h i,,najlis1966,,,,,6 119,0,0,?
Abipon-153_three-1,,Abipon,153_three,iñoaka iekaiñi,iñoaka iekaiñi,i ɲ w a k a + j e k a i ɲ i,,najlis1966,,,,,125 126 127,0,0,two ?
Abipon-153_three-2,,Abipon,153_three,keienk ñate,keienk ñate,k e j e ŋ k + ɲ a t e,,najlis1966,,,,,85 125,0,0,ostrich paws
Abipon-244_white-1,,Abipon,244_white,ialak,ialak,j a l a k,,najlis1966,,,,,53 128,0,0,?
Abipon-106_year-1,,Abipon,106_year,iñiega,iñiega,i ɲ j e g a,,najlis1966,,,,,136,0,0,?
Abipon-162_drink-1,,Abipon,162_drink,ñañam,ñañam,ɲ a ɲ a m,,najlis1966,,,,,107 137,0,0,?
Abipon-162_drink-2,,Abipon,162_drink,neet,n+eet,n eː t,,najlis1966,,,,,1 138,0,0,?
Abipon-162_drink-3,,Abipon,162_drink,oik,oik,w i k,,najlis1966,,,,,139,0,0,?
Abipon-248_flower-1,,Abipon,248_flower,lenoigRaik,l+enoig+Raik,l + e n w i + g ʁ ai + k,,najlis1966,,,,,6 140 141,0,0,_:poss blossom _:adj _:masc
Abipon-264_know-1,,Abipon,264_know,riaRaik,ri+aRai+k,r i a ʁ ai k,,najlis1966,,,,,145 146 17,0,0,?
Abipon-264_know-2,,Abipon,264_know,iakatege,i+akat+ege,j a k a t e g e,,najlis1966,,,,,53 147 148,0,0,?
Abipon-264_know-3,,Abipon,264_know,iaren,i+aren,j a r e n,,najlis1966,,,,,53 149,0,0,?
Abipon-264_know-4,,Abipon,264_know,ñeton,ñ+eton,ɲ e t o n,,najlis1966,,,,,107 149,0,0,?
Abipon-274_ashes-1,,Abipon,274_ashes,aci,aci,a tʃ i,,najlis1966,,,,,152,0,0,?
Abipon-65_largebig-1,,Abipon,65_largebig,laa,laa,l aː,,najlis1966,,,,,153,0,0,?
Abipon-65_largebig-2,,Abipon,65_largebig,latenka,latenka,l a t e ŋ k a,,najlis1966,,,,,154 155,0,0,?
Abipon-148_short-1,,Abipon,148_short,larici,larici,l a r i tʃ i,,najlis1966,,,,,156,0,0,?
Abipon-149_five-1,,Abipon,149_five,hanamhegem,h+anam+hegem,h + a n a m + h e g e m,,najlis1966,,,,,163 164 89,0,0,_:1sg finish _:dir
