ID,Name,Concepticon_ID,Concepticon_Gloss,Number,GBIF_ID,GBIF_Name
1_honey,honey,942,HONEY,1,,
2_beehive,beehive,88,BEEHIVE,2,,
3_hit,hit,1433,HIT,3,,
4_brother,brother,1262,BROTHER,4,,
5_sister,sister,1263,SISTER,5,,
6_olderbrother,older brother,1759,OLDER BROTHER,6,,
7_youngerbrother,younger brother,1760,YOUNGER BROTHER,7,,
8_oldersister,older sister,1758,OLDER SISTER,8,,
9_youngersister,younger sister,1761,YOUNGER SISTER,9,,
10_son,son,1620,SON,10,,
11_daughter,daughter,1357,DAUGHTER,11,,
12_shirt,shirt,1622,SHIRT,12,,
13_cupdrinkingvessel,cup (drinking vessel),476,CUP,13,,
14_trousers,trousers,809,TROUSERS,14,,
15_long,long,1203,LONG,15,,
16_easy,easy,686,EASY,16,,
17_difficult,difficult,584,DIFFICULT,17,,
18_word,word,1599,WORD,18,,
19_language,language,1307,LANGUAGE,19,,
20_understand,understand,1536,UNDERSTAND,20,,
21_find,find,719,FIND,21,,
22_city,city,2547,CITY,22,,
23_stone,stone,668,ROCK,23,,
24_mountain,mountain,639,MOUNTAIN,24,,
25_sour,sour,1906,SOUR,25,,
26_geranospizacaerulescens,Geranospiza caerulescens,,,26,2480435,"Geranospiza caerulescens (Vieillot, 1817)"
27_britoasellowiana,Britoa sellowiana,,,27,3180975,Campomanesia laurifolia Gardner
28_tillandsiameridionalis,Tillandsia meridionalis,,,28,2695059,Tillandsia recurvifolia Hook.
29_cucurbitelladuriaei,Cucurbitella duriaei,,,29,5537213,Cucurbitella asperata (Gillies ex Hook. & Arn.) Walp.
30_echinodoruslongipetalus,Echinodorus longipetalus,,,30,5328794,Echinodorus longipetalus Micheli
31_polygonumpunctatum,Polygonum punctatum,,,31,6390957,Persicaria punctata (Elliott) Small
32_polygonumhispidum,Polygonum hispidum,,,32,7291664,Polygonum hispidum Kunth
33_pithecocteniumcynanchoides,Pithecoctenium cynanchoides,,,33,7939692,Amphilophium carolinae (Lindl.) L.G.Lohmann
34_micruruscorallinus,Micrurus corallinus,,,34,5227011,"Micrurus corallinus (Merrem, 1820)"
35_spider,spider,843,SPIDER,35,,
36_spiderweb,spider web,1065,SPIDER WEB,36,,
37_husband,husband,1200,HUSBAND,37,,
38_wife,wife,1199,WIFE,38,,
39_sit,sit,1416,SIT,39,,
40_borntobe,born (to be),1090,BE BORN,40,,
41_fall,fall,1280,FALL,41,,
42_hairhead,hair (head),2648,HAIR (HEAD),42,,
43_leaf,leaf,628,LEAF,43,,
44_feather,feather,1201,FEATHER,44,,
45_pyrocephalusrubinus,Pyrocephalus rubinus,,,45,2483647,"Pyrocephalus rubinus (Boddaert, 1783)"
46_animal,animal,619,ANIMAL,46,,
47_sun,sun,1343,SUN,47,,
48_schinopsisbalansae,Schinopsis balansae,,,48,3190533,Schinopsis balansae Engl.
49_schinopsislorentzii,Schinopsis lorentzii,,,49,3190531,Schinopsis lorentzii Engl.
50_red,red,156,RED,50,,
51_pycnoporussanguineus,Pycnoporus sanguineus,,,51,5246472,Pycnoporus sanguineus (L.) Murrill
52_treecf08600,tree (cf 08.600),906,TREE,52,,
53_ear,ear,1247,EAR,53,,
54_pectisodorata,Pectis odorata,,,54,5405564,Pectis odorata Griseb.
55_bee,bee,665,BEE,55,,
56_hand,hand,1277,HAND,56,,
57_arm,arm,1673,ARM,57,,
58_beard,beard,678,BEARD,58,,
59_mouth,mouth,674,MOUTH,59,,
60_doorgate,"door, gate",1567,DOOR,60,,
61_chin,chin,1510,CHIN,61,,
62_lip,lip,478,LIP,62,,
63_thumb,thumb,1781,THUMB,63,,
64_finger,finger,1303,FINGER,64,,
65_largebig,"large, big",1202,BIG,65,,
66_mother,mother,1216,MOTHER,66,,
67_lake,lake,624,LAKE,67,,
68_womb,womb,804,WOMB,68,,
69_parents,parents,505,PARENTS,69,,
70_eyelid,eyelid,17,EYELID,70,,
71_window,window,1375,WINDOW,71,,
72_house,house,1252,HOUSE,72,,
73_village,village,930,VILLAGE,73,,
74_seed,seed,714,SEED,74,,
75_skinhide,"skin, hide",763,SKIN,75,,
76_cover,cover,761,COVER,76,,
77_nippleteat,"nipple, teat",796,NIPPLE,77,,
78_breastofwoman,breast (of woman),1402,BREAST,78,,
79_head,head,1256,HEAD,79,,
80_beak,beak,73,BEAK,80,,
81_spine,spine,805,SPINE,81,,
82_back,back,1291,BACK,82,,
83_bone,bone,1394,BONE,83,,
84_veinartery,"vein, artery",525,BLOOD VESSEL,84,,
85_blood,blood,946,BLOOD,85,,
86_path,path,2252,PATH,86,,
87_place,place,723,PLACE (POSITION),87,,
88_skull,skull,1605,SKULL,88,,
89_fur,fur,580,FUR,89,,
90_bark,bark,1204,BARK,90,,
91_fishscale,fishscale,266,SCALE,91,,
92_cloud,cloud,1489,CLOUD,92,,
93_sky,sky,1732,SKY,93,,
94_fingernail,fingernail,1258,FINGERNAIL,94,,
95_claw,claw,72,CLAW,95,,
96_findorsal,fin (dorsal),213,FIN,96,,
97_fish,fish,227,FISH,97,,
98_wing,wing,1257,WING,98,,
99_palmofhand,palm of hand,1183,PALM OF HAND,99,,
100_smalllittle,"small, little",1246,SMALL,100,,
101_child,child,1304,CHILD (YOUNG HUMAN),101,,
102_horn,horn,1393,HORN (ANATOMY),102,,
103_club,club,1763,CLUB,103,,
104_soulspirit,"soul, spirit",811,SOUL,104,,
105_shadeshadow,"shade, shadow",1388,SHADE,105,,
106_year,year,1226,YEAR,106,,
107_summer,summer,1342,SUMMER,107,,
108_prosopisalba,Prosopis alba,,,108,5358528,Prosopis alba Griseb.
109_lightning,lightning,1654,LIGHTNING,109,,
110_fightvb,fight (vb),1423,FIGHT,110,,
111_kill,kill,1417,KILL,111,,
112_guitara,guitara,3090,GUITAR,112,,
113_horseequine,horse (equine),615,HORSE,113,,
114_tail,tail,1220,TAIL,114,,
115_sheep,sheep,1331,SHEEP,115,,
116_goat,goat,1502,GOAT,116,,
117_hegoat,he-goat,2475,MALE GOAT,117,,
118_ant,ant,587,ANT,118,,
119_rheaamericana,Rhea americana,,,119,2495165,"Rhea americana (Linnaeus, 1758)"
120_leg,leg,1297,LEG,120,,
121_footprint,footprint,318,FOOTPRINT,121,,
122_altar,altar,853,ALTAR,122,,
123_burnvbintrans,burn (vb intrans),1428,BURNING,123,,
124_bed,bed,1663,BED,124,,
125_sleep,sleep,1585,SLEEP,125,,
126_liedown,lie down,215,LIE DOWN,126,,
127_cousin,cousin,1643,COUSIN,127,,
128_flea,flea,232,FLEA,128,,
129_dog,dog,2009,DOG,129,,
130_louse,louse,1392,LOUSE,130,,
131_insect,insect,620,INSECT,131,,
132_float,float,1574,FLOAT,132,,
133_flyvb,fly (vb),1441,FLY (MOVE THROUGH AIR),133,,
134_itch,itch,148,ITCH,134,,
135_two,two,1498,TWO,135,,
136_littlequantityfew,"little (quantity), few",1242,FEW,136,,
137_potter,potter,359,POTTER,137,,
138_hear,hear,1408,HEAR,138,,
139_earthgroundsoil,"earth (ground, soil)",1228,EARTH (SOIL),139,,
140_where,where,1237,WHERE,140,,
141_how,how,1239,HOW,141,,
142_sap,sap,345,SAP,142,,
143_plantvb,plant (vb),1486,PLANT (SOMETHING),143,,
144_mute,mute,2320,MUTE PERSON,144,,
145_nearadv,near (adv),1942,NEAR,145,,
146_faradv,far (adv),1406,FAR,146,,
147_muchmany,"much, many",1198,MANY,147,,
148_short,short,1645,SHORT,148,,
149_five,five,493,FIVE,149,,
150_ten,ten,1515,TEN,150,,
151_twenty,twenty,1710,TWENTY,151,,
152_one,one,1493,ONE,152,,
153_three,three,492,THREE,153,,
154_four,four,1500,FOUR,154,,
155_six,six,1703,SIX,155,,
156_seven,seven,1704,SEVEN,156,,
157_eight,eight,1705,EIGHT,157,,
158_nine,nine,1483,NINE,158,,
159_cook,cook,1100,COOK (SOMETHING),159,,
160_fox,fox,1312,FOX,160,,
161_wolf,wolf,522,WOLF,161,,
162_drink,drink,1401,DRINK,162,,
163_see,see,1409,SEE,163,,
164_dust,dust,2,DUST,164,,
