ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Tariana-Chacon-2019-220-85_four-1,,Tariana,Chacon-2019-220-85_four,~kehkunĩpɛ,kehkunĩpɛ,k e h k u n ĩ p ɛ,,Silva1961,,,,
Moliwene-Chacon-2019-220-85_four-1,,Moliwene,Chacon-2019-220-85_four,koadaka,koadaka,k o a d a k a,,Silva1961,,,,
Mauliene-Chacon-2019-220-85_four-1,,Mauliene,Chacon-2019-220-85_four,koadáka,koadáka,k o a d a k a,,Silva1961,,,,
Kumadene1-Chacon-2019-220-85_four-1,,Kumadene1,Chacon-2019-220-85_four,koehponĩpɛ,koehponĩpɛ,k o e h p o n ĩ p ɛ,,,,,,
Name-Chacon-2019-220-85_four-1,,Name,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,,Granadillo2006,,,,
Oho-Chacon-2019-220-85_four-1,,Oho,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,,Granadillo2006,,,,
Kumadene2-Chacon-2019-220-85_four-1,,Kumadene2,Chacon-2019-220-85_four,kwadakawda,kwadakawda,kʷ a d a k a w d a,,Silva1961,,,,
Werekena-Chacon-2019-220-85_four-1,,Werekena,Chacon-2019-220-85_four,kwatɾʊ,kwatɾʊ,kʷ a t ɾ ʊ,,Silva1961,,,,
Aha-Chacon-2019-220-85_four-1,,Aha,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,,Granadillo2006,,,,
Ehe-Chacon-2019-220-85_four-1,,Ehe,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,,Granadillo2006,,,,
Waliperi-Chacon-2019-220-85_four-1,,Waliperi,Chacon-2019-220-85_four,ɽikoadaka,ɽikoadaka,ɽ i k o a d a k a,,Silva1961,,,,
Hohoodene-Chacon-2019-220-85_four-1,,Hohoodene,Chacon-2019-220-85_four,ɽikoɛpaka,ɽikoɛpaka,ɽ i k o ɛ p a k a,,Silva1961,,,,
Name-Chacon-2019-220-151_people-1,,Name,Chacon-2019-220-151_people,a’pada,a’pada,a p a d a,,Granadillo2006,,,,
Werekena-Chacon-2019-220-151_people-1,,Werekena,Chacon-2019-220-151_people,j̃amaɾi,j̃amaɾi,j̃ a m a ɾ i,,Silva1961,,,,
Tariana-Chacon-2019-220-151_people-1,,Tariana,Chacon-2019-220-151_people,maɾikɪ,maɾikɪ,m a ɾ i k ɪ,,Silva1961,,,,
Waliperi-Chacon-2019-220-151_people-1,,Waliperi,Chacon-2019-220-151_people,naːwiki,naːwiki,n aː w i k i,,Silva1961,,,,
Ehe-Chacon-2019-220-151_people-1,,Ehe,Chacon-2019-220-151_people,naike,naike,n a i k e,,Granadillo2006,,,,
Kowaidakenai-Chacon-2019-220-151_people-1,,Kowaidakenai,Chacon-2019-220-151_people,naike,naike,n a i k e,,Silva1961,,,,
Aha-Chacon-2019-220-151_people-1,,Aha,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,Granadillo2006,,,,
Kumadene2-Chacon-2019-220-151_people-1,,Kumadene2,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,Silva1961,,,,
Mauliene-Chacon-2019-220-151_people-1,,Mauliene,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,Silva1961,,,,
Oho-Chacon-2019-220-151_people-1,,Oho,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,Granadillo2006,,,,
