ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
Chacon-2019-220-1_grate,grate,3114,GRATE (SOMETHING),
Chacon-2019-220-2_hairy,hairy,,,
Chacon-2019-220-3_he,he,1211,HE,
Chacon-2019-220-4_instrumental,instrumental,,,
Chacon-2019-220-5_maniocflourinwater,manioc flour in water,,,
Chacon-2019-220-6_maniocsqueezer,manioc squeezer,,,
Chacon-2019-220-7_goodmorning,good morning,,,
Chacon-2019-220-8_riverchanel,river chanel,,,
Chacon-2019-220-9_porrige,porrige,3651,MUSH (FOOD),
Chacon-2019-220-10_sand,sand,3460,BEACH,
Chacon-2019-220-11_above,above,1741,ABOVE,
Chacon-2019-220-12_afternoon,afternoon,1807,AFTERNOON,
Chacon-2019-220-13_all,all,98,ALL,
Chacon-2019-220-14_anaconda,anaconda,896,ANACONDA (WATER BOA),
Chacon-2019-220-15_and,and,1577,AND,
Chacon-2019-220-16_animal,animal,619,ANIMAL,
Chacon-2019-220-17_arm,arm,1673,ARM,
Chacon-2019-220-18_ash,ash,646,ASH,
Chacon-2019-220-19_back,back,1291,BACK,
Chacon-2019-220-20_bad,bad,1292,BAD,
Chacon-2019-220-21_bark,bark,1204,BARK,
Chacon-2019-220-22_alive,alive,1422,BE ALIVE,
Chacon-2019-220-23_born,born,1090,BE BORN,
Chacon-2019-220-24_behind,behind,1686,BEHIND,
Chacon-2019-220-25_belly,belly,1251,BELLY,
Chacon-2019-220-26_below,below,1485,BELOW OR UNDER,
Chacon-2019-220-27_big,big,1202,BIG,
Chacon-2019-220-28_bird,bird,937,BIRD,
Chacon-2019-220-29_bite,bite,1403,BITE,
Chacon-2019-220-30_black,black,163,BLACK,
Chacon-2019-220-31_blood,blood,946,BLOOD,
Chacon-2019-220-32_blow,blow,176,BLOW (WITH MOUTH),
Chacon-2019-220-33_dull,dull,379,BLUNT,
Chacon-2019-220-34_bone,bone,1394,BONE,
Chacon-2019-220-35_boychild,"boy, child",1366,BOY,
Chacon-2019-220-36_breast,breast,1402,BREAST,
Chacon-2019-220-37_burn,burn,2102,BURN,
Chacon-2019-220-38_canoe,canoe,1970,CANOE,
Chacon-2019-220-39_chest,chest,1592,CHEST,
Chacon-2019-220-40_clean,clean,704,CLEAN,
Chacon-2019-220-41_cloud,cloud,1489,CLOUD,
Chacon-2019-220-42_cold,cold,1287,COLD,
Chacon-2019-220-43_come,come,1446,COME,
Chacon-2019-220-44_cook,cook,1100,COOK (SOMETHING),
Chacon-2019-220-45_corpse,corpse,767,CORPSE,
Chacon-2019-220-46_correct,correct,1725,CORRECT (RIGHT),
Chacon-2019-220-47_count,count,1420,COUNT,
Chacon-2019-220-48_cut,cut,1432,CUT,
Chacon-2019-220-49_dark,dark,706,DARK,
Chacon-2019-220-50_day,day,1260,DAY (24 HOURS),
Chacon-2019-220-51_devil,devil,1973,DEMON,
Chacon-2019-220-52_die,die,1494,DIE,
Chacon-2019-220-53_dig,dig,1418,DIG,
Chacon-2019-220-54_dirty,dirty,1230,DIRTY,
Chacon-2019-220-55_dog,dog,2009,DOG,
Chacon-2019-220-56_drink,drink,1401,DRINK,
Chacon-2019-220-57_dry,dry,1398,DRY,
Chacon-2019-220-58_dust,dust,2,DUST,
Chacon-2019-220-59_ear,ear,1247,EAR,
Chacon-2019-220-60_earth,earth,1228,EARTH (SOIL),
Chacon-2019-220-61_eat,eat,1336,EAT,
Chacon-2019-220-62_egg,egg,744,EGG,
Chacon-2019-220-63_eye,eye,1248,EYE,
Chacon-2019-220-64_fall,fall,1280,FALL,
Chacon-2019-220-65_far,far,1406,FAR,
Chacon-2019-220-66_grease,grease,323,FAT (ORGANIC SUBSTANCE),
Chacon-2019-220-67_father,father,1217,FATHER,
Chacon-2019-220-68_afraid,afraid,1419,FEAR (BE AFRAID),
Chacon-2019-220-69_feather,feather,1201,FEATHER,
Chacon-2019-220-70_few,few,1242,FEW,
Chacon-2019-220-71_field,field,212,FIELD,
Chacon-2019-220-72_fight,fight,1423,FIGHT,
