ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Yukpa-1_bee-1,,Yukpa,1_bee,émi̵,émi̵,e m ɨ,,Huber1992,26916,,,
Puinave-1_bee-1,,Puinave,1_bee,dəm,dəm,d ə m,,Huber1992,157,,,
Dimina-1_bee-1,,Dimina,1_bee,ni̵nga,ni̵nga,n ɨ n g a,,Huber1992,98,,,
Inga-1_bee-1,,Inga,1_bee,abix,abix,a b i x,,Huber1992,109,,,
Wayuu-1_bee-1,,Wayuu,1_bee,ʃiʃí mapá,ʃiʃí mapá,ʃ i ʃ i,,Huber1992,26626,,,
Resigaro-1_bee-1,,Resigaro,1_bee,maápú,maápú,m aa p u,,Huber1992,162,,,
EpenaBasurudo-1_bee-1,,EpenaBasurudo,1_bee,kʰikʰimí,kʰikʰimí,kʰ i kʰ i m i,,Huber1992,100,,,
Barasana-1_bee-1,,Barasana,1_bee,hõbĩãbĩ̵,hõbĩãbĩ̵,h õ b ĩ ã b ɨ̃,,Huber1992,131,,,
Yukpa-1_bee-2,,Yukpa,1_bee,mĩ̵káma,mĩ̵káma,m ɨ̃ k a m a,,Huber1992,26915,,,
Desano-1_bee-1,,Desano,1_bee,bõbẽ́bĩ̵,bõbẽ́bĩ̵,b õ b ẽ b ɨ̃,,Huber1992,131,,,
Wounaan-1_bee-1,,Wounaan,1_bee,kʰekʰeman,kʰekʰeman,kʰ e kʰ e m a n,,Huber1992,100,,,
Secoya-1_bee-1,,Secoya,1_bee,oʔa,oʔa,o ʔ a,,Huber1992,115,,,
Yuruti-1_bee-1,,Yuruti,1_bee,bṍõbĩãwĩ̵,bṍõbĩãwĩ̵,b õõ b ĩ ã w ɨ̃,,Huber1992,131,,,
Chapalaachi-1_bee-1,,Chapalaachi,1_bee,tanda,tanda,t a n d a,,Huber1992,93,,,
Kakua-1_bee-1,,Kakua,1_bee,belo⁴,belo⁴,b e l o,,Huber1992,14900,,,
Paez-1_bee-1,,Paez,1_bee,ʧiʔdʲ,ʧiʔdʲ,tʃ i ʔ dʲ,,Huber1992,26626,,,
TsafiquiPila-1_bee-1,,TsafiquiPila,1_bee,tsina,tsina,ts i n a,,Huber1992,26626,,,
Wanano-1_bee-1,,Wanano,1_bee,bĩkĩdãiro,bĩkĩdãiro,b ĩ k ĩ d ã i r o,,Huber1992,123,,,
Guayabero-1_bee-1,,Guayabero,1_bee,hi̵at,hi̵at,h ɨ a t,,Huber1992,107,,,
Waimaja-1_bee-1,,Waimaja,1_bee,beroabĩ̵,beroabĩ̵,b e r o a b ɨ̃,,Huber1992,14900,,,
Tuyuca-1_bee-1,,Tuyuca,1_bee,bũbĩ́ãwĩ̵,bũbĩ́ãwĩ̵,b ũ b ĩ ã w ɨ̃,,Huber1992,131,,,
Barasana-1_bee-2,,Barasana,1_bee,beroabi̵ki̵,beroabi̵ki̵,b e r o a b ɨ k ɨ,,Huber1992,14900,,,
Yucuna-1_bee-1,,Yucuna,1_bee,munúmunú,munúmunú,m u n u m u n u,,Huber1992,27054,,,
Muinane-1_bee-1,,Muinane,1_bee,mí̵i̵bi̵riʔi̵,mí̵i̵bi̵riʔi̵,m ɨː b ɨ r i ʔ ɨ,,Huber1992,156,,,
Waimaja-1_bee-2,,Waimaja,1_bee,utiábĩ̵,utiábĩ̵,u t i a b ɨ̃,,Huber1992,139,,,
Tanimuca-1_bee-1,,Tanimuca,1_bee,bũbĩã,bũbĩã,b ũ b ĩ ã,,Huber1992,131,,,
Puinave-1_bee-2,,Puinave,1_bee,am,am,a m,,Huber1992,125,,,
