ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Achagua,achagua,acha1250,Achagua,aca,South America,4.38649,-72.2005,Arawakan
Awa,awa,awac1239,Awa-Cuaiquer,kwi,South America,1.21652,-78.3401,Barbacoan
Baniva,baniva,bani1254,Avane,bvv,South America,5.26123,-67.5633,Arawakan
Barasana,barasana,bara1380,Barasana-Eduria,bsn,South America,0.02193,-70.808,Tucanoan
Bara,bará,waim1255,Waimaha,bao,South America,0.30416,-70.1644,Tucanoan
Bari,barí,bari1297,Barí,mot,South America,9.08497,-72.9353,Chibchan
Bora,bora,bora1263,Bora,boa,South America,-2.91467,-68.9093,Boran
Cabiyari,cabiyarí,cabi1241,Cabiyarí,cbb,South America,0.16101,-71.0622,Arawakan
Carapana,carapana,cara1272,Carapana,cbc,South America,0.06168,-69.6465,Tucanoan
Carijona,carijona,cari1279,Carijona,cbd,South America,1.21894,-72.0664,Cariban
Catio,catío,embe1260,Emberá-Catío,cto,South America,7.52721,-76.7476,Chocoan
Chapalaachi,cha'palaachi,chac1249,Cha'palaa,cbi,South America,0.71489,-79.0508,Barbacoan
Chimila,chimila,chim1309,Chimila,cbg,South America,10.1902,-74.2559,Chibchan
Cubeo,cubeo,cube1242,Cubeo,cub,South America,1.32382,-70.1939,Tucanoan
Cuiba,cuiba,cuib1242,Cuiba,cui,South America,6.19829,-69.8197,Guahiboan
Curripaco,curripaco,curr1243,Curripaco,kpc,South America,0.69618,-67.5028,Arawakan
Desano,desano,desa1247,Desano,des,South America,0.58157,-69.4955,Tucanoan
Dimina,dí̵mi̵na,mala1522,Malayo,mbp,South America,10.9286,-73.4056,Chibchan
EmberaDarien,embera Darién,nort2972,Northern Emberá,emp,South America,7.12761,-77.574,Chocoan
EmberaTado,embera Tadó,embe1261,Emberá-Tadó,tdc,South America,5.23658,-77.1533,Chocoan
EmberaChami,embera chamí,embe1262,Emberá-Chamí,cmi,South America,4.8791,-76.0749,Chocoan
EpenaSaija,epena Saija,epen1239,Epena,sja,South America,4.25877,-77.3566,Chocoan
EpenaBasurudo,epena basurudó,epen1239,Epena,sja,South America,4.25877,-77.3566,Chocoan
