ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Category,Gloss_in_source
1_bee,bee,665,BEE,abeja,cultural,ABEJA_BEE
2_achiote,achiote,349,ACHIOTE,"achiote, bija",cultural,"ACHIOTE, BIJA_ACHIOTE"
3_water,water,948,WATER,agua,basic/cultural,AGUA_WATER
4_agouti,agouti,313,AGOUTI,agutí,cultural,AGUTÍ_AGOUTI
5_banisterium,banisterium,276,BANISTERIUM,"ajahuasca, jajé",cultural,"AJAHUASCA, JAJÉ_BANISTERIUM"
6_chilipepper,chili pepper,919,CHILI PEPPER,ají,cultural,AJÍ_CHILI PEPPER
7_cotton,cotton,1850,COTTON,algodón,cultural,ALGODÓN_COTTON
8_armadillo,armadillo,1885,ARMADILLO,"armadillo, quinquincho, chupa",cultural,"ARMADILLO, QUINQUINCHO, CHUPA_ARMADILLO"
9_drink,drink,1401,DRINK,beber,basic/cultural,BEBER_DRINK
10_cayman,cayman,2438,CAIMAN,caimán,cultural,CAIMÁN_CAYMAN
11_gourd,gourd,411,GOURD,calabazo poro,cultural,CALABAZO PORO_GOURD
12_pathtrail,"path, trail",,,"camino, sendero, trocha",basic/cultural,"CAMINO, SENDERO, TROCHA_PATH, TRAIL"
13_sweetpotato,sweet potato,159,SWEET POTATO,"camote, batata",cultural,"CAMOTE, BATATA_SWEET POTATO"
14_fire,fire,221,FIRE,"candela, fuego",basic/cultural,"CANDELA, FUEGO_FIRE"
15_canoe,canoe,1970,CANOE,canoa,cultural,CANOA_CANOE
16_piranha,piranha,317,PIRANHA,caribe,cultural,CARIBE_PIRANHA
17_house,house,1252,HOUSE,casa,cultural,CASA_HOUSE
18_rapids,rapids,1670,RAPIDS,"catarata, raudal",cultural,"CATARATA, RAUDAL_RAPIDS"
19_cane,cane,146,SUGAR CANE,caña brava,cultural,CAÑA BRAVA_CANE
20_blowgun,blowgun,432,BLOWGUN,cerbatana,cultural,CERBATANA_BLOWGUN
21_chicha,chicha,441,CHICHA,"chicha, masato",cultural,"CHICHA, MASATO_CHICHA"
22_capybara,capybara,314,CAPYBARA,"chigüiro, ronsoco",cultural,"CHIGÜIRO, RONSOCO_CAPYBARA"
23_chontapalm,chonta palm,440,CHONTA PALM,chonta,cultural,CHONTA_CHONTA PALM
24_five,five,493,FIVE,cinco,cultural,CINCO_FIVE
25_coca,coca,137,COCA,coca,cultural,COCA_COCA
26_crownofhead,crown of head,1943,CROWN (OF HEAD),corona,cultural,CORONA_CROWN OF HEAD
27_knife,knife,1352,KNIFE,cuchillo,cultural,CUCHILLO_KNIFE
28_horn,horn,1393,HORN (ANATOMY),cuerno,basic/cultural,CUERNO_HORN
29_shamanfolkhealer,"shaman, folk healer",394,SHAMAN (FOLK HEALER),curandero,cultural,"CURANDERO_SHAMAN, FOLK HEALER"
30_tapir,tapir,312,TAPIR,danta,cultural,DANTA_TAPIR
31_tooth,tooth,1380,TOOTH,diente,basic/cultural,DIENTE_TOOTH
32_two,two,1498,TWO,dos,basic/cultural,DOS_TWO
33_mat,mat,195,MAT,estera,cultural,ESTERA_MAT
34_star,star,1430,STAR,estrella,basic/cultural,ESTRELLA_STAR
35_arrow,arrow,977,ARROW,flecha,cultural,FLECHA_ARROW
36_buzzard,buzzard,1865,BUZZARD,gallinazo,cultural,GALLINAZO_BUZZARD
37_cat,cat,1208,CAT,gato,cultural,GATO_CAT
38_people,people,789,PEOPLE,gente,basic/cultural,GENTE_PEOPLE
39_macaw,macaw,1630,MACAW,guacamayo,cultural,GUACAMAYO_MACAW
40_axe,axe,677,AXE,hacha,cultural,HACHA_AXE
41_hammock,hammock,2019,HAMMOCK,hamaca,cultural,HAMACA_HAMMOCK
42_maniocflour,manioc flour,324,MANIOC FLOUR,harina de yuca,cultural,HARINA DE YUCA_MANIOC FLOUR
43_leaf,leaf,2250,LEAF (LEAFLIKE OBJECT),hoja,basic/cultural,HOJA_LEAF
44_treeleaf,tree leaf,628,LEAF,hoja de árbol,basic/cultural,HOJA DE ÁRBOL_TREE LEAF
45_ant,ant,587,ANT,hormiga,cultural,HORMIGA_ANT
46_bone,bone,1394,BONE,hueso,basic/cultural,HUESO_BONE
47_liver,liver,1224,LIVER,hígado,basic/cultural,HÍGADO_LIVER
48_island,island,622,ISLAND,isla,cultural,ISLA_ISLAND
49_whitelippedpeccary,white-lipped peccary,436,WHITE-LIPPED PECCARY,jabalí mayor,cultural,JABALÍ MAYOR_WHITE-LIPPED PECCARY
50_lake,lake,624,LAKE,lago,cultural,LAGO_LAKE
51_spear,spear,945,SPEAR,lanza,cultural,LANZA_SPEAR
52_owl,owl,735,OWL,"lechuza, buho",cultural,"LECHUZA, BUHO_OWL"
53_tongue,tongue,1205,TONGUE,lengua,basic/cultural,LENGUA_TONGUE
54_puma,puma,1891,PUMA,"león, puma",cultural,"LEÓN, PUMA_PUMA"
55_full,full,1429,FULL,lleno,basic/cultural,LLENO_FULL
56_parrot,parrot,882,PARROT,loro,cultural,LORO_PARROT
57_moon,moon,1313,MOON,luna,cultural,LUNA_MOON
58_hand,hand,1277,HAND,mano,basic/cultural,MANO_HAND
59_anacondawaterboa,"anaconda, water boa",896,ANACONDA (WATER BOA),mapana,cultural,"MAPANA_ANACONDA, WATER BOA"
60_husband,husband,1200,HUSBAND,"marido, esposo",cultural,"MARIDO, ESPOSO_HUSBAND"
61_spidermonkey,spider monkey,434,SPIDER MONKEY,"marimonda, maquisapa",cultural,"MARIMONDA, MAQUISAPA_SPIDER MONKEY"
62_cornmaize,"corn, maize",506,MAIZE,maíz,cultural,"MAÍZ_CORN, MAIZE"
63_howlermonkey,howler monkey,433,HOWLER MONKEY,mono aullador,cultural,MONO AULLADOR_HOWLER MONKEY
64_mountain,mountain,639,MOUNTAIN,montaña,basic/cultural,MONTAÑA_MOUNTAIN
65_bush,bush,1683,BUSH,monte,cultural,MONTE_BUSH
66_die,die,1494,DIE,morir,basic/cultural,MORIR_DIE
67_nose,nose,1221,NOSE,nariz,basic/cultural,NARIZ_NOSE
68_chiggoejiggerflea,"chiggoe, jigger flea",438,CHIGGOE (JIGGER FLEA),"nigua, pigue",cultural,"NIGUA, PIGUE_CHIGGOE, JIGGER FLEA"
69_night,night,1233,NIGHT,noche,basic/cultural,NOCHE_NIGHT
70_name,name,1405,NAME,nombre,basic/cultural,NOMBRE_NAME
71_new,new,1231,NEW,nuevo,basic/cultural,NUEVO_NEW
72_eye,eye,1248,EYE,ojo,basic/cultural,OJO_EYE
73_ear,ear,1247,EAR,oreja,basic/cultural,OREJA_EAR
74_earornament,ear ornament,,,"orejera, arete",cultural,"OREJERA, ARETE_EAR ORNAMENT"
75_anteater,anteater,181,ANTEATER,oso hormiguero,cultural,OSO HORMIGUERO_ANTEATER
76_hear,hear,1408,HEAR,oír,basic/cultural,OÍR_HEAR
77_paca,paca,316,PACA,"paca, guagua, majas",cultural,"PACA, GUAGUA, MAJAS_PACA"
78_father,father,1217,FATHER,padre,cultural,PADRE_FATHER
79_swamp,swamp,1145,SWAMP,pantano,cultural,PANTANO_SWAMP
80_guan,guan,437,GUAN,pava de monte,cultural,PAVA DE MONTE_GUAN
81_curassow,curassow,315,CURASSOW,payo,cultural,PAYO_CURASSOW
82_parakeet,parakeet,886,PARAKEET,"perico, pihuicho",cultural,"PERICO, PIHUICHO_PARAKEET"
83_dog,dog,2009,DOG,perro,basic/cultural,PERRO_DOG
84_fish,fish,227,FISH,pescado,basic/cultural,PESCADO_FISH
85_hummingbird,hummingbird,1589,HUMMINGBIRD,"picaflor, colibrí",cultural,"PICAFLOR, COLIBRÍ_HUMMINGBIRD"
86_stone,stone,857,STONE,piedra,basic/cultural,PIEDRA_STONE
87_skin,skin,763,SKIN,piel,basic/cultural,PIEL_SKIN
88_louse,louse,1392,LOUSE,piojo,basic/cultural,PIOJO_LOUSE
89_feather,feather,1201,FEATHER,pluma,cultural,PLUMA_FEATHER
90_plantain,plantain,399,PLANTAIN,plátano,cultural,PLÁTANO_PLANTAIN
91_club,club,1763,CLUB,"porra, macana",cultural,"PORRA, MACANA_CLUB"
92_flea,flea,232,FLEA,pulga,cultural,PULGA_FLEA
93_stream,stream,,,"quebrada, caño",cultural,"QUEBRADA, CAÑO_STREAM"
94_fishnet,fish net,388,FISHNET,red,cultural,RED_FISH NET
95_paddle,paddle,3137,OAR,remo,cultural,REMO_PADDLE
96_knee,knee,1371,KNEE,rodilla,basic/cultural,RODILLA_KNEE
97_river,river,666,RIVER,río,cultural,RÍO_RIVER
98_salt,salt,1274,SALT,sal,cultural,SAL_SALT
99_blood,blood,946,BLOOD,sangre,basic/cultural,SANGRE_BLOOD
100_collaredpeccary,collared peccary,435,COLLARED PECCARY,saíno,cultural,SAÍNO_COLLARED PECCARY
101_cornfield,corn field,449,CORN FIELD,sementera de maíz,cultural,SEMENTERA DE MAÍZ_CORN FIELD
102_seed,seed,714,SEED,semilla,cultural,SEMILLA_SEED
103_snake,snake,730,SNAKE,"serpiente, culebra",cultural,"SERPIENTE, CULEBRA_SNAKE"
104_sun,sun,1343,SUN,sol,basic/cultural,SOL_SUN
105_rattle,rattle,300,RATTLE,"sonajero, maraca",cultural,"SONAJERO, MARACA_RATTLE"
106_blow,blow,175,BLOW (OF WIND),soplar,cultural,SOPLAR_BLOW
107_tobacco,tobacco,974,TOBACCO,tabaco,cultural,TABACO_TOBACCO
108_drum,drum,908,DRUM,tambor,cultural,TAMBOR_DRUM
109_roof,roof,769,ROOF,techo,cultural,TECHO_ROOF
111_earth,earth,1228,EARTH (SOIL),tierra,cultural,TIERRA_EARTH
112_jaguar,jaguar,1250,JAGUAR,tigre,cultural,TIGRE_JAGUAR
113_tortoise,tortoise,895,TORTOISE,tortuga,cultural,TORTUGA_TORTOISE
114_riverturtle,river turtle,112,TURTLE,"tortuga, motelo",cultural,"TORTUGA, MOTELO_RIVER TURTLE"
115_path,path,2252,PATH,trocha,basic/cultural,TROCHA_PATH
116_toucan,toucan,308,TOUCAN,"tucán, pinsha",cultural,"TUCÁN, PINSHA_TOUCAN"
117_one,one,1493,ONE,uno,basic/cultural,UNO_ONE
118_yousingular,you (singular),1215,THOU,usted,basic/cultural,USTED_YOU (SINGULAR)
119_youplural,you (plural),1213,YOU,ustedes,basic/cultural,USTEDES_YOU (PLURAL)
120_fingernailclaw,"fingernail, claw",2128,CLAW OR NAIL,"uña, garra",cultural,"UÑA, GARRA_FINGERNAIL, CLAW"
121_deer,deer,1936,DEER,venado,cultural,VENADO_DEER
122_come,come,1446,COME,venir,basic/cultural,VENIR_COME
123_see,see,1409,SEE,ver,basic/cultural,VER_SEE
124_oldman,old man,406,OLD MAN,viejo,cultural,VIEJO_OLD MAN
125_i,i,1209,I,yo,basic/cultural,YO_I
126_manioc,manioc,925,CASSAVA,yuca,cultural,YUCA_MANIOC
127_mosquito,mosquito,1509,MOSQUITO,zancudo,cultural,ZANCUDO_MOSQUITO
128_tree,tree,906,TREE,árbol,basic/cultural,ÁRBOL_TREE
129_yam,yam,410,YAM,ñame,cultural,ÑAME_YAM
