ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CU
LencaSalvador-1_agua-1,,LencaSalvador,1_agua,wal,wal,w a l,,Constenla2005,1,,^ w a l $,LencaSalvador,a
LencaHonduras-1_agua-1,,LencaHonduras,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,LencaHonduras,a
Cacaopera-1_agua-1,,Cacaopera,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Cacaopera,b
Mayangna-1_agua-1,,Mayangna,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Mayangna,a
Ulwa-1_agua-1,,Ulwa,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Ulwa,a
Miskito-1_agua-1,,Miskito,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Miskito,b
Pech-1_agua-1,,Pech,1_agua,àsò,àsò,à/a s ò/o,,Constenla2005,3,,^ à s ò $,Pech,
Rama-1_agua-1,,Rama,1_agua,si:,si:,s iː,,Constenla2005,4,,^ s i: $,Rama,c
MalekuJaika-1_agua-1,,MalekuJaika,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,MalekuJaika,c
Boruca-1_agua-1,,Boruca,1_agua,díʔ,díʔ,d í/i ʔ,,Constenla2005,4,,^ d í ʔ $,Boruca,c
Bribri-1_agua-1,,Bribri,1_agua,dǐʔ,dǐʔ,d ǐ/i ʔ,,Constenla2005,4,,^ d ǐ ʔ $,Bribri,c
Cabecar-1_agua-1,,Cabecar,1_agua,díkɺʊ́,díkɺʊ́,d í/i k ɺ ʊ́/ʊ,,Constenla2005,4,,^ d í k ɺ ʊ́ $,Cabecar,c
Teribe-1_agua-1,,Teribe,1_agua,dí,dí,d í/i,,Constenla2005,4,,^ d í $,Teribe,c
Ngabere-1_agua-1,,Ngabere,1_agua,ɲɤ,ɲɤ,ɲ ɤ,,Constenla2005,4,,^ ɲ ɤ $,Ngabere,c
Buglere-1_agua-1,,Buglere,1_agua,tʃi,tʃi,tʃ i,,Constenla2005,4,,^ tʃ i $,Buglere,c
Dorasque-1_agua-1,,Dorasque,1_agua,yi,yi,j i,,Constenla2005,4,,^ y i $,Dorasque,c
SanBlasKuna-1_agua-1,,SanBlasKuna,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,SanBlasKuna,c
Cogui-1_agua-1,,Cogui,1_agua,ni,ni,n i,,Constenla2005,4,,^ n i $,Cogui,c
Arhuaco-1_agua-1,,Arhuaco,1_agua,dʒe,dʒe,dʒ e,,Constenla2005,4,,^ dʒ e $,Arhuaco,c
Malayo-1_agua-1,,Malayo,1_agua,'dʒiɾa,'dʒiɾa,'d/d ʒ i ɾ a,,Constenla2005,4,,^ 'd ʒ i ɾ a $,Malayo,c
Chimila-1_agua-1,,Chimila,1_agua,ditake:,ditake:,d i t a k eː,,Constenla2005,4,,^ d i t a k e: $,Chimila,c
Chibcha-1_agua-1,,Chibcha,1_agua,sie,sie,s i e,,Constenla2005,4,,^ s i e $,Chibcha,c
CentralTunebo-1_agua-1,,CentralTunebo,1_agua,'riʔa,'riʔa,'r/r i ʔ a,,Constenla2005,4,,^ 'r i ʔ a $,CentralTunebo,c
Bari-1_agua-1,,Bari,1_agua,sĩ: mã,sĩ: mã,s ĩː + m ã,,Constenla2005,4,,^ s ĩ: + m ã $,Bari,c
LencaSalvador-2_amarillo-1,,LencaSalvador,2_amarillo,ku,ku,k u,,Constenla2005,5,,^ k u $,LencaSalvador,
LencaHonduras-2_amarillo-1,,LencaHonduras,2_amarillo,suninga,suninga,s u n i n g a,,Constenla2005,6,,^ s u n i n g a $,LencaHonduras,
Cacaopera-2_amarillo-1,,Cacaopera,2_amarillo,maju,maju,m a j u,,Constenla2005,7,,^ m a j u $,Cacaopera,
Mayangna-2_amarillo-1,,Mayangna,2_amarillo,lalahni,lalahni,l a l a h n i,,Constenla2005,8,,^ l a l a h n i $,Mayangna,a
Ulwa-2_amarillo-1,,Ulwa,2_amarillo,lalahka,lalahka,l a l a h k a,,Constenla2005,8,,^ l a l a h k a $,Ulwa,a
Miskito-2_amarillo-1,,Miskito,2_amarillo,lalalhni,lalalhni,l a l a l h n i,,Constenla2005,8,,^ l a l a l h n i $,Miskito,a
Pech-2_amarillo-1,,Pech,2_amarillo,sè: wa,sè: wa,s èː/eː + w a,,Constenla2005,9,,^ s è: + w a $,Pech,
Rama-2_amarillo-1,,Rama,2_amarillo,nuknukŋa,nuknukŋa,n u k n u k ŋ a,,Constenla2005,10,,^ n u k n u k ŋ a $,Rama,
