ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Borrowing,Partial_Cognacy,Alignment,GroupedSounds
Anonimo-1_one-1,,Anonimo,1_one,huc,huc,h u k,,valera1586,663,,,,,4783,h u k,"['h', 'u', 'k']"
Apuri-1_one-1,,Apuri,1_one,huk,huk,h u k,,shimelman2017,663,,,,,4783,h u k,"['h', 'u', 'k']"
Apurimac-1_one-1,,Apurimac,1_one,"huk, huj, huq",huk,h u k,,camacho2007,663,,,,,4783,h u k,"['h', 'u', 'k']"
Apurimac-1_one-2,,Apurimac,1_one,"huk, huj, huq",huj,h u χ,,camacho2007,663,,,,,4783,h u χ,"['h', 'u', 'χ']"
Apurimac-1_one-3,,Apurimac,1_one,"huk, huj, huq",huq,h u q,,camacho2007,663,,,,,4783,h u q,"['h', 'u', 'q']"
Arma-1_one-1,,Arma,1_one,huk,huk,h u k,,galvez2003,663,,,,,4783,h u k,"['h', 'u', 'k']"
Atalla-1_one-1,,Atalla,1_one,huk,huk,h u k,,heggarty2005,663,,,,,4783,h u k,"['h', 'u', 'k']"
Ayacucho-1_one-1,,Ayacucho,1_one,huk,huk,h u k,,soto1976,663,,,,,4783,h u k,"['h', 'u', 'k']"
Bobonaza-1_one-1,,Bobonaza,1_one,shuj,shuj,ʃ u x,,orrwrisley1981,663,,,,,4783,ʃ u x,"['ʃ', 'u', 'x']"
Cacra-Hongos-1_one-1,,Cacra-Hongos,1_one,huk,huk,h u k,,shimelman2017,663,,,,,4783,h u k,"['h', 'u', 'k']"
Chachapoyas-1_one-1,,Chachapoyas,1_one,suj,suj,s u x,,taylor2006,663,,,,,4783,s u x,"['s', 'u', 'x']"
Chacpar-1_one-1,,Chacpar,1_one,huk,huk,h u k,,heggarty2005,663,,,,,4783,h u k,"['h', 'u', 'k']"
Chetilla-1_one-1,,Chetilla,1_one,suχ,suχ,s u χ,,heggarty2005,663,,,,,4783,s u χ,"['s', 'u', 'χ']"
Chipaya-1_one-1,,Chipaya,1_one,zinta,zinta,z i n t a,,heggarty2005,664,,,,,4784,z i n t a,"['z', 'i', 'n', 't', 'a']"
Curva-1_one-1,,Curva,1_one,ux,ux,u x,,heggarty2005,663,,,,,4783,- u x,"['u', 'x']"
Cuzco-1_one-1,,Cuzco,1_one,huχ,huχ,h u χ,,heggarty2005,663,,,,,4783,h u χ,"['h', 'u', 'χ']"
CuzquenoAntiguo-1_one-1,,CuzquenoAntiguo,1_one,huc,huc,h u k,,holguin1608,663,,,,,4783,h u k,"['h', 'u', 'k']"
Huallaga-1_one-1,,Huallaga,1_one,huk,huk,h u k,,heggarty2005,663,,,,,4783,h u k,"['h', 'u', 'k']"
Huanca-1_one-1,,Huanca,1_one,suk,suk,s u k,,cerron1976,663,,,,,4783,s u k,"['s', 'u', 'k']"
Jauja-1_one-1,,Jauja,1_one,huk,huk,h u k,,cerron1976,663,,,,,4783,h u k,"['h', 'u', 'k']"
Huancane-1_one-1,,Huancane,1_one,maya,maya,m a j a,,heggarty2005,528,,,,,40,m a j a,"['m', 'a', 'j', 'a']"
Huangascar-1_one-1,,Huangascar,1_one,huk,huk,h u k,,shimelman2017,663,,,,,4783,h u k,"['h', 'u', 'k']"
HuarazHuailas-1_one-1,,HuarazHuailas,1_one,huk,huk,x u k,,parkerchavez1976,663,,,,,4783,x u k,"['x', 'u', 'k']"
Imbabura-1_one-1,,Imbabura,1_one,shuk,shuk,ʃ u k,,gomez2009,663,,,,,4783,ʃ u k,"['ʃ', 'u', 'k']"
Inkawasi-1_one-1,,Inkawasi,1_one,uk,uk,u k,,heggarty2005,663,,,,,4783,- u k,"['u', 'k']"
Iruhito-1_one-1,,Iruhito,1_one,tsi:,tsi:,t s iː,,cerron2016,1003,,,,,79,t - s iː,"['t', 's', 'iː']"
Jaqaru-1_one-1,,Jaqaru,1_one,maya,maya,m a j a,,heggarty2005,528,,,,,40,m a j a,"['m', 'a', 'j', 'a']"
Kawki-1_one-1,,Kawki,1_one,maya,maya,m a j a,,heggarty2005,528,,,,,40,m a j a,"['m', 'a', 'j', 'a']"
Lamas-1_one-1,,Lamas,1_one,suk,suk,s u k,,taylor2006,663,,,,,4783,s u k,"['s', 'u', 'k']"
Laraos-1_one-1,,Laraos,1_one,huk,huk,h u k,,heggarty2005,663,,,,,4783,h u k,"['h', 'u', 'k']"
Lincha-Tana-1_one-1,,Lincha-Tana,1_one,huk,huk,h u k,,shimelman2017,663,,,,,4783,h u k,"['h', 'u', 'k']"
Maragua-1_one-1,,Maragua,1_one,ux,ux,u x,,heggarty2005,663,,,,,4783,- u x,"['u', 'x']"
Napo-1_one-1,,Napo,1_one,shuj,shuj,ʃ u,,orrwrisley1981,663,,,,,4783,ʃ u -,"['ʃ', 'u']"
Pacaraos-1_one-1,,Pacaraos,1_one,huk,huk,x u k,,adelaar1982,663,,,,,4783,x u k,"['x', 'u', 'k']"
Pastaza-1_one-1,,Pastaza,1_one,shuc,shuc,ʃ u k,,landerman1973,663,,,,,4783,ʃ u k,"['ʃ', 'u', 'k']"
Pocona-1_one-1,,Pocona,1_one,ux,ux,u x,,heggarty2005,663,,,,,4783,- u x,"['u', 'x']"
Puki-1_one-1,,Puki,1_one,maya,maya,m a j a,,heggarty2005,528,,,,,40,m a j a,"['m', 'a', 'j', 'a']"
Puno-1_one-1,,Puno,1_one,ux,ux,u x,,heggarty2005,663,,,,,4783,- u x,"['u', 'x']"
Putumayo-1_one-1,,Putumayo,1_one,sug,sug,s u g,,tandioy1978,663,,,,,4783,s u g,"['s', 'u', 'g']"
Raimondi-1_one-1,,Raimondi,1_one,huk,huk,x u k,,parkerchavez1976,663,,,,,4783,x u k,"['x', 'u', 'k']"
SanPedro-1_one-1,,SanPedro,1_one,huk,huk,h u k,,shimelman2017,663,,,,,4783,h u k,"['h', 'u', 'k']"
Santiagueno-1_one-1,,Santiagueno,1_one,suk,suk,s u x,,juanatey2021,663,,,,,4783,s u x,"['s', 'u', 'x']"
SantoTomas-1_one-1,,SantoTomas,1_one,ʃuc,ʃuc,s u k,,santotomas1951,663,,,,,4783,s u k,"['s', 'u', 'k']"
Serena-1_one-1,,Serena,1_one,šux,šux,ʃ u x,,heggarty2005,663,,,,,4783,ʃ u x,"['ʃ', 'u', 'x']"
