ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Ak-1_i-1,,Ak,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default
Ar-1_i-1,,Ar,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default
Gv-1_i-1,,Gv,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default
Ju-1_i-1,,Ju,1_i,una,una,u n a,,Galucio2015,,,^ u n a $,default
Ka-1_i-1,,Ka,1_i,ʔõn,ʔõn,ʔ õ n,,Galucio2015,,,^ ʔ õ n $,default
Kt-1_i-1,,Kt,1_i,ĩn,ĩn,ĩ n,,Galucio2015,,,^ ĩ n $,default
Ku-1_i-1,,Ku,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default
Ma-1_i-1,,Ma,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default
Me-1_i-1,,Me,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default
Mu-1_i-1,,Mu,1_i,ṍn,ṍn,õ n,,Galucio2015,,,^ ṍ n $,default
Pu-1_i-1,,Pu,1_i,ʔõn,ʔõn,ʔ õ n,,Galucio2015,,,^ ʔ õ n $,default
Sa-1_i-1,,Sa,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default
Su-1_i-1,,Su,1_i,ó.ẽn,ó.ẽn,ó/o + ẽ n,,Galucio2015,,,^ ó . ẽ n $,default
Tu-1_i-1,,Tu,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default
Wa-1_i-1,,Wa,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default
Xi-1_i-1,,Xi,1_i,una,una,u n a,,Galucio2015,,,^ u n a $,default
Zo-1_i-1,,Zo,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default
Aw-1_i-1,,Aw,1_i,ito,ito,i t o,,Galucio2015,,,^ i t o $,default
Mw-1_i-1,,Mw,1_i,ujto,ujto,u j t o,,Galucio2015,,,^ u j t o $,default
Pg-1_i-1,,Pg,1_i,ʃe,ʃe,ʃ e,,Galucio2015,,,^ ʃ e $,default
Pt-1_i-1,,Pt,1_i,ji(hi),ji,j i,,Galucio2015,,,^ j i $,default
Ta-1_i-1,,Ta,1_i,ie,ie,i e,,Galucio2015,,,^ i e $,default
Uk-1_i-1,,Uk,1_i,ihẽ,ihẽ,i h ẽ,,Galucio2015,,,^ i h ẽ $,default
Ak-2_you-1,,Ak,2_you,en,en,e n,,Galucio2015,,,^ e n $,default
Ar-2_you-1,,Ar,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,,^ ẽẽ t $,default
Aw-2_you-1,,Aw,2_you,ʔen,ʔen,ʔ e n,,Galucio2015,,,^ ʔ e n $,default
Gv-2_you-1,,Gv,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,,^ ẽẽ t $,default
Ju-2_you-1,,Ju,2_you,ena,ena,e n a,,Galucio2015,,,^ e n a $,default
Ka-2_you-1,,Ka,2_you,ʔẽn,ʔẽn,ʔ ẽ n,,Galucio2015,,,^ ʔ ẽ n $,default
Kt-2_you-1,,Kt,2_you,ãn,ãn,ã n,,Galucio2015,,,^ ã n $,default
Ku-2_you-1,,Ku,2_you,ẽn,ẽn,ẽ n,,Galucio2015,,,^ ẽ n $,default
Ma-2_you-1,,Ma,2_you,ẽn,ẽn,ẽ n,,Galucio2015,,,^ ẽ n $,default
Me-2_you-1,,Me,2_you,ẽt,ẽt,ẽ t,,Galucio2015,,,^ ẽ t $,default
Mu-2_you-1,,Mu,2_you,ẽ́n,ẽ́n,ẽ́/ẽ n,,Galucio2015,,,^ ẽ́ n $,default
Mw-2_you-1,,Mw,2_you,en,en,e n,,Galucio2015,,,^ e n $,default
Pu-2_you-1,,Pu,2_you,ʔẽn,ʔẽn,ʔ ẽ n,,Galucio2015,,,^ ʔ ẽ n $,default
Sa-2_you-1,,Sa,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,,^ ẽẽ t $,default
Su-2_you-1,,Su,2_you,é.ẽn,é.ẽn,é/e + ẽ n,,Galucio2015,,,^ é . ẽ n $,default
Tu-2_you-1,,Tu,2_you,ẽn,ẽn,ẽ n,,Galucio2015,,,^ ẽ n $,default
Wa-2_you-1,,Wa,2_you,ʔẽn,ʔẽn,ʔ ẽ n,,Galucio2015,,,^ ʔ ẽ n $,default
Xi-2_you-1,,Xi,2_you,ena,ena,e n a,,Galucio2015,,,^ e n a $,default
Zo-2_you-1,,Zo,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,,^ ẽẽ t $,default
Pg-2_you-1,,Pg,2_you,nde,nde,n d e,,Galucio2015,,,^ n d e $,default
Pt-2_you-1,,Pt,2_you,nde(he),nde,n d e,,Galucio2015,,,^ n d e $,default
Ta-2_you-1,,Ta,2_you,ane,ane,a n e,,Galucio2015,,,^ a n e $,default
Uk-2_you-1,,Uk,2_you,nde,nde,n d e,,Galucio2015,,,^ n d e $,default
Pg-3_weinclusive-1,,Pg,3_weinclusive,ɲande,ɲande,ɲ a n d e,,Galucio2015,,,^ ɲ a n d e $,default
