ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Ak,Akuntsú,akun1241,Akuntsu,aqz,South America,-12.8322,-60.9716,Tupian
Ar,Aruá,arua1261,Aruá (Rondonia State),arx,South America,-12.1186,-62.4357,Tupian
Aw,Awetí,awet1244,Awetí,awe,South America,-12.381944,-53.391944,Tupian
Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,South America,-10.7235,-61.6752,Tupian
Ju,Jurúna,juru1256,Jurúna,jur,South America,-10.9354,-53.3472,Tupian
Ka,Káro,karo1305,Karo (Brazil),arr,South America,-10.3342,-61.5691,Tupian
Kt,Karitiána,kari1311,Karitiâna,ktn,South America,-9.37937,-64.1522,Tupian
Ku,Kuruáya,kuru1309,Kuruáya,kyr,South America,-3.09561,-52.2303,Tupian
Ma,Makuráp,maku1278,Makuráp,mpu,South America,-11.8701,-64.3201,Tupian
Me,Mekéns,saki1248,Mekens,skf,South America,-13.054,-62.0927,Tupian
Mu,Mundurukú,mund1330,Mundurukú,myu,South America,-8.41095,-57.691,Tupian
Mw,Mawé,sate1243,Sateré-Mawé,mav,South America,-3.63897,-56.8749,Tupian
Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,South America,-25.60551,-57.08816,Tupian
Pt,Parintintín,pari1258,Parintintín,,South America,,,Tupian
Pu,Puruborá,puru1264,Puruborá,pur,South America,-11.4226,-62.4358,Tupian
Sa,Salamãy,sala1273,Salamãi,mnd,South America,-12.0499,-61.25,Tupian
Su,Suruí,suru1262,Suruí,sru,South America,-11.0989,-61.2818,Tupian
Ta,Tapirapé,tapi1254,Tapirapé,taf,South America,-10.5373,-50.5438,Tupian
Tu,Tuparí,tupa1250,Tuparí,tpr,South America,-11.8884,-62.2544,Tupian
Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,South America,-2.46455,-46.2204,Tupian
Wa,Wayoró,wayo1238,Wayoró,wyr,South America,-12.6945,-61.3064,Tupian
Xi,Xipáya,xipa1240,Xipaya,xiy,South America,-4.133,-49.948,Tupian
Zo,Zoró,zoro1244,Zoró,,South America,-10.173,-59.456,Tupian
