ID,Name,Concepticon_ID,Concepticon_Gloss
1_i,I,1209,I
2_you,YOU,1215,THOU
3_weinclusive,WE (INCLUSIVE),1131,WE (INCLUSIVE)
4_this,THIS,1214,THIS
5_that,THAT,78,THAT
6_what,WHAT,1236,WHAT
7_who,WHO,1235,WHO
8_not,NOT,1240,NOT
9_all,ALL,98,ALL
10_many,MANY,1198,MANY
11_one,ONE,1493,ONE
12_two,TWO,1498,TWO
13_big,BIG,1202,BIG
14_long,LONG,1203,LONG
15_small,SMALL,1246,SMALL
16_woman,WOMAN,962,WOMAN
17_man,MAN,1554,MAN
18_person,PERSON,683,PERSON
19_fish,FISH,227,FISH
20_bird,BIRD,937,BIRD
21_dog,DOG,2009,DOG
22_louse,LOUSE,1392,LOUSE
23_tree,TREE,906,TREE
24_seed,SEED,714,SEED
25_leaf,LEAF,628,LEAF
26_root,ROOT,670,ROOT
27_bark,BARK,1204,BARK
28_skin,SKIN,763,SKIN
29_fleshmeat,FLESH/MEAT,2615,FLESH OR MEAT
30_blood,BLOOD,946,BLOOD
31_bone,BONE,1394,BONE
32_egg,EGG,744,EGG
33_greasefat,GREASE/FAT,323,FAT (ORGANIC SUBSTANCE)
34_horn,HORN,1393,HORN (ANATOMY)
35_tail,TAIL,1220,TAIL
36_feather,FEATHER,1201,FEATHER
37_hair,HAIR,1040,HAIR
38_head,HEAD,1256,HEAD
39_ear,EAR,1247,EAR
40_eye,EYE,1248,EYE
41_nose,NOSE,1221,NOSE
42_mouth,MOUTH,674,MOUTH
43_tooth,TOOTH,1380,TOOTH
44_tongue,TONGUE,1205,TONGUE
45_claw,CLAW,72,CLAW
46_foot,FOOT,1301,FOOT
47_knee,KNEE,1371,KNEE
48_hand,HAND,1277,HAND
49_belly,BELLY,1251,BELLY
50_neck,NECK,1333,NECK
51_breast,BREAST,1402,BREAST
52_heartguts,HEART/GUTS,2436,GUTS OR HEART
53_liver,LIVER,1224,LIVER
54_drink,DRINK,1401,DRINK
55_eat,EAT,1336,EAT
56_bite,BITE,1403,BITE
57_see,SEE,1409,SEE
58_hear,HEAR,1408,HEAR
59_know,KNOW,3626,KNOW
60_sleep,SLEEP,1585,SLEEP
61_die,DIE,1494,DIE
62_kill,KILL,1417,KILL
63_swim,SWIM,1439,SWIM
64_fly,FLY,1441,FLY (MOVE THROUGH AIR)
65_walk,WALK,1443,WALK
66_come,COME,1446,COME
67_liedown,LIE (DOWN),1411,LIE (REST)
68_sit,SIT,1416,SIT
69_stand,STAND,1442,STAND
70_give,GIVE,1447,GIVE
71_say,SAY,1458,SAY
72_sun,SUN,1343,SUN
73_moon,MOON,1313,MOON
74_star,STAR,1430,STAR
75_water,WATER,948,WATER
76_rain,RAIN,2108,RAINING OR RAIN
77_stone,STONE,857,STONE
78_sand,SAND,671,SAND
79_earth,EARTH,1228,EARTH (SOIL)
80_cloud,CLOUD,1489,CLOUD
81_smoke,SMOKE,778,SMOKE (EXHAUST)
82_fire,FIRE,221,FIRE
83_ash,ASH,646,ASH
84_burnintr,BURN (INTR.),1428,BURNING
85_path,PATH,2252,PATH
86_mountain,MOUNTAIN,639,MOUNTAIN
87_red,RED,156,RED
88_green,GREEN,1425,GREEN
89_yellow,YELLOW,1424,YELLOW
90_white,WHITE,1335,WHITE
91_black,BLACK,163,BLACK
92_night,NIGHT,1233,NIGHT
93_hot,HOT,1286,HOT
94_cold,COLD,1287,COLD
95_full,FULL,1429,FULL
96_good,GOOD,1035,GOOD
97_new,NEW,1231,NEW
98_round,ROUND,1395,ROUND
99_dry,DRY,1398,DRY
100_name,NAME,1405,NAME
