ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Desano-1_tongue-1,,Desano,1_tongue,nḗ̠riru,nḗ̠riru,n ɛ ɛ ɾ i ɾ u,,Koch1914[812],,,^ nḗ̠riru $,default
Yupua-1_tongue-1,,Yupua,1_tongue,dṓlo,dṓlo,d ɔ ɔ ɺ ɔ,,Koch1914[812],,,^ dṓlo $,default
Yahuna-1_tongue-1,,Yahuna,1_tongue,nē̠nóke̠ka,nē̠nóke̠ka,n ɛ ɛ n ɔ k ɛ k a,,Koch1914[812],,,^ nē̠nóke̠ka $,default
Koretu-1_tongue-1,,Koretu,1_tongue,siáme̠lako,siáme̠lako,s i a m ɛ ɺ a k ɔ,,Koch1914[812],,,^ siáme̠lako $,default
Yupua-1_tongue-2,,Yupua,1_tongue,(n)dṓlo,dṓlo,d ɔ ɔ ɺ ɔ,,Koch1914[812],,,^ dṓlo $,default
Desano-2_mouth-1,,Desano,2_mouth,dix̯sī́ro,dix̯sī́ro,d i h s i i ɾ ɔ,,Koch1914[812],,,^ dix̯sī́ro $,default
Yupua-2_mouth-1,,Yupua,2_mouth,dix̯(t)si,dix̯si,d i h s i,,Koch1914[812],,,^ dix̯si $,default
Yahuna-2_mouth-1,,Yahuna,2_mouth,dihokópe̠,dihokópe̠,d i h ɔ k ɔ p ɛ,,Koch1914[812],,,^ dihokópe̠ $,default
Koretu-2_mouth-1,,Koretu,2_mouth,sírise̠pu̠,sírise̠pu̠,s i ɾ i s ɛ p ʊ,,Koch1914[812],,,^ sírise̠pu̠ $,default
Yahuna-2_mouth-2,,Yahuna,2_mouth,lihokópe̠,lihokópe̠,ɺ i h ɔ k ɔ p ɛ,,Koch1914[812],,,^ lihokópe̠ $,default
Desano-3_lip-1,,Desano,3_lip,dix̯síbero,dix̯síbero,d i h s i b e ɾ ɔ,,Koch1914[812],,,^ dix̯síbero $,default
Yupua-3_lip-1,,Yupua,3_lip,dix̯(t)sigat(š)i,dix̯sigati,d i h s i g a t i,,Koch1914[812],,,^ dix̯sigati $,default
Yahuna-3_lip-1,,Yahuna,3_lip,dihé̠a,dihé̠a,d i h ɛ a,,Koch1914[812],,,^ dihé̠a $,default
Koretu-3_lip-1,,Koretu,3_lip,sírise̠pu̠,sírise̠pu̠,s i ɾ i s ɛ p ʊ,,Koch1914[812],,,^ sírise̠pu̠ $,default
Yahuna-3_lip-2,,Yahuna,3_lip,lihé̠a,lihé̠a,ɺ i h ɛ a,,Koch1914[812],,,^ lihé̠a $,default
Desano-4_tooth-1,,Desano,4_tooth,guhī́kuli,guhī́kuli,g u h i i k u ɺ i,,Koch1914[812],,,^ guhī́kuli $,default
Yupua-4_tooth-1,,Yupua,4_tooth,goxpé̠ga,goxpé̠ga,g ɔ h p ɛ g a,,Koch1914[812],,,^ goxpé̠ga $,default
Yahuna-4_tooth-1,,Yahuna,4_tooth,ōpía,ōpía,ɔ ɔ p i a,,Koch1914[812],,,^ ōpía $,default
Koretu-4_tooth-1,,Koretu,4_tooth,síkoḥiri,síkoḥiri,s i k ɔ h i ɾ i,,Koch1914[812],,,^ síkoḥiri $,default
Yupua-4_tooth-2,,Yupua,4_tooth,góxpe̠ga,góxpe̠ga,g ɔ h p ɛ g a,,Koch1914[812],,,^ góxpe̠ga $,default
Desano-5_nose-1,,Desano,5_nose,ī́ṅinu,ī́ṅinu,i i ŋ i n u,,Koch1914[812],,,^ ī́ṅinu $,default
Yupua-5_nose-1,,Yupua,5_nose,ḗge̥le,ḗge̥le,e e g ɨ ɺ e,,Koch1914[812],,,^ ḗge̥le $,default
Yahuna-5_nose-1,,Yahuna,5_nose,ṓme̠,ṓme̠,ɔ ɔ m ɛ,,Koch1914[812],,,^ ṓme̠ $,default
Koretu-5_nose-1,,Koretu,5_nose,sikomé̠o,sikomé̠o,s i k ɔ m ɛ ɔ,,Koch1914[812],,,^ sikomé̠o $,default
Desano-6_nostril-1,,Desano,6_nostril,íṅigobe̠ri,íṅigobe̠ri,i ŋ i g ɔ b ɛ ɾ i,,Koch1914[812],,,^ íṅigobe̠ri $,default
Yahuna-6_nostril-1,,Yahuna,6_nostril,ṓme̠kope̠a,ṓme̠kope̠a,ɔ ɔ m ɛ k ɔ p ɛ a,,Koch1914[812],,,^ ṓme̠kope̠a $,default
Desano-7_eye-1,,Desano,7_eye,kuī́ri,kuī́ri,k u i i ɾ i,,Koch1914[812],,,^ kuī́ri $,default
Yupua-7_eye-1,,Yupua,7_eye,yḗle̥,yḗle̥,j e e ɺ ɨ,,Koch1914[812],,,^ yḗle̥ $,default
Yahuna-7_eye-1,,Yahuna,7_eye,ya'koá,ya'koá,j a ʔ k ɔ a,,Koch1914[812],,,^ ya'koá $,default
Koretu-7_eye-1,,Koretu,7_eye,siakṓkia,siakṓkia,s i a k ɔ ɔ k i a,,Koch1914[812],,,^ siakṓkia $,default
Desano-8_ear-1,,Desano,8_ear,gā'mī́no,gā'mī́no,g a a ʔ m i i n ɔ,,Koch1914[812],,,^ gā'mī́no $,default
Yupua-8_ear-1,,Yupua,8_ear,(ṅ)gámu,gámu,g a m u,,Koch1914[812],,,^ gámu $,default
Yahuna-8_ear-1,,Yahuna,8_ear,āmó,āmó,a a m ɔ,,Koch1914[812],,,^ āmó $,default
Koretu-8_ear-1,,Koretu,8_ear,sikiaū́lo,sikiaū́lo,s i k i a u u ɺ ɔ,,Koch1914[812],,,^ sikiaū́lo $,default
Yupua-8_ear-2,,Yupua,8_ear,(g)ámu,ámu,a m u,,Koch1914[812],,,^ ámu $,default
Yahuna-8_ear-2,,Yahuna,8_ear,ā'mé̥,ā'mé̥,a a ʔ m ɨ,,Koch1914[812],,,^ ā'mé̥ $,default
Yupua-8_ear-3,,Yupua,8_ear,(n)g(n)ámu,gámu,g a m u,,Koch1914[812],,,^ gámu $,default
Desano-9_earhole-1,,Desano,9_earhole,gā́migobe̠,gā́migobe̠,g a a m i g ɔ b ɛ,,Koch1914[812],,,^ gā́migobe̠ $,default
Yahuna-9_earhole-1,,Yahuna,9_earhole,āmokópe̠a,āmokópe̠a,a a m ɔ k ɔ p ɛ a,,Koch1914[812],,,^ āmokópe̠a $,default
Desano-10_holeintheearlobe-1,,Desano,10_holeintheearlobe,ga'minógobe̠,ga'minógobe̠,g a ʔ m i n ɔ g ɔ b ɛ,,Koch1914[812],,,^ ga'minógobe̠ $,default
Yahuna-10_holeintheearlobe-1,,Yahuna,10_holeintheearlobe,āmóakakope̠a,āmóakakope̠a,a a m ɔ a k a k ɔ p ɛ a,,Koch1914[812],,,^ āmóakakope̠a $,default
Desano-11_pinintheearlobe-1,,Desano,11_pinintheearlobe,ga'minotsā́lioxka,ga'minotsā́lioxka,g a ʔ m i n ɔ ts a a ɺ i ɔ h k a,,Koch1914[812],,,^ ga'minotsā́lioxka $,default
Yahuna-11_pinintheearlobe-1,,Yahuna,11_pinintheearlobe,amukótoa,amukótoa,a m u k ɔ t ɔ a,,Koch1914[812],,,^ amukótoa $,default
Yahuna-11_pinintheearlobe-2,,Yahuna,11_pinintheearlobe,amokótoa,amokótoa,a m ɔ k ɔ t ɔ a,,Koch1914[812],,,^ amokótoa $,default
Desano-12_holeinthelowerlip-1,,Desano,12_holeinthelowerlip,dix̯sipuligobe̠,dix̯sipuligobe̠,d i h s i p u ɺ i g ɔ b ɛ,,Koch1914[812],,,^ dix̯sipuligobe̠ $,default
Yahuna-12_holeinthelowerlip-1,,Yahuna,12_holeinthelowerlip,hāt(s)íkope̠a,hātíkope̠a,h a a t i k ɔ p ɛ a,,Koch1914[812],,,^ hātíkope̠a $,default
Desano-13_longandthincylinderinthelowerlip-1,,Desano,13_longandthincylinderinthelowerlip,disx̯sípulitsai̯ánidex̯ka,disx̯sípulitsai̯ánidex̯ka,d i s h s i p u ɺ i ts a j a n i d e h k a,,Koch1914[812],,,^ disx̯sípulitsai̯ánidex̯ka $,default
Yahuna-13_longandthincylinderinthelowerlip-1,,Yahuna,13_longandthincylinderinthelowerlip,hāt(s)ia,hātia,h a a t i a,,Koch1914[812],,,^ hātia $,default
Yahuna-14_holeinthenasalseptum-1,,Yahuna,14_holeinthenasalseptum,ṓme̠kenikope̠a,ṓme̠kenikope̠a,ɔ ɔ m ɛ k e n i k ɔ p ɛ a,,Koch1914[812],,,^ ṓme̠kenikope̠a $,default
Yahuna-15_pininthenasalseptum-1,,Yahuna,15_pininthenasalseptum,ṓme̠tḗ̠ni(e),ṓme̠tḗ̠ni,ɔ ɔ m ɛ t ɛ ɛ n i,,Koch1914[812],,,^ ṓme̠tḗ̠ni $,default
Desano-16_forehead-1,,Desano,16_forehead,diapu,diapu,d i a p u,,Koch1914[812],,,^ diapu $,default
Yupua-16_forehead-1,,Yupua,16_forehead,de̥xpé̥li,de̥xpé̥li,d ɨ h p ɨ ɺ i,,Koch1914[812],,,^ de̥xpé̥li $,default
Yahuna-16_forehead-1,,Yahuna,16_forehead,kóa,kóa,k ɔ a,,Koch1914[812],,,^ kóa $,default
Koretu-16_forehead-1,,Koretu,16_forehead,sikoayéke̥,sikoayéke̥,s i k ɔ a j e k ɨ,,Koch1914[812],,,^ sikoayéke̥ $,default
Desano-17_head-1,,Desano,17_head,dex̯pū́ru,dex̯pū́ru,d e h p u u ɾ u,,Koch1914[812],,,^ dex̯pū́ru $,default
Yupua-17_head-1,,Yupua,17_head,kúe̥le̥,kúe̥le̥,k u ɨ ɺ ɨ,,Koch1914[812],,,^ kúe̥le̥ $,default
Yahuna-17_head-1,,Yahuna,17_head,lu̠pu̠kóa,lu̠pu̠kóa,ɺ ʊ p ʊ k ɔ a,,Koch1914[812],,,^ lu̠pu̠kóa $,default
Koretu-17_head-1,,Koretu,17_head,sī́roḥo,sī́roḥo,s i i ɾ ɔ h ɔ,,Koch1914[812],,,^ sī́roḥo $,default
Yahuna-17_head-2,,Yahuna,17_head,le̥pokóa,le̥pokóa,ɺ ɨ p ɔ k ɔ a,,Koch1914[812],,,^ le̥pokóa $,default
Yahuna-17_head-3,,Yahuna,17_head,de̥pokóa,de̥pokóa,d ɨ p ɔ k ɔ a,,Koch1914[812],,,^ de̥pokóa $,default
Desano-18_hairhead-1,,Desano,18_hairhead,póali,póali,p ɔ a ɺ i,,Koch1914[812],,,^ póali $,default
Yupua-18_hairhead-1,,Yupua,18_hairhead,póa,póa,p ɔ a,,Koch1914[812],,,^ póa $,default
Yahuna-18_hairhead-1,,Yahuna,18_hairhead,lu̠pú̠komihia,lu̠pú̠komihia,ɺ ʊ p ʊ k ɔ m i h i a,,Koch1914[812],,,^ lu̠pú̠komihia $,default
Koretu-18_hairhead-1,,Koretu,18_hairhead,sī́roḥōre,sī́roḥōre,s i i ɾ ɔ h ɔ ɔ ɾ e,,Koch1914[812],,,^ sī́roḥōre $,default
Yahuna-18_hairhead-2,,Yahuna,18_hairhead,de̥pókomihia,de̥pókomihia,d ɨ p ɔ k ɔ m i h i a,,Koch1914[812],,,^ de̥pókomihia $,default
Desano-19_eyebrow-1,,Desano,19_eyebrow,kuísipóali,kuísipóali,k u i s i p ɔ a ɺ i,,Koch1914[812],,,^ kuísipóali $,default
Yupua-19_eyebrow-1,,Yupua,19_eyebrow,yímogat(š)i,yímogati,j i m ɔ g a t i,,Koch1914[812],,,^ yímogati $,default
Yahuna-19_eyebrow-1,,Yahuna,19_eyebrow,yakólipite̠koa,yakólipite̠koa,j a k ɔ ɺ i p i t ɛ k ɔ a,,Koch1914[812],,,^ yakólipite̠koa $,default
Koretu-19_eyebrow-1,,Koretu,19_eyebrow,siagóne̥keri,siagóne̥keri,s i a g ɔ n ɨ k e ɾ i,,Koch1914[812],,,^ siagóne̥keri $,default
Desano-20_eyelash-1,,Desano,20_eyelash,kuísipóali,kuísipóali,k u i s i p ɔ a ɺ i,,Koch1914[812],,,^ kuísipóali $,default
Yupua-20_eyelash-1,,Yupua,20_eyelash,yímogat(š)i,yímogati,j i m ɔ g a t i,,Koch1914[812],,,^ yímogati $,default
Yahuna-20_eyelash-1,,Yahuna,20_eyelash,yakotáya,yakotáya,j a k ɔ t a j a,,Koch1914[812],,,^ yakotáya $,default
Koretu-20_eyelash-1,,Koretu,20_eyelash,siakorasé̠ḥoiri,siakorasé̠ḥoiri,s i a k ɔ ɾ a s ɛ h ɔ i ɾ i,,Koch1914[812],,,^ siakorasé̠ḥoiri $,default
Yahuna-20_eyelash-2,,Yahuna,20_eyelash,yakotá(d)ya,yakotáya,j a k ɔ t a j a,,Koch1914[812],,,^ yakotáya $,default
Desano-21_beard-1,,Desano,21_beard,dix̯sípoali,dix̯sípoali,d i h s i p ɔ a ɺ i,,Koch1914[812],,,^ dix̯sípoali $,default
