ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Achagua-1_i-1,,Achagua,1_i,nuya,nuya,n u j a,,walker2011,,,^n u y a$,default
Yanesha-1_i-1,,Yanesha,1_i,na,na,n a,,walker2011,,,^n a$,default
Anauya-1_i-1,,Anauya,1_i,nu,nu,n u,,walker2011,,,^n u$,default
Apurina-1_i-1,,Apurina,1_i,nota,nota,n o t a,,walker2011,,,^n o t a$,default
Aruan-1_i-1,,Aruan,1_i,nuy,nuy,n u y,,walker2011,,,^n u y$,default
Ashaninka-1_i-1,,Ashaninka,1_i,naro,naro,n a r o,,walker2011,,,^n a r o$,default
Xiriana-1_i-1,,Xiriana,1_i,nui,nui,n u i,,walker2011,,,^n u i$,default
Avane-1_i-1,,Avane,1_i,nuya,nuya,n u j a,,walker2011,,,^n u y a$,default
BaniwaDoIcana-1_i-1,,BaniwaDoIcana,1_i,hnua,hnua,h n u a,,walker2011,,,^h n u a$,default
Bare-1_i-1,,Bare,1_i,"nu-ni, nũ",nu-ni,n u + n i,,walker2011,,,^n u - n i$,default
Bare-1_i-2,,Bare,1_i,"nu-ni, nũ",nũ,n ũ,,walker2011,,,^n ũ$,default
Baure-1_i-1,,Baure,1_i,ntiʔ,ntiʔ,n t i ʔ,,walker2011,,,^n t i ʔ$,default
Cabiyari-1_i-1,,Cabiyari,1_i,ɲu,ɲu,ɲ u,,walker2011,,,^ɲ u$,default
Caquinte-1_i-1,,Caquinte,1_i,no,no,n o,,walker2011,,,^n o$,default
Cariai-1_i-1,,Cariai,1_i,ni-wai,ni-wai,n i + w a i,,walker2011,,,^n i - w a i$,default
Chamicuro-1_i-1,,Chamicuro,1_i,uʔti,uʔti,u ʔ t i,,walker2011,,,^u ʔ t i$,default
EnaweneNawe-1_i-1,,EnaweneNawe,1_i,nato,nato,n a t o,,walker2011,,,^n a t o$,default
Garifuna-1_i-1,,Garifuna,1_i,au[m] nuguya[f],au_nuguya,a u + n u g u j a,,walker2011,,,^a u _ n u g u y a$,default
Wayuu-1_i-1,,Wayuu,1_i,ta-ya,ta-ya,t a + j a,,walker2011,,,^t a - y a$,default
Guinau-1_i-1,,Guinau,1_i,ndu,ndu,n d u,,walker2011,,,^n d u$,default
Ignaciano-1_i-1,,Ignaciano,1_i,núti,núti,n ú/u t i,,walker2011,,,^n ú t i$,default
Inapari-1_i-1,,Inapari,1_i,nohá,nohá,n o h á/a,,walker2011,,,^n o h á$,default
IslandCarib-1_i-1,,IslandCarib,1_i,nu-guia,nu-guia,n u + g u i a,,walker2011,,,^n u - g u i a$,default
Karutana-1_i-1,,Karutana,1_i,nua,nua,n u a,,walker2011,,,^n u a$,default
Kaishana-1_i-1,,Kaishana,1_i,nuwa,nuwa,n u w a,,walker2011,,,^n u w a$,default
Kinikinao-1_i-1,,Kinikinao,1_i,uːndi,uːndi,uː n d i,,walker2011,,,^uː n d i$,default
Curripaco-1_i-1,,Curripaco,1_i,hnua,hnua,h n u a,,walker2011,,,^h n u a$,default
Lokono-1_i-1,,Lokono,1_i,de,de,d e,,walker2011,,,^d e$,default
Machiguenga-1_i-1,,Machiguenga,1_i,naro,naro,n a r o,,walker2011,,,^n a r o$,default
Maipure-1_i-1,,Maipure,1_i,nuya,nuya,n u j a,,walker2011,,,^n u y a$,default
Manao-1_i-1,,Manao,1_i,nu,nu,n u,,walker2011,,,^n u$,default
Mandahuaca-1_i-1,,Mandahuaca,1_i,nu-yaha,nu-yaha,n u + j a h a,,walker2011,,,^n u - y a h a$,default
Machinere-1_i-1,,Machinere,1_i,no,no,n o,,walker2011,,,^n o$,default
Marawan-1_i-1,,Marawan,1_i,nu-,nu-,n u,,walker2011,,,^n u -$,default
Maragua-1_i-1,,Maragua,1_i,nya,nya,n j a,,walker2011,,,^n y a$,default
Mariate-1_i-1,,Mariate,1_i,nu,nu,n u,,walker2011,,,^n u$,default
MapidianMawayana-1_i-1,,MapidianMawayana,1_i,nu,nu,n u,,walker2011,,,^n u$,default
Mehinaku-1_i-1,,Mehinaku,1_i,natu,natu,n a t u,,walker2011,,,^n a t u$,default
Nomatsiguenga-1_i-1,,Nomatsiguenga,1_i,naro,naro,n a r o,,walker2011,,,^n a r o$,default
Palikur-1_i-1,,Palikur,1_i,nah,nah,n a h,,walker2011,,,^n a h$,default
Paraujano-1_i-1,,Paraujano,1_i,te,te,t e,,walker2011,,,^t e$,default
Parecis-1_i-1,,Parecis,1_i,natjwo,natjwo,n a tʲʷ o,,walker2011,,,^n a tjw o$,default
