ID,Name,Concepticon_ID,Concepticon_Gloss
1_i,I,1209,I
2_you,you,1213,YOU
3_we,we,1212,WE
4_this,this,1214,THIS
5_that,that,78,THAT
6_what,what?,1236,WHAT
7_who,who?,1235,WHO
8_not,not,1240,NOT
9_all,all,98,ALL
10_many,many,1198,MANY
11_one,one,1493,ONE
12_two,two,1498,TWO
13_big,big,1202,BIG
14_long,long,1203,LONG
15_small,small,1246,SMALL
16_woman,woman,962,WOMAN
17_man,man,1554,MAN
18_child,child,2099,CHILD
19_fish,fish,227,FISH
20_bird,bird,937,BIRD
21_dog,dog,2009,DOG
22_louse,louse,1392,LOUSE
23_tree,tree,906,TREE
24_seed,seed,714,SEED
25_leaf,leaf,628,LEAF
26_root,root,670,ROOT
27_barkoftree,bark of tree,1204,BARK
28_skin,skin,763,SKIN
29_fleshmeat,flesh/meat,2615,FLESH OR MEAT
30_blood,blood,946,BLOOD
31_bone,bone,1394,BONE
32_egg,egg,744,EGG
33_fatgrease,fat/grease,323,FAT (ORGANIC SUBSTANCE)
34_horn,horn,1393,HORN (ANATOMY)
35_tail,tail,1220,TAIL
36_feather,feather,1201,FEATHER
37_hair,hair,1040,HAIR
38_head,head,1256,HEAD
39_ear,ear,1247,EAR
40_eye,eye,1248,EYE
41_nose,nose,1221,NOSE
42_mouth,mouth,674,MOUTH
43_tooth,tooth,1380,TOOTH
44_tongue,tongue,1205,TONGUE
45_nail,nail,1896,FINGERNAIL OR TOENAIL
46_foot,foot,1301,FOOT
47_knee,knee,1371,KNEE
48_hand,hand,1277,HAND
49_belly,belly,1251,BELLY
50_neck,neck,1333,NECK
51_breast,breast,1402,BREAST
52_heart,heart,1223,HEART
53_liver,liver,1224,LIVER
54_todrink,to drink,1401,DRINK
55_toeat,to eat,1336,EAT
56_tobite,to bite,1403,BITE
84_toburn,to burn,2102,BURN
57_tosee,to see,1409,SEE
58_tohear,to hear,1408,HEAR
59_toknow,to know,1410,KNOW (SOMETHING)
60_tosleep,to sleep,1585,SLEEP
61_todie,to die,1494,DIE
62_tokill,to kill,1417,KILL
63_toswim,to swim,1439,SWIM
64_tofly,to fly,1441,FLY (MOVE THROUGH AIR)
65_towalk,to walk,1443,WALK
66_tocome,to come,1446,COME
67_toliedown,to lie down,215,LIE DOWN
68_tositdown,to sit down,1649,SIT DOWN
69_tostandup,to stand up,570,STAND UP
70_togive,to give,1447,GIVE
71_tosay,to say,1458,SAY
72_sun,sun,1343,SUN
73_moon,moon,1313,MOON
74_star,star,1430,STAR
75_water,water,948,WATER
76_rain,rain,658,RAIN (PRECIPITATION)
77_stone,stone,857,STONE
78_sand,sand,671,SAND
79_groundearth,ground/earth,2159,GROUND
80_cloud,cloud,1489,CLOUD
81_smoke,smoke,778,SMOKE (EXHAUST)
82_fire,fire,221,FIRE
83_ash,ash,646,ASH
85_pathroad,path/road,2457,PATH OR ROAD
86_mountain,mountain,639,MOUNTAIN
87_red,red,156,RED
88_green,green,1425,GREEN
89_yellow,yellow,1424,YELLOW
90_white,white,1335,WHITE
91_black,black,163,BLACK
92_night,night,1233,NIGHT
93_warmhot,warm/hot,2272,HOT OR WARM
94_cold,cold,1287,COLD
95_full,full,1429,FULL
96_good,good,1035,GOOD
97_new,new,1231,NEW
98_round,round,1395,ROUND
99_dry,dry,1398,DRY
100_name,name,1405,NAME
