Family,Language,Glottocode,Gloss,Portuguese gloss,Phonemicized Form
Arawakan,Proto-Arawakan,,head,cabeça,*-kɨwɨ
Arawakan,Proto-Arawakan,,eye,olho,*-l(-)ʊkɨ
Arawakan,Proto-Arawakan,,ear,orelha,*[da]kenai
Arawakan,Proto-Arawakan,,nose,nariz,*-kiri
Arawakan,Proto-Arawakan,,mouth,boca,*-kanakɨ;*-nʊma
Arawakan,Proto-Arawakan,,lip,lábio,*kira-
Arawakan,Proto-Arawakan,,teeth,dente,*-atsɨ-wɨ
Arawakan,Proto-Arawakan,,tongue,língua,*-neni
Arawakan,Proto-Arawakan,,nail,unha,*-tsʊta
Arawakan,Proto-Arawakan,,nail,unha,*-hʊba-da
Arawakan,Proto-Arawakan,,leg,perna,*kawa
Arawakan,Proto-Arawakan,,foot,pé,*-kidiba
Arawakan,Proto-Arawakan,,hip,coxa,*-pʊkɨ
Arawakan,Proto-Arawakan,,leg,perna,*-kati
Arawakan,Proto-Arawakan,,hand,mão,*-khapɨ;*kabi
Arawakan,Proto-Arawakan,,arm,braço,*-kanʊ
Arawakan,Proto-Arawakan,,arm,braço,*-dana
Arawakan,Proto-Arawakan,,excrement,excremento,*-idika
Arawakan,Proto-Arawakan,,urine,urina,*-tsinɨ
Arawakan,Proto-Arawakan,,to urinate,urinar,*-(a)laka
Arawakan,Proto-Arawakan,,neck,pescoço,*-nʊ
Arawakan,Proto-Arawakan,,chest,peito,*-dʊkʊ
Arawakan,Proto-Arawakan,,breast,seio,*-dɨnɨ
Arawakan,Proto-Arawakan,,bone,osso,*(n)apɨ
Arawakan,Proto-Arawakan,,blood,sangue,*-ɨtha
Arawakan,Proto-Arawakan,,flesh,carne,*-ɨdɨ-
Arawakan,Proto-Arawakan,,skin,pele,*-ɨma
Arawakan,Proto-Arawakan,,bark,casca,*-ɨda
Arawakan,Proto-Arawakan,,flower,flor,*-çɨwɨ
Arawakan,Proto-Arawakan,,root,raiz,*dabarɨ
Arawakan,Proto-Arawakan,,leaf,folha,*-bana
Arawakan,Proto-Arawakan,,seed,semente,*-ikɨ
Arawakan,Proto-Arawakan,,tail,cauda,*-idi-pi
Arawakan,Proto-Arawakan,,woman,mulher,*tsɨna-rʊ
Arawakan,Proto-Arawakan,,wife,esposa,*-inʊ
Arawakan,Proto-Arawakan,,mother,mãe,*-ɨnʊ
Arawakan,Proto-Arawakan,,sun,sol,*kamʊi
Arawakan,Proto-Arawakan,,high,"céu,alto",*jenʊ
Arawakan,Proto-Arawakan,,light,luz,*lʊkʊ
Arawakan,Proto-Arawakan,,day,dia,*kedekʊ
Arawakan,Proto-Arawakan,,moon,lua,*kaçɨthɨ;*kahithi
Arawakan,Proto-Arawakan,,water,água,*hʊnɨ;*wene
Arawakan,Proto-Arawakan,,water,água,*-la
Arawakan,Proto-Arawakan,,river,rio,*wakʊ
Arawakan,Proto-Arawakan,,house,casa,*-pana
Arawakan,Proto-Arawakan,,village,aldeia,*-wɨnaka-[ree]
Arawakan,Proto-Arawakan,,earth,terra,*kɨpakɨ; *kipatʃi
Arawakan,Proto-Arawakan,,"rock, stone",pedra,*kɨba
Arawakan,Proto-Arawakan,,"rock, stone",pedra,*(h)epɨtsi
Arawakan,Proto-Arawakan,,sand,areia,*kadɨ
Arawakan,Proto-Arawakan,,fire,fogo,*dika-ri
Arawakan,Proto-Arawakan,,wood (material),lenha,*tsɨma
