index,FORM,Gloss
0,*ača ,old
3,*ačuma,cactus species
4,*atʂa,large
5,*atʂi,"many, much"
6,*atʂi-,"to dig, scratch"
7,*atʂima-,"to tell, inform"
9,*atʂu-,"to chew, bite down on, hold in teeth"
10,*aka,here
11,*akʰi-,"to find, meet"
15,*aku,flour
16,*ala-,to buy
17,*ali,"plant, stem"
18,*alu,brother of woman
20,*aʎči,grandchild
24,*aʎu,penis
26,*ama-,"to think, know, remember"
28,*ampara,hand
29,*amputa,"up, uphill"
32,*ana-,to herd
33,*anaku,womans garment
35,*antʂa,"very, a lot"
36,*ani-,to have sex
38,*anku,"tendon, nerve"
39,*anqa,"outside, above"
40,*ansa-,to yawn
43,*aña(su),mammal species
44,*apa-,"to carry, bring"
45,*apa,old woman
48,*aqʰi,"cave, cliff, crag, ravine"
49,*aqru-,to vomit
51,*araqa ~ *araya,"up, above"
53,*ari,"pointed, sharp, summit"
55,*arpʰa-,"to desist, retire, move away"
56,*aru-,"language, to speak"
57,*aruma,night
59,*asa-,to carry in a container
61,*askʰi-,to ask
64,*ašta-,to transport
65,*atʰa,seed
66,*atipa-,to defeat
69,*awati-,"to graze, pasture"
74,*aya-,to carry (long objects)
76,*aytʂi-,"to rinse, stir"
81,*aywi-,"to rinse, wash, flow (water)"
82,*čačaku(ma),tree species
83,*čaka,"bridge, form of cross"
86,*čaʎa-,"to splash, sprinkle"
87,*čaʎwa,fish
88,*čama-,"dark, darkness, night, to become night, close eyes, blink"
89,*čampa,"turf, sod, clod"
90,*čamqa-,"to smash, crush, grind"
91,*čapi ~ *pači,"thorn, splinter"
94,*čaqču-,"to spray, sprinkle, splash onto ground"
96,*čarki,dried meat
100,*čika-,"knot, to tie, thread"
102,*čilu- ~ *činu-,"knot, cord, to tie"
103,*čiʎa-,"to take steps, skip"
104,*čiʎa-,"to cut up, peel, shuck, abrade"
105,*čiʎka,bush species
106,*čiʎqi ~ *čirqi,step (walking)
109,*činki,"sister of man, younger sister, younger female cousin"
110,*činqi,vagina
111,*čiñi,nit
112,*čiñwi,bat (animal)
113,*čipa,"straw bundle, net for carrying"
114,*čipi-,"to shine, sparkle, spark, blink"
115,*čiqa,"true, truth"
117,*čiwči,"bird, chick"
118,*čiwu,"shade, hat"
122,*čuʎa,"odd, even, incomplete (of a pair)"
126,*čumpi,"brown, coffee-colored, auburn, red"
127,*čunču,"bloom, crest, plumage, head"
129,*čuñu,chuño (dehydrated potatoes)
130,*čupi,soup
131,*čupika ~ *čukipa,red
132,*čupu,"boil, tumor"
133,*čuqʎu,ear of corn
134,*čuquʎu,a mythical being
137,*čuši,"smooth, blanket type"
139,*čuwa ~ *čuya,"small bowl, container"
140,*čuya,"clean, clear, pure (liquids)"
141,*tʂaka,chest
142,*tʂaka,bone
143,*taki-,to step on
144,*tʂaki,"path, road"
146,*tʂama,"strength, energy"
147,*tʂan(a),buzz
150,*tʂanka,"yarn, woolen thread"
151,*tʂapa,nest
152,*tʂapa-,"to fall down, stumble"
153,*tʂaqa-,to split apart
154,*tʂaqa-,"drop, to drip"
155,*tʂaqmi-,"sad, angry, bothered, to bother, annoy"
162,*tʂikma,"pillow, head rest"
164,*tʂina,butt
165,*tʂiqa,left
166,*tʂiqi,beetle
169,*tʂisa-,"fuzz, lint, to card, comb wool"
170,*tʂiti-,to have a full stomach
171,*tʂiwra-,"to milk, squeeze out liquid, wring"
172,*tʂiyara,black
173,*tʂuku-,to sew
174,*tʂunka,ten
176,*tʂuqa-,"to tie up, bind up, bandage"
178,*(h)ači-,to carry (handful)
179,*hači(w)-,"sneeze, to sneeze"
180,*hatʂa-,"to cry, moan"
181,*haka-,"to live, exist"
182,*haka,near
184,*hakʰu-,"to breathe, sigh"
185,*hala-,"to fall, fly, run, go out"
186,*haʎa,"so, then, perhaps"
187,*haʎpa-,to lick
188,*haʎu-,"rain, to rain"
189,*hama-,"feces, to defecate"
190,*(h)ampatʂu,toad
193,*hanči,"meat, flesh, skin"
194,*hani,"no, not"
195,*ha(n)kʰa-,"loose, baggy, to widen"
196,*(h)anqu,white
197,*hapi,pregnant
198,*haqi,person
199,*haqu-,to throw
200,*hara-,"to untie, unstitch, take off clothing"
201,*harapʰi,"rib, ribs"
203,*hari-,"to wash, rinse"
204,*harka-,"to impede, block, detain, obstruct"
205,*haru,"spicy, bitter, sour"
207,*hawi-,"to flow, drip, smear"
209,*hayV-,to leave behind
210,*haya,"far away, long time"
211,*hayča-,"to fight, argue, kill"
213,*haynu,husband
214,*hayra-,"idle, dance, song, to dance, sing, be idle"
216,*(h)iču,"straw, hay"
218,*(h)itʂi-,"to scratch, rip, dig, scrape"
219,*(h)ikʰa-,to herd
220,*hiki-,"hiccup, to hiccup"
221,*hila-,"older brother, older male relative, to grow, exceed"
222,*hinču,ear
223,*hipi-,"chaff, to shear, thresh"
224,*hira ~ *hina,Lets go!
225,*(h)irpi- ~ *(h)irpʰi-,"lap, apron, to carry in the apron"
227,*hiša,"yes, sound for herding animals"
228,*(h)itʰi-,"to crawl, drag ones body on the ground"
229,*hiwa-,to die
230,*hiwasa ~ *hiwsa,we (inclusive)
231,*huča,"debt, obligation, blame, transgression, crime"
232,*(h)uča,size
234,*hukumari,bear
235,*huma,you
236,*(h)untʂu,hot
238,*hunu-,"to dig, harvest potatoes"
239,*hupa,"he, she, they"
240,*hupʰuqu,foam
242,*(h)uqʰu,"mud, swamp"
243,*huta-,to come
245,*iču-,"to carry in arms, hands"
246,*iki-,to sleep
248,*iʎa,amulet
249,*íʎawa,"shuttle, warp"
