Family,Language,Glottocode,Gloss,Portuguese gloss,Phonemicized Form
Chapakuran,Proto-Chapacuran,,to button,,*haɾam
Chapakuran,Proto-Chapacuran,,chin,,*hoɾam
Chapakuran,Proto-Chapacuran,,"to say, to speak",,*ja:
Chapakuran,Proto-Chapacuran,,"pillar, to grind with a stone",,*jaw
Chapakuran,Proto-Chapacuran,,to bathe,,*jaʔ
Chapakuran,Proto-Chapacuran,,penis,,*jikat
Chapakuran,Proto-Chapacuran,,monkey species,macaco-prego,*jowin
Chapakuran,Proto-Chapacuran,,to keep secret,seguir às escondidas,*ju:
Chapakuran,Proto-Chapacuran,,"to push, to remove",,*juk
Chapakuran,Proto-Chapacuran,,"bland, without salt",,*kamaɲˀ
Chapakuran,Proto-Chapacuran,,caterpillar species,,*kap
Chapakuran,Proto-Chapacuran,,pamonha (traditional food),,*kapam
Chapakuran,Proto-Chapacuran,,"large, fat",,*kaɾaʔ/*hʷaɾaʔ
Chapakuran,Proto-Chapacuran,,river dolphin,,"*kat, *kawˀ"
Chapakuran,Proto-Chapacuran,,to yawn,,"*kat, *ɾat"
Chapakuran,Proto-Chapacuran,,foot,,*katim
Chapakuran,Proto-Chapacuran,,large tick,,*katinˀ
Chapakuran,Proto-Chapacuran,,"to tickle, tickling",,*katᶴak/*katᶴok
Chapakuran,Proto-Chapacuran,,pineapple,,*katᶴin
Chapakuran,Proto-Chapacuran,,to eat,,*kawˀ
Chapakuran,Proto-Chapacuran,,tree species,árvore-rochinha,*kawa:
Chapakuran,Proto-Chapacuran,,"kind of small arrow, used by children playing",,*kawa:
Chapakuran,Proto-Chapacuran,,parrot species,papagaio-curica,*kawit
Chapakuran,Proto-Chapacuran,,to lick,,*kedᶻek
Chapakuran,Proto-Chapacuran,,cocoa,,*kenum
Chapakuran,Proto-Chapacuran,,"to descend, to lower",,*kijiʔ
Chapakuran,Proto-Chapacuran,,"jaguar, dog",,*kinam
Chapakuran,Proto-Chapacuran,,tail,,*kipun
Chapakuran,Proto-Chapacuran,,(to be) cold,,*kipʷin
Chapakuran,Proto-Chapacuran,,"bridge, jirau grill","ponte, grelha para moquear",*kitam
Chapakuran,Proto-Chapacuran,,"to bite, to chew",,*kiw
Chapakuran,Proto-Chapacuran,,arrow (generic),,*kiwoʔ
Chapakuran,Proto-Chapacuran,,piranha,,*koki:
Chapakuran,Proto-Chapacuran,,to sing (people),,*kom
Chapakuran,Proto-Chapacuran,,sun,,*komeN
Chapakuran,Proto-Chapacuran,,paddle,,*koɾa:
Chapakuran,Proto-Chapacuran,,palm species,palmeira-carundaí,*koɾan
Chapakuran,Proto-Chapacuran,,"red, ripe",,*kotem
Chapakuran,Proto-Chapacuran,,to knock down fruits by beating the tree,,*kotok/*koɾok
Chapakuran,Proto-Chapacuran,,"elbow, joint",,*kɾam
Chapakuran,Proto-Chapacuran,,ant species,formiga-saúva,*kɾan
Chapakuran,Proto-Chapacuran,,"to see, to observe, to look",,*kɾik
Chapakuran,Proto-Chapacuran,,"to enter, inside",,*kɾom
Chapakuran,Proto-Chapacuran,,"to pull, to drag",,*kuk
Chapakuran,Proto-Chapacuran,,tree species,"árvore-cachimbeira, jequitibá-vermelho; sal",*kunˀ
Chapakuran,Proto-Chapacuran,,"to stink, bad smell",,*kunu:
Chapakuran,Proto-Chapacuran,,"to pick, to catch",,*kut
Chapakuran,Proto-Chapacuran,,common armadillo,,*kʷaɾaʔ
Chapakuran,Proto-Chapacuran,,to go,,*ma(w)
Chapakuran,Proto-Chapacuran,,kind of yam,batata-cará,*madᶻan
Chapakuran,Proto-Chapacuran,,"to come, to arrive",,*makiʔ
Chapakuran,Proto-Chapacuran,,"anger, brave",,*manaʔ
Chapakuran,Proto-Chapacuran,,corn,,*mapak
Chapakuran,Proto-Chapacuran,,"club, baton",,*mapawˀ
Chapakuran,Proto-Chapacuran,,"fat, grease",,*mapom
Chapakuran,Proto-Chapacuran,,kind of small bow,,*mapʷip
Chapakuran,Proto-Chapacuran,,"to paint, to write",,*maɾam
Chapakuran,Proto-Chapacuran,,"to steal, thief",,*mawi:
Chapakuran,Proto-Chapacuran,,"annatto (tree species), wood for making fire",,*mawin
Chapakuran,Proto-Chapacuran,,crab,,*mekuʔ
Chapakuran,Proto-Chapacuran,,"red, ripe",,*mem
Chapakuran,Proto-Chapacuran,,paca,,*mikop
Chapakuran,Proto-Chapacuran,,black,,*mitᶴem
Chapakuran,Proto-Chapacuran,,to run,,*mo:
Chapakuran,Proto-Chapacuran,,"rope, cord, string, thread",,*mokon
Chapakuran,Proto-Chapacuran,,"to swell because of illness, to have a tumor",,*mom
Chapakuran,Proto-Chapacuran,,flour,,*moɾoʔ
Chapakuran,Proto-Chapacuran,,tucumã palm larva,broca do tucumã,*mowawˀ
Chapakuran,Proto-Chapacuran,,"pus, infection, tumour",,*mowin
Chapakuran,Proto-Chapacuran,,swallow,,*muɾinˀ
Chapakuran,Proto-Chapacuran,,wild hog,,*mʷijak
Chapakuran,Proto-Chapacuran,,to whistle with help from the hand,,*n(e/o)n
Chapakuran,Proto-Chapacuran,,"to smell, to sniff",,*nak
Chapakuran,Proto-Chapacuran,,pitch/tar (of jatobá tree); light,breu (de jatobá); luz,*naɾan
Chapakuran,Proto-Chapacuran,,"face, front",,*natan
Chapakuran,Proto-Chapacuran,,"to hate, to reject",,*nok
Chapakuran,Proto-Chapacuran,,to suckle,,*nok
Chapakuran,Proto-Chapacuran,,tree species,árvore-itaúba,*nopon
Chapakuran,Proto-Chapacuran,,"to beat, to slap",,*pa:
Chapakuran,Proto-Chapacuran,,pubic hair,,*padᶻaw
Chapakuran,Proto-Chapacuran,,"red, ripe",,*pakaʔ
Chapakuran,Proto-Chapacuran,,"tree (generic), wood, log",,*pana:
Chapakuran,Proto-Chapacuran,,"bamboo species, kind of arrow, bomboo knife",taquara (esp.); flecha (esp.); faca de bambu,*papat
Chapakuran,Proto-Chapacuran,,wind,,*papop
Chapakuran,Proto-Chapacuran,,bow (generic),,*paɾV:
Chapakuran,Proto-Chapacuran,,"animal (generic), fish",,*patiʔ
Chapakuran,Proto-Chapacuran,,to tie (up),,*pawˀ
Chapakuran,Proto-Chapacuran,,"to kill, to hunt, to beat to death",,*paʔ
Chapakuran,Proto-Chapacuran,,newborn child,,*pijeʔ
Chapakuran,Proto-Chapacuran,,giant armadillo,tatu gigante,*pikot
Chapakuran,Proto-Chapacuran,,bird species,cujubim,*pipon
Chapakuran,Proto-Chapacuran,,squirrel,"quoati-puru, esquilo",*piɾamˀ
Chapakuran,Proto-Chapacuran,,"to scratch, to itch",,*pitᶴak
Chapakuran,Proto-Chapacuran,,horn,,*pitᶴi:
Chapakuran,Proto-Chapacuran,,tarantula,aranha caranguejeira,*piwan
Chapakuran,Proto-Chapacuran,,to dance,,*piʔ
Chapakuran,Proto-Chapacuran,,"thigh, upper leg",,*pok
Chapakuran,Proto-Chapacuran,,to fart,,*pon
Chapakuran,Proto-Chapacuran,,to pull out,,*pot
Chapakuran,Proto-Chapacuran,,"to get, to tear, to extract",,*pot
Chapakuran,Proto-Chapacuran,,to cook; to spit,cozinhar; cuspir,*potᶴ
Chapakuran,Proto-Chapacuran,,"to wake up, to rouse",,*poʔ
Chapakuran,Proto-Chapacuran,,parakeet,,*pɾin
Chapakuran,Proto-Chapacuran,,"to kill, to hit a target with an arrow",,*pɾu:
Chapakuran,Proto-Chapacuran,,"to blow, to light a fire",,*pu:
Chapakuran,Proto-Chapacuran,,to miss the target with an arrow,,*puɾek
Chapakuran,Proto-Chapacuran,,to sit,,*pʷe:
Chapakuran,Proto-Chapacuran,,"stone, rock",,*pʷikun
Chapakuran,Proto-Chapacuran,,to leave behind,,*pʷin
Chapakuran,Proto-Chapacuran,,boa,,*pʷiɾan
Chapakuran,Proto-Chapacuran,,"to break, to cut, to extract, to unrip",,*pʷit
Chapakuran,Proto-Chapacuran,,large horsefly,,*pʷiti:
Chapakuran,Proto-Chapacuran,,palm species,palmeira-totai,*pʷitˢi:
Chapakuran,Proto-Chapacuran,,"porcupine, hedgehog",,*pʷitˢop
Chapakuran,Proto-Chapacuran,,flower,,*pʷiw
Chapakuran,Proto-Chapacuran,,banana (generic),,*ɾi:(tan)
Chapakuran,Proto-Chapacuran,,charcoal,,*tajin
