Family,Language,Glottocode,Gloss,Phonemicized Form 
Chibchan,Proto-Chibchan,,"arm, hand, shoulder","*ˈkuíkI, *ˈkuí-"
Chibchan,Proto-Chibchan,,ashes,"*bur-, *buˈrṹ"
Chibchan,Proto-Chibchan,,"at, in","*skA, *ki, *sə"
Chibchan,Proto-Chibchan,,"at, in, towards",*ka
Chibchan,Proto-Chibchan,,big (size or quantity),*təˈĩ
Chibchan,Proto-Chibchan,,bird,*dù
Chibchan,Proto-Chibchan,,blood,*ApÍ
Chibchan,Proto-Chibchan,,"boat, craft",*huˈLù
Chibchan,Proto-Chibchan,,body,*AˈpÀ
Chibchan,Proto-Chibchan,,bone,*ˈkàrə
Chibchan,Proto-Chibchan,,breasts,*kAʔ
Chibchan,Proto-Chibchan,,breast,"*ˈtsúʔ, *ˈtsúʔtsú"
Chibchan,Proto-Chibchan,,brother,*səˈkə
Chibchan,Proto-Chibchan,,brother-in-law,"*ˈuba, *ˈduáʔ"
Chibchan,Proto-Chibchan,,butterfly,"*kuA-, *kuAʔ-"
Chibchan,Proto-Chibchan,,cedar (several trees of the Cedrela genus),*uˈru
Chibchan,Proto-Chibchan,,ceiba,"*puLí, *puLíkI"
Chibchan,Proto-Chibchan,,"child, young of an animal, egg",*əˈrə̀
Chibchan,Proto-Chibchan,,"child, young of an animal",*ˈuÁʔ-
Chibchan,Proto-Chibchan,,cloth,*ˈsuá-
Chibchan,Proto-Chibchan,,cloud,"*ˈbõ̀, *bo-"
Chibchan,Proto-Chibchan,,cockroach,*ˈsóx-
Chibchan,Proto-Chibchan,,cocoa,*kə́ˈhùʔ
Chibchan,Proto-Chibchan,,come,"*ˈda-, *ˈdI-"
Chibchan,Proto-Chibchan,,cook,*ˈdu-
Chibchan,Proto-Chibchan,,cotton,*suˈhí
Chibchan,Proto-Chibchan,,"cough, catarrh",*ˈtóʔ
Chibchan,Proto-Chibchan,,crocodile,*ˈkú-
Chibchan,Proto-Chibchan,,cultivated field,*ˈtÌ
