Family,Language,Glottocode,Gloss,Phonemicized Form
Chicham,Proto-Shuar,,caña de azúcar,*pagaata
Chicham,Proto-Shuar,,huangana,*páki
Chicham,Proto-Shuar,,"tapir, sachavaca",*pamáu
Chicham,Proto-Shuar,,piedra suave; rocas,*pámpa
Chicham,Proto-Shuar,,piraña; caribe (pez),*páni
Chicham,Proto-Shuar,,boa,*pangki
Chicham,Proto-Shuar,,hacer con madera,*papá-
Chicham,Proto-Shuar,,balsa,*pápangku
Chicham,Proto-Shuar,,hacer nido,*pásu-
Chicham,Proto-Shuar,,piso,*páta
Chicham,Proto-Shuar,,cansarse,*pimpí-
Chicham,Proto-Shuar,,gavilán,*pínchu
Chicham,Proto-Shuar,,plato de barro,*piníngka
Chicham,Proto-Shuar,,avispa pequeña,*piyu
Chicham,Proto-Shuar,,lateralmente; lado,*pee
Chicham,Proto-Shuar,,cama,*pegáka
Chicham,Proto-Shuar,,lleno,*pigákuu
Chicham,Proto-Shuar,,poner huevos,*petsá-
Chicham,Proto-Shuar,,vestido,*pee-tái-
Chicham,Proto-Shuar,,relámpago,*pééma
Chicham,Proto-Shuar,,enredar,*pempé-
Chicham,Proto-Shuar,,enroscar,*pénu-
Chicham,Proto-Shuar,,bueno o agradable,*péngkenga
Chicham,Proto-Shuar,,sapo,*puwáchi
Chicham,Proto-Shuar,,pálido,*putsu
Chicham,Proto-Shuar,,quedar,*puhá-
Chicham,Proto-Shuar,,blanco,*púhu
Chicham,Proto-Shuar,,lechuza,*púmput(u)
Chicham,Proto-Shuar,,cerrar los ojos,*pusá-
Chicham,Proto-Shuar,,savia,*púwa-
Chicham,Proto-Shuar,,rana,*puwínta
Chicham,Proto-Shuar,,arpón,*púya
Chicham,Proto-Shuar,,decir,*ta-
Chicham,Proto-Shuar,,venir de abajo,*ta
Chicham,Proto-Shuar,,trabajar,*ta(ká-)
Chicham,Proto-Shuar,,cargar en la mano,*taka-
Chicham,Proto-Shuar,,guacamayo; amarillo,*takúmpe
Chicham,Proto-Shuar,,liso,*taménga
Chicham,Proto-Shuar,,hamaca,*támpu
Chicham,Proto-Shuar,,estera,*tanísha
Chicham,Proto-Shuar,,caña brava,*tangkána
Chicham,Proto-Shuar,,domesticado,*tangku
Chicham,Proto-Shuar,,tabla en que se hacen ollas,*tátangki
Chicham,Proto-Shuar,,pájaro carpintero,*tatashama
Chicham,Proto-Shuar,,corona,*tawáasa
Chicham,Proto-Shuar,,rodilla,*tikíshi
Chicham,Proto-Shuar,,hilo para amarrar vestido,*tingingkása
Chicham,Proto-Shuar,,grillo,*tingkisháapi
Chicham,Proto-Shuar,,nuez de la garganta,*títi
Chicham,Proto-Shuar,,alacrán,*titíngki
Chicham,Proto-Shuar,,piojo,*téma
Chicham,Proto-Shuar,,tener comezón; está irritado,*tengé-
Chicham,Proto-Shuar,,acostarse,*tepa-
Chicham,Proto-Shuar,,mosca,*téte
Chicham,Proto-Shuar,,atascar,*tuhí-
Chicham,Proto-Shuar,,caída de agua,*túna
Chicham,Proto-Shuar,,araña chica,*túnchi
Chicham,Proto-Shuar,,vuelta del río,*tuniku
Chicham,Proto-Shuar,,aljaba (calabaza en que se guarda algodón),*túnta
Chicham,Proto-Shuar,,arco iris,*tungkiyángka
Chicham,Proto-Shuar,,"huacara-pona, chonta",*tuntúwampi
Chicham,Proto-Shuar,,tambor,*túntuwi
Chicham,Proto-Shuar,,espalda,*tuntúpe
Chicham,Proto-Shuar,,deshacer,*tunga-
Chicham,Proto-Shuar,,laringe; nuez de la garganta,*tungú
Chicham,Proto-Shuar,,bejuco,*káapi
Chicham,Proto-Shuar,,mosca pequeña,*kaape
Chicham,Proto-Shuar,,duro,*katsúngama
Chicham,Proto-Shuar,,olvidar,*kahi-
Chicham,Proto-Shuar,,enojar,*kahé-
Chicham,Proto-Shuar,,hermana de mujer,*kai
Chicham,Proto-Shuar,,carbón,*kái
Chicham,Proto-Shuar,,fuerte,*kaka-
Chicham,Proto-Shuar,,podrido,*ka(ka-ngú)
Chicham,Proto-Shuar,,apretado; lleno,*káki
Chicham,Proto-Shuar,,comején,*kámau
Chicham,Proto-Shuar,,dormir,*kana-
Chicham,Proto-Shuar,,sueño,*kángi
Chicham,Proto-Shuar,,boquichico (pez),*kángka
Chicham,Proto-Shuar,,espinilla,*kangkáhi
Chicham,Proto-Shuar,,raíz,*kangkápe
Chicham,Proto-Shuar,,ladrón,*kása
Chicham,Proto-Shuar,,"agutí, paca",*(k)ásha(i)
Chicham,Proto-Shuar,,noche,*káshi
Chicham,Proto-Shuar,,mañana,*kashíni
Chicham,Proto-Shuar,,pene,*káta
Chicham,Proto-Shuar,,cruzar el río,*katít-
Chicham,Proto-Shuar,,ratón,*katipi
Chicham,Proto-Shuar,,juntarse muchos,*kau-na-
Chicham,Proto-Shuar,,podrido,*kaú-
Chicham,Proto-Shuar,,loro,*kawáu
Chicham,Proto-Shuar,,piedra,*káya
Chicham,Proto-Shuar,,tarde,*kiyánga
Chicham,Proto-Shuar,,pescado,*kihínu
Chicham,Proto-Shuar,,anochecer; día,*kinta
Chicham,Proto-Shuar,,perico,*(kí)ngusa
Chicham,Proto-Shuar,,tener sed,*kitá-
Chicham,Proto-Shuar,,bambú,*kéngku
Chicham,Proto-Shuar,,tucán,*kénguwa
Chicham,Proto-Shuar,,llaga,*kuchápa
Chicham,Proto-Shuar,,zarigüeya,*kuhánchama
Chicham,Proto-Shuar,,pierna,*kuhápe
Chicham,Proto-Shuar,,ardilla,*kunámpe
Chicham,Proto-Shuar,,animal,*kúntinu
