No.,Gloss,FORM,Pɾoto-Embeɾá
1,abrir (los ojos),,*ẽa
2,"agua, río",**do,*do
3,aguacate,,*βeˈko
4,agutí,,*kuɾiˈhia
5,ahora,**nãu,*nãũ
6,ahumar,**kũɾũ-,*kũɾumã-
7,ala,**itʃi,*ʔi
8,alzar,**hiɾa-,*hiɾa-
9,allá,**atʃu-,*atʃu-
10,allí,**aˈɾaa,*aˈɾaa
11,amanecer,**ãsaba-,
12,amargo,**ase-,*ase-
13,amarillo,,*kuaˈɾaa
14,amigo,,*aˈtʃɯ
15,andar,,*nĩ / -nĩba-
16,"animal, cosa",**neme,*nẽ-
17,antes,**nã,*nãa
18,araña,,*bekɯˈɾɯ
19,"árbol, palo",**ba,*bakuˈɾu
20,arco iris,,*ˈeuma
21,arete,**tʃiɾitʃiɾi,*tʃiɾitʃiɾi
22,artículo definido,**tʃi-,
23,"arriba, alto",**ɯ̃kɯˈtaa / ɯ̃kɯˈtɯɯ,*ɯ̃kɯˈtaa / ɯ̃kɯˈtɯɯ
24,asar,,
25,asiento,**kau,*ãˈkau
26,"atar, vestir",**hɯ̃-,*hɯ̃-
27,ave,**itʃi+bana,*ibaˈna / ĩbaˈna
28,avispa,,*nẽdɯɾɯ
29,barba,**i+kaɾa,*i+kaˈɾa
30,barriga,**βi,*βi
31,bazo,,*hõhiɾa
32,beber,**do-,*do-
33,blanco,,*toˈɾo-
34,blando,**sõsõ- / soso-,
35,boa,**he,*he / hẽˈpa
36,boca,**i,
37,bueno,,*ˈbia
38,buscar,**hɯɾɯ-,*hɯɾɯ-
39,cabecera,**do+kẽˈbu,*do+kẽˈbu
40,cabello,,*buˈda
41,cabeza,**boˈɾo,*boˈɾo
42,caer,**ˈβae-,*ˈβai-
43,caimito,**tuko,*tuko-
44,calabazo,,*sãˈbu
45,caldo,,*nẽˈba
46,calor,**bese-,*bese-
47,camino,,*ˈo
48,"canalete, remo",**ˈdoi,*ˈdoi
49,canasta,,*ẽ
50,cangrejo,"**heˈbe, hẽˈbe",*heˈbe
51,canoa,**haˈba,*haˈba
52,cansarse,,*sẽ-
53,caña,,*siˈa
54,cara,**kĩɾa,*kĩɾa
55,carne,,*tʃiaˈɾa
56,casa,**de,*de
57,casi,**beˈɾa,*beˈɾa
58,cerro,,*eˈa
59,cinco,,*hoesoˈma
60,cocinar,,*tʃuu-
61,coger,**bɯɾɯ-,*bɯɾɯ-
62,cola,**duˈɾi,*ˈdɾu
63,comején,,*poˈsoa
64,comida,,*ˈtʃiko
65,comer,**ko-,*ko-
66,cómo,,*sãka
67,comprar,,*nẽto-
68,con,,*oˈme
69,conga,,*hẽsaˈɾa
70,contestar,,*panãu-
71,corazón,,*ˈso / ˈsõ
72,correr,,*piɾa-
73,cortar,**tɯape-,*tɯape-
74,cortar,**kõo-,*kõo-
75,cortar,**ˈtu-,*ˈtu-
76,cosechar,**eua-,*eua-
