no.,Gloss,FORM
1.,abdomen,*-khoto(-wita)
2.,Adam's apple,*-kuaY(-bo-kará/batɨ)-to
3.,agouti,"*bɨnɨ, *bɨNɨ"
4.,all,*daxɨ́-ta
5.,anaconda,*homo-wábi
6.,ant,*pɨbɨ
7.,ant,*kha-kha-ra-wa
8.,anteater,*tsóNi (pre-Guahiban)
9.,arm,*-ma-xi/xa-si-pa-to
10.,armadillo,*tahaú-bi
11.,arrow,*pú/ku-yani (pre-Guahiban)
12.,ash,*i/a-pu-ma-na/Na
13.,axe,*sipá-li-a-
14.,bad,*a-béhe
15.,bark,*-bauko-
16.,bat,*hai-wi/si-ri-to (pre-Guahiban)
17.,beard,*-bixi/o-pina/piNa
18.,bee (honey),*habi/bara-moNɨ
19.,big,*pinihí-yi/nV
20.,bite,"*síne, *síNe"
21.,black,*-tsaebía-hawa
22.,blood,*háNa
23.,bow (n.),*bitsá-bi
24.,breast,*-mí-pa/pi-to
25.,"brush, woods",*uéNu
26.,buzzard,*ké-ke-re
27.,cane,*mu/ba-se-bo
28.,canoe,*héra
29.,capybara,*húmo-ko-bi-to
30.,chili pepper,*noN-hi
31.,chin,*bɨxi-
32.,cold,*a-ke
33.,come,*patao-ho-pa
34.,corn,*hétsa
35.,crocodile,*makhiNe-he
36.,cultivated clearing,*pábi
37.,curassow,*iɨhɨ-bɨrɨ
38.,day,*mata-kái-bi
39.,die,*tɨpa
40.,dig,*kúa
41.,doorway,*bau-pha-ka
42.,down,*bé-reka
43.,drink,*ápa
44.,dry,*tséawa
45.,dull,*a-wóno-bi
46.,ear (inner),*muxu/mi-Yó-lo/ri-to
47.,earth,*íra
48.,eat,"*xáne, *xáNe"
49.,egg,*tobɨ
50.,eye,*takhú
51.,far,*tahɨ
52.,father,*p-áxa
53.,fear,"*ku-húnawa, *ku-húNawa"
54.,finger,*ko-besí/tíya
55.,fire,"*iso, nawa"
56.,firewood,*íso
57.,first,*kopiaya-pita
58.,fish,*duhuaY
59.,fish hook,*kulupú-bo
60.,flesh,*-wúi
61.,flower,*-ma-tóNo-to
62.,fly (n.),"*dáina-, *dáiNa-"
63.,foot,*tákhua
64.,forehead,*-ta-pa-thái-
