No.,Gloss,FORM
1,pestaña,*-aˀde
2,conducir,*-aˀdéga
3,"verde, inmaduro, amargo",*-aˀdéla
4,camino,*-aˀdíko
5,casarse,*-aˀdon
6,cantar,*-ágeˀn
7,amo (de esclavos),*-agkóˀd
8,ruido,*-aják
9,dedo (de la mano),*-ajaqatsˀV
10,catarata (enfermedad de los ojos),*-aje
11,volar,*-ajo
12,renguear,*-ajóde
13,espíritu (maligno),*-aˀjapˀeke
14,"hijo, sobrino",*-aˀjo
15,canción,*-ak
16,paz,*-akaqa
17,triste (estar),*-akikˀá
18,acostarse,*-akˀa
19,cama,*-akˀa
20,caer,*-akˀa-ˀgi
21,"ruido (hacer), ruidoso (ser)",*-akˀake
22,"dardo, lanza",*-akˀi
23,sed,*-ákˀip
24,chillar,*-akˀikí
25,húmedo (estar),*-ákˀite
26,"arrojar, echar, desechar, abandonar",*-alate
27,"repudiar (al cónyuge), divorciarse",*-alate
28,quemar,*-aleg
29,"mezcla, mezclar",*-aleke
30,"salsa, sopa",*-aleke
31,sol,*alekiqe
32,mirar,*-ali
33,ceniza(s),*álo
34,"termitero, tacurú",*alo
35,humo,*-álodqa
36,aprobar,*-aloqate
37,nadar,*-aloqʔon
38,caber,*-alV
39,golpear,*-aˀlaqˀa
40,filo,*aˀlep
41,"jugar, juego",*-aˀlo
42,correr,*-aˀlokʔó
43,"curva, curvarse, torcido",*-amáqa
44,muslo,*-amáqʔatʃo
45,hundirse,*-amole
46,"empujar, llevar empujando",*-aˀmáqa
47,polvo,*aˀmoqo
48,dar,*-an
49,poner,*-an
50,venir,*-anáke
51,plantar,*-an-aqan
52,que (relativo),*ane
53,"cualquiera, cuál",*anekeʔ
54,caer,*-ani
55,nacer,*-ani
56,"ir, venir",*-ano
57,vomitar,*-anól
58,"hoy, mañana",*-anˀáqeja
59,desaperecer,*-apále
60,grasa,*-apijó
61,pellizcar,*-apVlela
62,cera,*-ápˀa
63,grupo,*-ápˀa
64,masa,*-apˀa
65,sufrir,*-apˀa
66,terrón,*-ápˀa
67,vapor,*-apˀa
68,"arreglar, reparar",*-apˀaden
69,blanco,*-apˀaká-
70,amanecer,*-apˀakˀ-aqa
71,remendar,*-apˀala
72,omóplato,*-apˀaletˀe
73,paja,*-apˀate
74,cerrar,*-apˀeˀgi
75,cortar,*-apˀejá-
76,mano,*-apˀekˀená
77,caliente (ser o estar),*-apˀeqˀa
78,lavar,*-apˀéte
79,"discutir, reñir",*-apˀeté
80,mojado (estar),*-apˀí
81,"lamer, chupar",*-apˀi
82,miel,*-apˀiko
83,no poder,*-apˀin
84,chupar,*-apˀiqo
85,"barba, pico",*-apˀit
86,adorno (en el labio inferior),*-apˀit-ik
87,hermano mayor,*-apˀitˀi
88,sucio,*apˀjoˀj
89,"cubrir, tapar, vestir",*-apˀo
90,arrancar,*-apˀók
91,calzado,*-apˀweˀlát
92,pisar,*-apˀwjaq
93,pie,*-apˀwjat
94,"manojo, hacer manojos",*-aqa
95,"también, y","*-aqa, *aqˑaqa"
96,no hay,"*aq-a-kˀa (fem.), *aqa-i-kˀa (masc.)"
97,despreciar,*-aqate
98,doblar,*-aqam
99,estrella,*aqatˀi
100,piojo,*-aqˀéte
101,mentón,*-aqˀád
102,cortar,*-aqˀage
103,ustedes,*aqˀaˀmʔi
104,tenazas (instrumento parecido a),*-aqˀápˀ
105,"seco (ser o estar), duro (ser o estar)",*-aqˀaqˀá
106,estornudar,*-aqˀatʃˀín
107,luchar,*-aqˀawo
108,"estómago, vientre",*-aqˀoˀm
109,yerno,*-at
110,señas (hacer),*-ateké-
111,mamá,*-ateʔé
112,llevar,*-áti
113,ver,*-ati
114,echar líquido (de un recipiente),*-ató
115,"centellear, chispear",*-atˀale
116,"cara, rostro",*-atˀáp
117,hincharse,*-atˀapˀi
118,cierto (ser),*-átˀaqa
119,dedo (del pie),*-átˀe
120,nuera,*-atˀé
121,rastrear,*-atˀe
122,"encuentro, encontrado",*-atˀ-ek
123,mentir,*-atˀeˀnatˀe
124,"estallar, explotar, reventar",*-atˀepˀi
