Gloss,FORM
jirau,*par°
"braço, galho",*paj ~ *paj°
pé,*pâr°
"abelha, mel","*pyŋ ~ *m(b)-, ~ -ə̂-, -ə̃-, ~ -ŋ°"
lagoa,"*pyc ~ *m(b)-, ~ -ə̂-, -ə̃-, ~ -ñ°"
sair.PL,*py₁c°
acender,*py₁k° ~ *py₁ŋ°
"cana, tubo",*po₁(C)
limpar,*pũ₂c
lavar,*pi (F)
flatular,*pVJ
orelha,*ñĩpV
"madeira, lenha",*pĩm°
sobrinho,*pran ~ *praŋ ~ *prỹn ~ *prỹŋ
fome; querer,*prə̃m
pena,*prə̂J
caminho,*prət ~ *prən°
esposa,*prũp
morder,*pry(C) ~ *prôp ~ *prôm°
fígado,*mbâ
ouvir/saber,"*mbâc (F), *mbâŋ (NF)"
ter medo,*pVmbâ(C)
costela,*mbən°
DAT,*mə̃
e.DS,*mə̃
"pegar, carregar",*mbyt
cará,*mbyp°
chorar,"*mbu (F), *mbu-r (NF)"
ir.PL,*mũ₁ (F)
"PL; ASSOC, COM",*mẽk ~ *mẽŋ
céu,*mbêñ° ~ *mbêŋ ~ *mbêŋ°
ver,*mbêp ~ *mbêp°
mel,*mbêñ
machado,*mbim
água,*mbi₁n°
esposo,*mbi₂n
peixe,*mbi(C)nũ₂(C) ~ *mbi(C)ñũ₂(C)
"andar, caminhar",*mbra(C)
cinza,*mbrôŋ
"submergir, dar banho",*mrỹp ~ *mrỹm°
mergulhar,*mrũ(C)
"pegar, carregar",*wə
subir,*wi(C)
matar,*wĩ (F)
3CRF,*ta-
cortar fora,*ta(C)
novo,*tə̂m
carregar,*to(C)
urinar,*to(C)
velho,*to₂m
língua,*ñũ₁ctôk
gordura,*tum
NEG,*tũ₁k
chuva,*ndaj ~ *ndaj°
pescoço,*ndo₁ñ
estar deitado,*nũ₂p
"outro, INDEF",*nũJ
maduro,*ndêp°
saliva,*jar°-rə̂(C)
carregar.MASS,*rot
comprido,*rôñ° ~ *rôj°
morrer,*ru (F)
"deixar, abandonar",*rê(C)
raiz,*jarit
"3INT, classe II",*c-
"tecer, costurar",*cəp
semente,*cəm°
fogo,*kVcəm°
chupar,*cy₁p
vagina,*co₁
"rosto, testa, pele",*cok
sol,*cuñ°
"rabo, cauda",*cuk
osso,*cet ~ *cek
mãe,*nĵe(C)
frio,*-ji ~ *-nĵi
ficar de pé.SG,"*ja (F), *ja-m (NF)"
nariz,*ñĩja
boca,*jar°
boca,"*ĵaj-hə, Proto-Jê Meridional *jãn-ky"
"asa, axila",*jar°
entrar,*jə̂p
urina,*jə̂c
fumaça,*ñĩjə̂k
estar sentado.SG,*ñỹp
pai,*jo₂m
chegar,"*jo-t° (F), *jo (NF)"
pus,*jo₂w°
pescoço,*jô(C)-cet ~ *jô(C)-cek ~ *jy(C)-cet ~ *jy(C)-cek
"caça, animal",*jôk ~ *jôŋ
sangue,*jum
tomar banho,*jum°
NOMAG’ (‘dono’),*juñ
dente,*juñ°
comida,*ñũ₂(C)
GEN,*ñũk
"envira, corda",*ñũr°
colocar deitado,*je (F)
nome,*-jet
deixar,*ji (F)
fio,*jit ~ *jin°
espinho,*ñĩ(C)
mão,*ñĩm°
carne,*ñĩt
"fezes, tripa",*ñṼt°
"pelo, cabelo",*Ji(C)
frio,*-nĵi ~ *-ji
"gritar, chamar","*kə (F), *kə-r (NF)"
"casca, pele",*kəj
mosca ou carapanã,*ky₁p°
mosca ou carapanã,*ky₁p°
"árvore, chifre",*ky₁m°
"testa, rosto",*ky₁j°
ingerir,*ko₂
buraco,*kuñ°
defecar,*ku(C)
NEG,*kũ(C)
"cabelo, pelo",*ke
LOC,*ke(C)
"base, quadril",*krat°
filho/filha,*krVk
pederneira/metal,*krət°
coxa,*krə̂(C)
cabeça,*krỹñ°
podre,*krôj ~ *krôj°
pilão,*kru(C)kru(C)
"coçar, arranhar",*kri₁(C)
queimar,*ŋgrô(C)
"dançar, cantar",*ŋgrê (F)
ovo,*ŋgrê(C)
tu’; *a- ‘2INT (classe I),*a
nós.INCL’; *u ‘1+2INT,*o
eu,*u
dar,*ũp (F)
dormir,"*ũ₁r (F), *ñũ₁t° (NF)"
ele/ela’; *i- ‘3INT (classe I),*i
1INT,*iñ
2INT (classe II),*∅-
