No.,Gloss,FORM
1,estar borracho,*-hwum
2,tú bebes,*hl-
3,maíz,*iphatha
4,tía,*-itho
5,arco,*-lutshe
6,hija,*-Ahse
7,amar,*-hmi
8,noche,*hnahn
9,niebla,*snaqaj
10,gato montés,*slAqaj
11,mosca,*k’ataq
12,abeja,*hnakotaq
13,ciempiés,*hwatsuq ~ *patsuq
14,chamán,*jewu [*ʔjewu]
15,tener calor,*kju [*kjuʔ]
16,suciedad,*hele [*xele]
17,coatí,*him [*him]
18,suciedad,*xele
19,plural del sujeto (sufijo verbal),*-xe(ne)
20,cabeza,*-xetik
21,murciélago,*(V)xejʌʔ
22,primavera,*xinawʌp
23,1a. p. inclusivo,*xina-
24,1a. p. pl. inclusivo sujeto,*xita-
25,"al lado, alrededor",*-xop
26,palo cruz,*xoxewuk
27,luna,*xuweʔla
28,tusca,*xunxetek
29,garza,*axaʔ
30,puerta,*łaxi
31,ser gordo,*-ʌtax
32,cigüeña,*pʌjtsax
33,piel,*-ʔʌx
34,arco,*-lutsex
35,"3a. p. posesivo’, ‘hoja de árbol",*sex
36,hachar,*-xʷex
37,agujero,*towex
38,camino,*nʌjix
39,olor,*(V)nix
40,lavar,*tix
41,izquierda,*-xʷejix
42,comer,*-tux
43,pasto,*xup’
44,sufijo que indica lugar donde se realiza la acción,*-xij
45,verdadero,*ixʌ
46,1a. p. sujeto,*χa-
47,1a. p. sujeto,*χaj-
48,1a. p. sujeto,*χan-
49,chamán,*χajawu
50,coatí,*χim
51,hombre,*χinoʔ
52,arena,*χolo
53,sombra,*χupel
54,chajá,*tsʌχʌq
55,pescado (genérico); sábalo,*saχets
56,nutria,*wiχelʌ
57,arena,*isʌχ
58,fuego,*itʌχ
59,garza rosada,*kinełitsaχ
60,oso hormiguero,*seulaχ
61,sapo,*tʌtsinaχ
62,sufijo nominal,*-taχ
63,humo,*tutsaχ
64,luciérnaga,*xʷetenaχ
65,mulita,*xʷoqotsaχ
66,cavar,*-tiłʌχ
67,ñandú,*wam(xa)łʌχ
68,voz,*-ʔʌχ
