No.,FORM,Gloss,Scientific name
1,*p'âʔ,beiju,
2,*wêtʼ,comida,
3,*dũ̂h,goma,
4,*dudud,girino,
5,*cʼâ jo,rã (sp.),
6,*woh,rã (sp.),
7,*jɤk,rã (sp.),Leptodactylus sp.
8,*jǔʔ,rã (sp.),
9,*kokʼ,rã (sp.),
10,*pɤ̌ʔ,sapo,fam. dos bufonídeos
11,*hũ̂h,animais de caça,
12,*tâko,anta,Tapirus terrestris
13,*kakǒc,cuandu 1,Coendou prehensilis
14,*pûg,cuandu 2,Coendou prehensilis
15,*bẽ̂t,cutia 1,Dasyprocta fuliginosa
16,*bĩjã̂w,cutia 2,Dasyprocta fuliginosa
17,*k’ac’aʔ,cutiuaia 1,Myoprocta pratti
18,*p’ɤg,cutiuaia 2,Myoprocta pratti
19,*bẽhẽ̂d,jupará,Potus flavus
20,*wãc’õk’,jupará,Bassaricyon alleni
21,*ʔajôk’,lontra,Pteronura brasiliensis
22,*cǐciʔ,macaco (sp de sagüi),Saguinus inustus
23,*ʔoh,macaco-barrigudo,Lagothrix lagotricha
24,*hêwo,macaco-caiarara,Cebus albifrons
25,*bã̂jo,macaco-caiarara,Cebus olivaceus
26,*barǐt’,macaco-de-cheiro,Saimiri sciureus
27,*p’iɟo,macaco-de-cheiro,Saimiri sciureus
28,*kũjkũ̌jiʔ,macaco-da-noite,Aotus vociferans
29,*tûg,macaco-guariba,Alouatta seniculus
30,*jawâco,macaco-prego,Cebus apella
31,*ʔẽ̂c,macaco uacari-preto,Cacajao melanocephalus
32,*k’ûk’oʔ,macaco zogue-zogue,Callicebus torquatus
33,*cɯp’ɯx,morcego 1,Desmodus rotundus
34,*wɤb,morcego 2,Desmodus rotundus
35,*cáʔwã̂ji,mucura,Didelphis sp.
36,*jãʔã̌b,onça,Panthera onca
37,*paʔ,paca,Agouti paca
38,*tohbẽt,porco,"Tayassu pecari, Tayassu tajacu"
39,*cûh,quati,Nasua nasua
40,*jõd,tamanduá,Tamandua tridactyla
41,*xûd,tamanduá 1,Myrmecophaga tridactyla
42,*bɯ̌g,tamanduá 2,Myrmecophaga tridactyla
43,*jêwo,tatu-galinha 1,Dasypus novemcinctus
44,*wêciʔ,tatu-galinha 2,Dasypus novemcinctus
45,*ʔõ̌k’,tatu canastra,Priodontes maximus
46,*bõhõjc’ǎh,veado-catingueiro,Mazaca gouazoubira
47,*bõhõjhɤ̃w,veado-mateiro,Mazaca americana
48,*tʼũb,cauda,
49,*cã̂dãʔ,chifre,
50,*pʼɯk,couro ou pele,
51,*dãgi,gordura 1,
52,*cɯ̂j,gordura 2,
53,*tawêto,pássaro (genérico),Columbina minuta
54,*jâbo,araçari,Pteroglossus sp.
55,*k’ɤrɤ̂c’,araquã,Ortalis motmot
56,*jǎk’,araracanga 1,Ara macao
57,*k’aʔroʔ,araracanga 2,Ara macao
58,*kawet’,arara-vermelha,Ara chloroptera
59,*c’ǐp,beija-flor 1,família dos troquilídeos
60,*cuguʔ,beija-flor 2,família dos troquilídeos
61,*pɤpɤp,coruja 1,gênero otus
62,*wôr,coruja 2,gênero otus
63,*kujûjuʔ,cujubim,Pipile pipile
64,*moh,garça,família dos ardeídeos
65,*c’ǔb,gaturamo,Euphonia laniirostris
66,*wîʔ,gavião-real,Harpia harpyja
67,*jêco,jacu,Penelope jacquacu
68,*t’ûp,japu-do-bicoencarnado,Gymnostinops
69,*t’ûc’uʔ,maitaca,Pionus menstruus
70,*hôh,nambu-galinha,Tinamus guttatus
71,*bõ̂h,nambu-grande,Tinamus major
72,*c’ojoʔ,papagaio-moleira,Amazona farinosa
73,*wẽh,pomba-galega,Columba cayennensis
74,*c’ûp’,rouxinol,Icterus chrysocephalus
75,*cahk’weto,tucano,Ramphastos sp.
76,*wãʔ,urubu,Coragyps atratus
77,*tǔd,urumutum,Nothocrax urumutum
78,*takeko,asa,
79,*bã̂kʼ,ninho,
80,*tîpo,ovo,
81,*wâko,amarelo,
82,*jabaɾǔt,"azul, verde",
83,*hawakʼ,branco 1,
84,*tohoh,branco 2,
85,*cʼâko,preto (maduro),
86,*ʔacʼãb,preto,
87,*dôh,vermelho 1,
88,*hěd,vermelho 2,
89,*cecoʔ,camarão,
90,*c’axã̂b,caranguejo,gen. Trichodactylus
91,*cohoh,caranguejo,gen. Trichodactylus
92,*cõhõ̂b,caranguejo,gen. Trichodactylus
93,*cucuʔ,diarréia,
94,*dǒh,ferida 1 (causada por corte),
95,*xōb,ferida 2,
96,*cǒt,lombriga,Ascaris lumbricoides
97,*jǒh,remédio,
98,*papaʔ,sarampo,
99,*xiho,abaixar,
100,*heboʔ,abanar,
101,*poʔ,abrir 1,
102,*jeceʔ,abrir 2,
103,*ʔahajo,acabar 1,
104,*hũʔ,acabar 2,
105,*jã̂bi,acabar 3,
106,*tɤʔ,acender 1,
107,*tǎh,acender 2,
108,*wõtʼ,agitar 1,
109,*wõj,agitar 2,
110,*tã̂b,ajudar 1,
111,*bẽcaʔ,ajudar 2,
112,*kʼɯ̃̂pʼ,"alagar, inundar",
113,*hawakʼo,alisar,
114,*woj,amar,
115,*tʼâp',amarrar,
116,*wuʔwôpʼ,amontoar,
117,*tʼǔkʼ,apagar,
118,*bahad,aparecer,
119,*ʔaʃǎcʼ,apodrecer,
120,*kʼɯʔ,aquecer,
121,*kʼôʔ,arrancar 1,
122,*wocʼoʔ,arrancar 2,
123,*kocoʔ,arranhar,
124,*kɤ̃kʼ,arrastar,
125,"*ja ʔo, *jaʔĩ",assar,
126,*hõ̌j,assobiar,
127,*pʼux,atirar,
128,*dãrěh,babar 1,
129,*dõhcǎwa,babar 2,
130,*jǒjoʔ,balançar,
131,*cʼõb,banhar,
132,*hõ̌h,barulho,
133,*ʔegɤʔ,beber,
134,*cʼũ̌p,beijar,
135,*cîʔ,beliscar 1,
136,*cĩ̂biʔ,beliscar 2,
137,*haw,bocejar 1,
138,*dõh≠kʼǎʔ,bocejar 2,
139,*ʔũhbẽh,brigar,
