Gloss,FORM
sun,*βaɽi
star,*wis(...)
corn,*ʂɨki
"to make, to kill",*ʔak-
capybara,*ʔamɨ(n)
"big, large",*ʔani
paca (Cuniculus paca),*ʔano
intransitive concord suffix,*-ʔaʂ
kind of poison,*ʔaʂ(an)-
tapir (Tapirus terrestris),*ʔawaɽ
"woman, wife",*ʔawi(n)
woman,*ʔaw̆iβo
"to swallow, to inhale",*ʔaya-
I (1sg),*ʔɨ
"big, large",*ʔɨwa
louse,*ʔia
lake,*ʔian
owner,*ʔiʔβo
bird species,*ʔiʔtsak
"hot, heat",*ʔitsis
"heat, hot",*yoʔo
hot,*ʂa(n)a
"to embrace, to keep in one's arms",*ʔikok-
to keep/carry in one's arms,*ʔikoʔiko-
"to rise, to go up",*ʔira-
"livestock, domestic animal",*ʔinak
to give,*ʔinar-
jaguar species,*ʔi(n)o
fish species (of family Loricariidae),*ʔipo
"pain, to hurt",*ʔisir-
blackbird species (of family Icteridae),*ʔisko
monkey species (of family Atelidae),*ʔiso
monkey species,*ɽiɽo
howler monkey (monkey species),*ɽoʔo
monkey species,*ʃiro
monkey species (Callitrichidae?),*sipi
monkey species,*wasa
to run,*ʔisto-
"very, much",*ʔitsak
king vulture,*ʔiʃmi(n)
heavy,*ʔiwɨ
stingray,*ʔiwi
tick,*hoʔpoʂ
rain,*ʔoi
to look,*ʔoi(n)-
to cough,*ʔok(o)-
"to know, to learn",*ʔo(n)a(n)-
freshwater (lit. new liquid),*ʔoma-paʂa
to laugh,*ʔosa(n)-
to sleep,*ʔoʂ(a)-
shadow,*ʔota
to suck,*ʔoyo-
"he, that",*ha(a)
"to run, to flee",*haβa(t)-
heron species,*haka
to tread (on),*hamak-
tongue,*hana
to vomit,*ha(n)a(n)-
name,*harɨ
curassow (bird species of family Cracidae),*hãsi(n)
opening,*hãʂaβa
this much,*hatit
3PL,*hato
"what, which",*haw(ɨ/a)
"his, her(s)",*hawɨn
"path, way, forest trail",*βaʔi
"night, dark",*βaʔki(ʃ)i
"dark, night",*yamɨ(t)
cloth (?),*βatʃi
"grazed, cleared",*βai(C)
"son, child",*βakʷɨ
foam,*βakoʂ
to plant,*βana-
egg,*βatsi
to whisper,*βaʂɨʂɨ-
sweet,*βata
fish species,*βato(m)
parrot (species of family Psittacidae),*βawa
fish species (Pseudoplatystoma corruscans),*βawi(n)
"to fetch, to search",*βɨ-
comitative,"*-βɨt, *-bɨta(n)"
"boy, adolescent",*βɨʔra(C)
"to forget, to lose",*βɨʔ(n)oÇ
tear,*βɨʔo(m)
waves,*βɨʔʃo(n)
"forehead, face",*βɨmãnan
"husband, male",*βɨnɨ
"man, male",*βɨ̃βo
tree species (of family Phyllanthaceae),*βɨp(on)
eye,*βɨɽo
to cut,*βɨstɨ-
eyebrows,*βɨʂko
eyebrows,*βɨʂpi
frog species,*βɨʂko
"thin, flat",*βɨʂ(n)a(n)
"soup, broth",*βɨtɨm
face (body part prefix),*βɨ-
to catch,*βiÇ-
"skin, leather, hide",*βitsi
heron species,*βitʃo
mosquito species,*βi
fruit,*βimi
wasp,*βira
moriche palm (Mauritia vinifera),*βinon
guava,*βĩpiʃ
pluralizer,*-βo
woodpecker species (of family Picidae),*βoir
kind of box,*βoʔ(n)a(n)-ti
palm species,*βoʔɽɨ(t)
"stump, trunk",*βoʔɽo(Ç)
fish species (of family Pimelodidae),*βoɨ
resin,*βoi(Ç)
tree species (Cecropia?),*βoko(n)
a small tree whose bark is used to make ropes,*βoko
bee species,*βo(n)a
"hair, coat",*βo
kind of beetle,*βõpa
otter species,*βõsi(m)
head,*βoʂka(Ç)
to sit (down),*tsaʔo(t)-
fish species,*tsatsa
"hiccup, to hiccup",*tsɨko-
cicada,*tsiʔo
"charcoal, ember",*tsitsɨ
"ember, firewood charcoal",*(ts)is(t)o
who,*tso(a)
"to catch, to grab with the hand",*tsoma-
"to sting, to pierce, to inject",*tʃaʔtʃi-
"to crush, to beat, to hit",*tʂaka-
to lie,*tʃa(n)i-
clam species,*tʃãpiʃ
"cricket, locust",*tʂãpo
kingfisher,*tʃaɽaʂ
deer species,*tʂaʂo
fire,*tʃiʔi
ashes (lit. fire dust),*tʃiʔi mapo
to steer (a canoe) from behind,*tʃiβi-
rear part,*tʃipo
"to wash, to wash oneself",*tʃoka-
"cloth, clothes",*tʃopa
"hard, strong",*tʃoɽiʃ
"hard, strong",*kɨɽɨʂ
"liquid, water",*hɨ(n)ɨ
fish species,*hɨ(n)ɨ ʔino
"to leave, to let go of",*hɨ(n)ɨÇ
