index,FORM,Gloss
1,*ačka,"‘many, much’"
2,*ački ~ *akči ~ *ačik,‘light’
8,*atʂpi- ~ *ašpi ~ *aspi-,"‘to dig, scratch’"
12,*akʎa- ~ *akra-,‘to choose’
13,*akʎu-,"‘to stammer, stutter’"
14,*aku-,‘to chew’
19,*aʎa-,"‘to dig up, harvest potatoes’"
21,*aʎi,‘good’
22,*aʎpa,"‘earth, land, soil’"
23,*aʎqu,‘dog’
25,*ama,‘not’ (prohibitive negator)
27,*ami-,"‘to get fed up, sick of’"
30,*amu-,‘to hold in mouth or between teeth’
31,*ana,"‘birthmark, mole’"
33,*anaku,‘woman’s garment’
34,*anaq,‘hard’
35,*anča,"‘very, a lot’"
37,*anka,‘bird species’
38,*anku,"‘tendon, nerve’"
41,*anta,"‘copper, copper-colored’"
42,*aña-,‘to bark’
43,*añas,‘mammal species’
44,*apa-,"‘to carry, bring’"
46,*api,‘a gelatinous porridge’
47,*apta-,"‘to grasp, grab, carry in the hand, fist’"
50,*aqtu-,"‘to vomit, spit up, drool’"
52,*arí,‘yes’
54,*arma-,‘to bathe’
58,*arwi-,"‘to tangle up, twist fibers’"
60,*asi-,‘to laugh’
62,*aswa,‘chicha (fermented corn beverage)’
63,*ašna-,‘to stink’
64,*ašta-,‘to transport’
66,*ati(pa)-,"‘to defeat, endure, be able’"
67,*atuq,‘fox’
68,*awa-,‘to weave’
70,*awki,"‘old man, grandfather, man of respect, spirit’"
71,*awʎi-,‘to weave’
72,*awqa,"‘enemy, demon, devil’"
73,*aya,"‘corpse, cadaver’"
75,*ayča,"‘meat, flesh’"
77,*ayʎu,‘unit of social organization’
78,*aypa-,"‘to reach, be enough’"
79,*ayqi-,‘to flee’
80,*aysa-,"‘to pull, drag, haul with rope’"
81,*aywi-,"‘to stir, beat’"
83,*čaka,"‘bridge, form of cross’"
84,*čaki,"‘dry, to dry’"
85,*čakma-,‘to plow earth for planting’
87,*čaʎwa,‘fish’
89,*čampa,"‘turf, sod, clod’"
90,*čamqa-,"‘to smash, crush, grind, throw rock’"
92,*čapra,‘tree branch’
93,*čapu-,"‘to mix (liquids), infuse, blend’"
94,*čaqču-,"‘to spray, sprinkle’"
95,*čaqʎa-,"‘to frame a roof, fasten together pieces of wood’"
96,*čarki,‘dried meat’
97,*čawča,‘early-ripening or damaged potato; potato variety’
98,*čay,‘that’
99,*čiču- ~ *čiči- ~ *čuču-,"‘breast, nipple, to breast feed’"
101,*čiki,‘bad omen’
107,*čimpa,"‘opposite side’"
108,*činka-,"‘to get lost, disappear’"
113,*čipa,‘straw bundle or basket’
116,*čiqta-,"‘to split, crack, shred’"
119,*čučuqa,‘corn-based dish’
120,*čukču-,"‘to tremble, shake’"
121,*čukʎa,‘hut’
122,*čuʎa,"‘odd, uneven, incomplete (of a pair)’"
123,*čuʎpi,‘corn variety’
124,*čuʎu-,"‘to melt, thaw’"
125,*čuma-,"‘to drain out, drip out’"
128,*čunčuʎi,"‘guts, intestines’"
129,*čuñu,‘chuño (dehydrated potatoes)’
132,*čupu,"‘boil, tumor’"
133,*čuqʎu,‘ear of corn’
135,*čuri,‘child (of father)’
136,*čuspi,"‘mosquito, fly’"
138,*čuta-,"‘to pull, stretch’"
140,*čuya-,"‘clear, to become clear (liquids)’"
143,*tʂaki,‘foot’
145,*tʂakra,‘agricultural plot’
148,*tʂani,‘value’
149,*tʂanka,‘leg’
156,*tʂaqna-,‘to hobble an animal’
157,*tʂaski-,"‘to receive, accept’"
158,*tʂawa,‘raw’
159,*tʂawpi,"‘center, middle’"
160,*tʂaya-,‘to arrive’
161,*tʂitʂu,‘pregnant’
163,*tʂina,‘female’
