ID_forms	Local_ID	Language_ID	Parameter_ID	Value	Form	Segments	Comment	Source	Cognacy	Loan	Graphemes	Profile	ID_languages	Name	Glottocode	Glottolog_Name	ISO639P3code	Macroarea	Latitude	Longitude	Family	ID	Name_parameters	Concepticon_ID	Concepticon_Gloss	ID_cognates	Form_ID	Form_cognates	Cognateset_ID	Doubt	Cognate_Detection_Method	Source_cognates	Alignment	Alignment_Method	Alignment_Source
Prototucanoan-41-feminine-1		Prototucanoan	41-feminine	*-kʔo	kʔ.o	kˀ o		Chacon2014			^ kʔ . o $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	41-feminine	feminine		FEMALE	Prototucanoan-41-feminine-1-1	Prototucanoan-41-feminine-1	kʔ.o	41-feminine-1	False	expert	Chacon2014	kˀ o	expert	Chacon2014
Prototucanoan-88-non3rdanimateperson-1		Prototucanoan	88-non3rdanimateperson	*-pʔɨ	pʔ.ɨ	pˀ ɨ		Chacon2014			^ pʔ . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	88-non3rdanimateperson	non.3rd.animate.person	2642.0	HE OR SHE	Prototucanoan-88-non3rdanimateperson-1-1	Prototucanoan-88-non3rdanimateperson-1	pʔ.ɨ	88-non3rdanimateperson-2	False	expert	Chacon2014	pˀ ɨ	expert	Chacon2014
Prototucanoan-1-3rdpersonmasculine-1		Prototucanoan	1-3rdpersonmasculine	*-pi	p.i	p i		Chacon2014			^ p . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	1-3rdpersonmasculine	3rd.person.masculine	1211.0	HE	Prototucanoan-1-3rdpersonmasculine-1-1	Prototucanoan-1-3rdpersonmasculine-1	p.i	1-3rdpersonmasculine-3	False	expert	Chacon2014	p i	expert	Chacon2014
Prototucanoan-19-casenonnominatvie-1		Prototucanoan	19-casenonnominatvie	*-tʔe	tʔ.e	tˀ e		Chacon2014			^ tʔ . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	19-casenonnominatvie	Case: non-nominatvie			Prototucanoan-19-casenonnominatvie-1-1	Prototucanoan-19-casenonnominatvie-1	tʔ.e	19-casenonnominatvie-4	False	expert	Chacon2014	tˀ e	expert	Chacon2014
Prototucanoan-76-locative-1		Prototucanoan	76-locative	*-tʔo	tʔ.o	tˀ o		Chacon2014			^ tʔ . o $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	76-locative	locative			Prototucanoan-76-locative-1-1	Prototucanoan-76-locative-1	tʔ.o	76-locative-5	False	expert	Chacon2014	tˀ o	expert	Chacon2014
Prototucanoan-107-snake-1		Prototucanoan	107-snake	*ãja	ã.j.a	ã j a		Chacon2014			^ ã . j . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	107-snake	snake	730.0	SNAKE	Prototucanoan-107-snake-1-1	Prototucanoan-107-snake-1	ã.j.a	107-snake-6	False	expert	Chacon2014	- ã j a	expert	Chacon2014
Prototucanoan-61-hot-1		Prototucanoan	61-hot	*atjɨ	a.ts.ɨ	a ts ɨ		Chacon2014			^ a . ts . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	61-hot	hot	1286.0	HOT	Prototucanoan-61-hot-1-1	Prototucanoan-61-hot-1	a.ts.ɨ	61-hot-7	False	expert	Chacon2014	- a - ts ɨ - ( - - )	expert	Chacon2014
Prototucanoan-89-nose-1		Prototucanoan	89-nose	*ɨ̃kwʔe	ɨ̃.kwʔ.e	ɨ̃ kʷˀ e		Chacon2014			^ ɨ̃ . kwʔ . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	89-nose	nose	1221.0	NOSE	Prototucanoan-89-nose-1-1	Prototucanoan-89-nose-1	ɨ̃.kwʔ.e	89-nose-8	False	expert	Chacon2014	- ɨ̃ kʷˀ e - -	expert	Chacon2014
Prototucanoan-78-man-1		Prototucanoan	78-man	*ɨmɨ	ɨ.m.ɨ	ɨ m ɨ		Chacon2014			^ ɨ . m . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	78-man	man	1554.0	MAN	Prototucanoan-78-man-1-1	Prototucanoan-78-man-1	ɨ.m.ɨ	78-man-9	False	expert	Chacon2014	ɨ m ɨ	expert	Chacon2014
Prototucanoan-101-pupunha-1		Prototucanoan	101-pupunha	*ɨne	ɨ.n.e	ɨ n e		Chacon2014			^ ɨ . n . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	101-pupunha	pupunha			Prototucanoan-101-pupunha-1-1	Prototucanoan-101-pupunha-1	ɨ.n.e	101-pupunha-10	False	expert	Chacon2014	ɨ n e	expert	Chacon2014
Prototucanoan-117-three-1		Prototucanoan	117-three	*ɨtʔia	ɨ.tʔ.i.a	ɨ tˀ i a		Chacon2014			^ ɨ . tʔ . i . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	117-three	three	492.0	THREE	Prototucanoan-117-three-1-1	Prototucanoan-117-three-1	ɨ.tʔ.i.a	117-three-11	False	expert	Chacon2014	ɨ tˀ i a	expert	Chacon2014
Prototucanoan-53-grape-1		Prototucanoan	53-grape	*ɨʔje	ɨ.ʔj.e	ɨ ˀj e		Chacon2014			^ ɨ . ʔj . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	53-grape	grape	920.0	GRAPE	Prototucanoan-53-grape-1-1	Prototucanoan-53-grape-1	ɨ.ʔj.e	53-grape-12	False	expert	Chacon2014	ɨ ˀj e -	expert	Chacon2014
Prototucanoan-59-heron-1		Prototucanoan	59-heron	*jahi	j.a.h.i	j a h i		Chacon2014			^ j . a . h . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	59-heron	heron	758.0	HERON	Prototucanoan-59-heron-1-1	Prototucanoan-59-heron-1	j.a.h.i	59-heron-13	False	expert	Chacon2014	j a h i	expert	Chacon2014
Prototucanoan-67-jaguar-1		Prototucanoan	67-jaguar	*jai	j.a.i	j a i		Chacon2014			^ j . a . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	67-jaguar	jaguar	1250.0	JAGUAR	Prototucanoan-67-jaguar-1-1	Prototucanoan-67-jaguar-1	j.a.i	67-jaguar-14	False	expert	Chacon2014	( - - ) j a - i ( - )	expert	Chacon2014
Prototucanoan-20-centipede-1		Prototucanoan	20-centipede	*jãkʔi	ɲ.ã.kʔ.i	ɲ ã kˀ i		Chacon2014			^ ɲ . ã . kʔ . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	20-centipede	centipede	1974.0	CENTIPEDE	Prototucanoan-20-centipede-1-1	Prototucanoan-20-centipede-1	ɲ.ã.kʔ.i	20-centipede-15	False	expert	Chacon2014	ɲ ã kˀ i ( - - - - )	expert	Chacon2014
