ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
a little	A LITTLE	2924.0	Proto-Aymara	ayma1253	Aymaran	piʃi	p i ʃ i
be little	A LITTLE	2924.0	Proto-Quechuan	quec1387	Quechuan	piʃi	p i ʃ i
abandoned	ABANDON	1097.0	Proto-Aymara	ayma1253	Aymaran	qisa	q i s a
abandonar	ABANDON	1097.0	Proto-Guaicuru	guai1249	Guaicuruan	alate	a l a t e
abandonar	ABANDON	1097.0	Proto-Guaicuru	guai1249	Guaicuruan	oˀjá	oˀ j á
to abandon	ABANDON	1097.0	Proto-Panoan	pano1256	Panoan	pota	p o t a
abandon	ABANDON	1097.0	Proto-Quechuan	quec1387	Quechuan	saqi	s a q i
to abort	ABORTION	3866.0	Proto-Quechuan	quec1387	Quechuan	ʃuʎu	ʃ u ʎ u
above	ABOVE	1741.0	Proto-Aymara	ayma1253	Aymaran	anqa	a n q a
above	ABOVE	1741.0	Proto-Aymara	ayma1253	Aymaran	araqa	a r a q a
above	ABOVE	1741.0	Proto-Aymara	ayma1253	Aymaran	araya	a r aya
encima	ABOVE	1741.0	Proto-Guaicuru	guai1249	Guaicuruan	pˀe	pˀ e
over	ABOVE	1741.0	Proto-Panoan	pano1256	Panoan	manan	m a n a n
above	ABOVE	1741.0	Proto-Quechuan	quec1387	Quechuan	hana	h a n a
to be on a diet	ABSTAIN FROM FOOD	303.0	Proto-Panoan	pano1256	Panoan	sama	s a m a
ayunar	ABSTAIN FROM FOOD	303.0	Proto-Shuar	jiva1245	Chicham	ihángu	i h á n g u
açaí palm	ACAI PALM	2437.0	Proto-Chapacuran	chap1271	Chapacuran	ʔiɾam	ʔ i ɾ a m
accept	ACCEPT	3898.0	Proto-Quechuan	quec1387	Quechuan	tʂaski	t ʂ a s k i
accompany	ACCOMPANY	1542.0	Proto-Aymara	ayma1253	Aymaran	irpa	i r p a
accompany	ACCOMPANY	1542.0	Proto-Quechuan	quec1387	Quechuan	yanapa	ya n a p a
to accompany	ACCOMPANY	1542.0	Proto-Quechuan	quec1387	Quechuan	puʃa	p u ʃ a
accuse	ACCUSE	1814.0	Proto-Aymara	ayma1253	Aymaran	tumpa	t u m p a
accuse	ACCUSE	1814.0	Proto-Quechuan	quec1387	Quechuan	tumpa	t u m p a
acostumbrarse	ACCUSTOM	1118.0	Proto-Guaicuru	guai1249	Guaicuruan	okˀa	o kˀ a
ache	ACHE	1815.0	Proto-Quechuan	quec1387	Quechuan	nana	n a n a
urucum	ACHIOTE	349.0	Proto-Naduhup	nada1235	Naduhup	hɤ̂w	h ɤ̂ w
urucum	ACHIOTE	349.0	Proto-Panoan	pano1256	Panoan	maʂɨ	m a ʂ ɨ
achiote	ACHIOTE	349.0	Proto-Shuar	jiva1245	Chicham	yámpiya	yá m p iya
achiote	ACHIOTE	349.0	Proto-Shuar	jiva1245	Chicham	ipáku	i p á k u
nuez de la garganta	ADAM'S APPLE	802.0	Proto-Shuar	jiva1245	Chicham	títi	t í t i
to add	ADD	2882.0	Proto-Chapacuran	chap1271	Chapacuran	wak	w a k
adición	ADD	2882.0	Proto-Shuar	jiva1245	Chicham	ingu	i n g u
adobe	ADOBE	901.0	Proto-Aymara	ayma1253	Aymaran	tika	t i k a
después	AFTER	1685.0	Proto-Guaicuru	guai1249	Guaicuruan	leʔeki	l e ʔ e k i
después	AFTER	1685.0	Proto-Guaicuru	guai1249	Guaicuruan	nátˀeg	n á tˀ e g
después	AFTER	1685.0	Proto-Shuar	jiva1245	Chicham	angúma	a n g ú m a
tarde	AFTERNOON	1807.0	Proto-Chocoan	choc1280	Chocoan	keuaˈɾaa	k eua ˈɾ aa
tarde	AFTERNOON	1807.0	Proto-Guaicuru	guai1249	Guaicuruan	atʃep	a t ʃ e p
tarde	AFTERNOON	1807.0	Proto-Naduhup	nada1235	Naduhup	tʼũʔ	tʼ ũ ʔ
tarde	AFTERNOON	1807.0	Proto-Shuar	jiva1245	Chicham	kiyánga	k iyá n g a
tarde	AFTERNOON	1807.0	Proto-Shuar	jiva1245	Chicham	ángku	á n g k u
otra vez	AGAIN	204.0	Proto-Shuar	jiva1245	Chicham	atáke	a t á k e
contra	AGAINST	2469.0	Proto-Guaicuru	guai1249	Guaicuruan	daqa	d a q a
agouti	AGOUTI	313.0	Proto-Chapacuran	chap1271	Chapacuran	tapiw	t a p i w
cutia 1	AGOUTI	313.0	Proto-Naduhup	nada1235	Naduhup	bẽ̂t	b ẽ̂ t
cutia 2	AGOUTI	313.0	Proto-Naduhup	nada1235	Naduhup	bĩjã̂w	b ĩ j ã̂ w
agouti	AGOUTI	313.0	Proto-Panoan	pano1256	Panoan	maɽi	m a ɽ i
agutí	AGOUTI	313.0	Proto-Shuar	jiva1245	Chicham	káshai	k á s h ai
	AGOUTI	313.0	Proto-Tucanoan	tuca1253	Tucanoan	w.u.ɨ	w u ɨ
aire	AIR	27.0	Proto-Guaicuru	guai1249	Guaicuruan	awen	a w e n
aire	AIR	27.0	Proto-Guaicuru	guai1249	Guaicuruan	wokˀo	w o kˀ o
liquor	ALCOHOL (FERMENTED DRINK)	404.0	Proto-Aymara	ayma1253	Aymaran	matʂa	m a t ʂ a
fermented drink	ALCOHOL (FERMENTED DRINK)	404.0	Proto-Chapacuran	chap1271	Chapacuran	tɾakop	t ɾ a k o p
todo	ALL	98.0	Proto-Chocoan	choc1280	Chocoan	thũˈmã	t h ũ ˈm ã
todo	ALL	98.0	Proto-Chocoan	choc1280	Chocoan	hũˈmã	h ũ ˈm ã
all	ALL	98.0	Proto-Guahiboan	guah1252	Guahiboan	daxɨ́ta	d a x ɨ́ t a
all	ALL	98.0	Proto-Quechuan	quec1387	Quechuan	tukuy	t u k uy
todo	ALL	98.0	Proto-Shuar	jiva1245	Chicham	ashí	a s h í
jacaré	ALLIGATOR	1581.0	Proto-Naduhup	nada1235	Naduhup	xâti	x â t i
jacaré	ALLIGATOR	1581.0	Proto-Naduhup	nada1235	Naduhup	xɤ̌ʔ	x ɤ̌ ʔ
dejar	ALLOW OR PERMIT	3237.0	Proto-Guaicuru	guai1249	Guaicuruan	eqʔaˀn	e q ʔ aˀ n
